qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2625_cov_37.877502	98.387	124	2	0	662	54	177	2625	619	742	6.15e-59	219	124	4471_NODE_1_length_2625_cov_37.877502
4471	NODE_1_length_2625_cov_37.877502	98.198	111	2	0	662	266	376	2625	1177	1287	1.04e-51	195	111	4471_NODE_1_length_2625_cov_37.877502
4471	NODE_1_length_2625_cov_37.877502	97.273	110	2	1	662	554	662	2625	2164	2273	6.24e-49	185	110	4471_NODE_1_length_2625_cov_37.877502
4471	NODE_1_length_2625_cov_37.877502	100	101	0	0	662	457	557	2625	1823	1923	1.73e-49	187	101	4471_NODE_1_length_2625_cov_37.877502
4471	NODE_1_length_2625_cov_37.877502	98.98	98	1	0	662	174	271	2625	986	1083	3.76e-46	176	98	4471_NODE_1_length_2625_cov_37.877502
4471	NODE_1_length_2625_cov_37.877502	96.703	91	3	0	662	369	459	2625	1404	1494	6.33e-39	152	91	4471_NODE_1_length_2625_cov_37.877502
4527	NODE_1_length_1626_cov_54.119413	96.636	535	18	0	861	269	803	1626	1297	763	0	889	535	4527_NODE_1_length_1626_cov_54.119413
4527	NODE_1_length_1626_cov_54.119413	100	60	0	0	861	802	861	1626	536	477	1.4e-26	111	60	4527_NODE_1_length_1626_cov_54.119413
4527	NODE_2_length_1431_cov_40.928681	95.14	535	26	0	861	269	803	1431	1075	541	0	845	535	4527_NODE_2_length_1431_cov_40.928681
4527	NODE_3_length_1047_cov_11.325000	98.168	273	5	0	861	1	273	1047	354	626	1.2e-136	477	273	4527_NODE_3_length_1047_cov_11.325000
4527	NODE_4_length_789_cov_9.851964	94.872	273	14	0	861	1	273	789	602	330	1.23e-121	427	273	4527_NODE_4_length_789_cov_9.851964
4691	NODE_2_length_939_cov_16.714286	97.59	249	6	0	537	74	322	939	275	523	7.57e-122	427	249	4691_NODE_2_length_939_cov_16.714286
4691	NODE_2_length_939_cov_16.714286	97.209	215	6	0	537	323	537	939	619	833	6.02e-103	364	215	4691_NODE_2_length_939_cov_16.714286
4691	NODE_1_length_1071_cov_16.960805	96.8	250	8	0	537	73	322	1071	707	458	4.56e-119	418	250	4691_NODE_1_length_1071_cov_16.960805
4691	NODE_1_length_1071_cov_16.960805	93.519	216	14	0	537	322	537	1071	377	162	3.67e-90	322	216	4691_NODE_1_length_1071_cov_16.960805
4691	NODE_4_length_549_cov_2.431280	96	75	3	0	537	1	75	549	287	361	4e-30	122	75	4691_NODE_4_length_549_cov_2.431280
4691	NODE_3_length_765_cov_5.086207	96	75	3	0	537	1	75	765	337	411	4e-30	122	75	4691_NODE_3_length_765_cov_5.086207
4724	NODE_1_length_1753_cov_29.586101	98.77	244	3	0	660	1	244	1753	1340	1097	5.59e-124	435	244	4724_NODE_1_length_1753_cov_29.586101
4724	NODE_1_length_1753_cov_29.586101	98.421	190	3	0	660	471	660	1753	418	229	5.84e-94	335	190	4724_NODE_1_length_1753_cov_29.586101
4724	NODE_1_length_1753_cov_29.586101	98.639	147	2	0	660	324	470	1753	831	685	1e-71	261	147	4724_NODE_1_length_1753_cov_29.586101
4724	NODE_1_length_1753_cov_29.586101	98.734	79	1	0	660	245	323	1753	1022	944	1.37e-35	141	79	4724_NODE_1_length_1753_cov_29.586101
4724	NODE_2_length_1616_cov_21.388180	96.721	244	8	0	660	1	244	1616	1284	1041	1.22e-115	407	244	4724_NODE_2_length_1616_cov_21.388180
4724	NODE_2_length_1616_cov_21.388180	94.211	190	11	0	660	471	660	1616	351	162	1.28e-80	291	190	4724_NODE_2_length_1616_cov_21.388180
4724	NODE_2_length_1616_cov_21.388180	94.194	155	7	2	660	324	476	1616	765	611	6.09e-64	235	155	4724_NODE_2_length_1616_cov_21.388180
4724	NODE_2_length_1616_cov_21.388180	96.203	79	3	0	660	245	323	1616	955	877	2.96e-32	130	79	4724_NODE_2_length_1616_cov_21.388180
4724	NODE_3_length_606_cov_5.954071	95.263	190	9	0	660	471	660	606	343	154	5.92e-84	302	190	4724_NODE_3_length_606_cov_5.954071
4744	NODE_2_length_566_cov_2.624146	95.833	120	5	0	226	1	120	566	388	269	3.38e-52	195	120	4744_NODE_2_length_566_cov_2.624146
4744	NODE_1_length_912_cov_30.434395	98.684	76	1	0	226	118	193	912	379	454	2.08e-34	135	76	4744_NODE_1_length_912_cov_30.434395
4757	NODE_2_length_834_cov_23.366337	98.857	175	2	0	551	161	335	834	275	449	2.27e-87	313	175	4757_NODE_2_length_834_cov_23.366337
4757	NODE_3_length_772_cov_11.091473	96.875	160	5	0	551	1	160	772	270	429	4.99e-74	268	160	4757_NODE_3_length_772_cov_11.091473
4757	NODE_1_length_1162_cov_32.556522	97.321	112	3	0	551	440	551	1162	712	823	1.11e-50	191	112	4757_NODE_1_length_1162_cov_32.556522
4757	NODE_1_length_1162_cov_32.556522	98.077	104	2	0	551	336	439	1162	461	564	6.68e-48	182	104	4757_NODE_1_length_1162_cov_32.556522
4793	NODE_1_length_1489_cov_63.839207	98.521	541	8	0	1011	183	723	1489	412	952	0	955	541	4793_NODE_1_length_1489_cov_63.839207
4793	NODE_1_length_1489_cov_63.839207	94	50	0	1	1011	724	773	1489	1407	1453	7.8e-15	73.1	50	4793_NODE_1_length_1489_cov_63.839207
4793	NODE_2_length_1363_cov_51.735437	95.379	541	25	0	1011	183	723	1363	321	861	0	861	541	4793_NODE_2_length_1363_cov_51.735437
4793	NODE_2_length_1363_cov_51.735437	98.246	57	0	1	1011	721	776	1363	1075	1131	1.29e-22	99	57	4793_NODE_2_length_1363_cov_51.735437
4793	NODE_3_length_1133_cov_24.572565	99.265	136	1	0	1011	1	136	1133	521	656	4.34e-67	246	136	4793_NODE_3_length_1133_cov_24.572565
4793	NODE_4_length_923_cov_26.748744	98.529	136	2	0	1011	1	136	923	442	577	2.02e-65	241	136	4793_NODE_4_length_923_cov_26.748744
4796	NODE_1_length_1588_cov_33.931554	98.773	163	2	0	720	312	474	1588	1183	1345	1.4e-80	291	163	4796_NODE_1_length_1588_cov_33.931554
4796	NODE_1_length_1588_cov_33.931554	98.305	118	2	0	720	133	250	1588	711	828	1.45e-55	207	118	4796_NODE_1_length_1588_cov_33.931554
4796	NODE_1_length_1588_cov_33.931554	96.522	115	3	1	720	25	138	1588	530	644	5.25e-50	189	115	4796_NODE_1_length_1588_cov_33.931554
4796	NODE_1_length_1588_cov_33.931554	97.101	69	1	1	720	249	316	1588	1009	1077	9.03e-28	115	69	4796_NODE_1_length_1588_cov_33.931554
4796	NODE_2_length_1259_cov_8.778269	97.541	122	3	0	720	599	720	1259	372	251	4.03e-56	209	122	4796_NODE_2_length_1259_cov_8.778269
4796	NODE_2_length_1259_cov_8.778269	98.387	62	1	0	720	537	598	1259	974	913	4.2e-26	110	62	4796_NODE_2_length_1259_cov_8.778269
4796	NODE_3_length_644_cov_3.833656	92.623	122	8	1	720	599	720	644	358	238	1.47e-45	174	122	4796_NODE_3_length_644_cov_3.833656
4802	NODE_1_length_2242_cov_28.895508	96.183	131	5	0	784	264	394	2242	1428	1558	9.44e-58	215	131	4802_NODE_1_length_2242_cov_28.895508
4802	NODE_1_length_2242_cov_28.895508	95.146	103	5	0	784	1	103	2242	444	546	3.47e-42	163	103	4802_NODE_1_length_2242_cov_28.895508
4802	NODE_1_length_2242_cov_28.895508	98.81	84	1	0	784	460	543	2242	1852	1935	2.7e-38	150	84	4802_NODE_1_length_2242_cov_28.895508
4802	NODE_1_length_2242_cov_28.895508	97.297	74	2	0	784	101	174	2242	798	871	4.55e-31	126	74	4802_NODE_1_length_2242_cov_28.895508
4802	NODE_1_length_2242_cov_28.895508	95.455	66	3	0	784	172	237	2242	954	1019	5.93e-25	106	66	4802_NODE_1_length_2242_cov_28.895508
4802	NODE_4_length_1347_cov_24.117213	96.429	112	4	0	784	673	784	1347	821	932	7.4e-49	185	112	4802_NODE_4_length_1347_cov_24.117213
4802	NODE_4_length_1347_cov_24.117213	95.652	69	3	0	784	543	611	1347	296	364	1.27e-26	111	69	4802_NODE_4_length_1347_cov_24.117213
4802	NODE_4_length_1347_cov_24.117213	98.462	65	1	0	784	611	675	1347	620	684	9.85e-28	115	65	4802_NODE_4_length_1347_cov_24.117213
4802	NODE_2_length_1738_cov_17.670391	93.548	124	8	0	784	270	393	1738	601	478	7.4e-49	185	124	4802_NODE_2_length_1738_cov_17.670391
4802	NODE_2_length_1738_cov_17.670391	96.429	84	3	0	784	460	543	1738	208	125	5.85e-35	139	84	4802_NODE_2_length_1738_cov_17.670391
4802	NODE_2_length_1738_cov_17.670391	91.045	67	6	0	784	171	237	1738	1100	1034	1.66e-20	91.6	67	4802_NODE_2_length_1738_cov_17.670391
4802	NODE_3_length_1525_cov_22.135908	95.536	112	5	0	784	673	784	1525	990	1101	3.44e-47	180	112	4802_NODE_3_length_1525_cov_22.135908
4802	NODE_3_length_1525_cov_22.135908	95.652	69	3	0	784	543	611	1525	479	547	1.27e-26	111	69	4802_NODE_3_length_1525_cov_22.135908
4802	NODE_3_length_1525_cov_22.135908	98.462	65	1	0	784	611	675	1525	793	857	9.85e-28	115	65	4802_NODE_3_length_1525_cov_22.135908
4806	NODE_3_length_827_cov_4.228571	94.85	233	12	0	557	1	233	827	567	335	6.25e-103	364	233	4806_NODE_3_length_827_cov_4.228571
4806	NODE_2_length_1190_cov_6.456256	97.531	81	2	0	557	477	557	1190	368	288	4.13e-35	139	81	4806_NODE_2_length_1190_cov_6.456256
4806	NODE_2_length_1190_cov_6.456256	96.203	79	3	0	557	401	479	1190	787	709	2.48e-32	130	79	4806_NODE_2_length_1190_cov_6.456256
4806	NODE_1_length_1476_cov_9.263899	96.203	79	3	0	557	401	479	1476	1036	1114	2.48e-32	130	79	4806_NODE_1_length_1476_cov_9.263899
4806	NODE_1_length_1476_cov_9.263899	95.082	61	3	0	557	339	399	1476	507	567	2.52e-22	97.1	61	4806_NODE_1_length_1476_cov_9.263899
4848	NODE_1_length_2184_cov_15.516772	96.751	277	9	0	621	1	277	2184	1941	1665	2.41e-132	462	277	4848_NODE_1_length_2184_cov_15.516772
4848	NODE_1_length_2184_cov_15.516772	96.347	219	7	1	621	274	492	2184	1389	1172	3.25e-101	359	219	4848_NODE_1_length_2184_cov_15.516772
