qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.96	1.04	4.1	4.4	92	87.9	8	1
4527	1.95	1.95	93.3	93.3	100	6.7	0	4
4691	2.01	2.01	100	100	100	0	0	4
4724	4.86	4.86	100	100	100	0	0	10
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1.38	1.38	38.3	38.3	100	61.7	0	3
4793	2.2	2.86	76.8	100	76.8	0	23.2	6
4796	1.01	1.04	3.9	4	96.7	92.8	3.3	2
4802	1.53	1.6	55.2	57.6	95.9	40.7	4.1	4
4806	1.65	1.96	67	79.5	84.2	17.2	15.8	3
4848	1	1.01	0.6	0.6	99.2	98.6	0.8	1
4889	1.78	2.07	60.6	70.5	86	25.4	14	3
4890	2.01	2.66	56.9	75	75.8	19	24.2	4
4893	1.96	2.01	92.7	95	97.6	4.9	2.4	3
4932	1.02	1.02	1.6	1.6	100	98.4	0	2
4942	2.22	2.22	94.9	94.9	100	5.1	0	6
4951	1.94	1.94	93.2	93.4	99.8	6.6	0.2	2
4954	0.98	1.24	19.1	24.1	79.1	60	20.9	3
4989	4.83	5.1	94.7	100	94.7	0	5.3	6
4992	1.29	1.31	30.7	31.3	98	67.3	2	4
