qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2629_cov_34.381695	100	124	0	0	662	54	177	2629	469	592	3.45e-62	230	124	4471_NODE_1_length_2629_cov_34.381695
4471	NODE_1_length_2629_cov_34.381695	97.273	110	2	1	662	554	662	2629	2034	2143	7.57e-49	185	110	4471_NODE_1_length_2629_cov_34.381695
4471	NODE_1_length_2629_cov_34.381695	99.074	108	1	0	662	269	376	2629	1030	1137	1.26e-51	195	108	4471_NODE_1_length_2629_cov_34.381695
4471	NODE_1_length_2629_cov_34.381695	100	101	0	0	662	457	557	2629	1695	1795	2.1e-49	187	101	4471_NODE_1_length_2629_cov_34.381695
4471	NODE_1_length_2629_cov_34.381695	97.959	98	2	0	662	174	271	2629	836	933	2.12e-44	171	98	4471_NODE_1_length_2629_cov_34.381695
4471	NODE_1_length_2629_cov_34.381695	96.703	91	3	0	662	369	459	2629	1254	1344	7.68e-39	152	91	4471_NODE_1_length_2629_cov_34.381695
4527	NODE_1_length_2970_cov_32.970454	95.888	535	22	0	861	269	803	2970	1377	843	0	867	535	4527_NODE_1_length_2970_cov_32.970454
4527	NODE_1_length_2970_cov_32.970454	97.445	274	7	0	861	1	274	2970	2517	2244	8.78e-134	468	274	4527_NODE_1_length_2970_cov_32.970454
4527	NODE_1_length_2970_cov_32.970454	100	60	0	0	861	802	861	2970	616	557	1.71e-26	111	60	4527_NODE_1_length_2970_cov_32.970454
4527	NODE_3_length_1343_cov_29.947368	94.766	535	28	0	861	269	803	1343	378	912	0	833	535	4527_NODE_3_length_1343_cov_29.947368
4527	NODE_2_length_1402_cov_27.821176	94.579	535	29	0	861	269	803	1402	378	912	0	828	535	4527_NODE_2_length_1402_cov_27.821176
4527	NODE_4_length_1121_cov_12.095573	95.238	273	13	0	861	1	273	1121	428	700	3.2e-123	433	273	4527_NODE_4_length_1121_cov_12.095573
4691	NODE_2_length_998_cov_20.424799	97.992	249	5	0	537	74	322	998	365	613	1.98e-123	433	249	4691_NODE_2_length_998_cov_20.424799
4691	NODE_2_length_998_cov_20.424799	97.674	215	5	0	537	323	537	998	706	920	1.57e-104	370	215	4691_NODE_2_length_998_cov_20.424799
4691	NODE_1_length_1406_cov_11.744332	96	250	10	0	537	73	322	1406	1001	752	1.2e-115	407	250	4691_NODE_1_length_1406_cov_11.744332
4691	NODE_1_length_1406_cov_11.744332	93.981	216	13	0	537	322	537	1406	386	171	9.6e-92	327	216	4691_NODE_1_length_1406_cov_11.744332
4691	NODE_4_length_865_cov_5.086721	96	75	3	0	537	1	75	865	468	394	4.86e-30	122	75	4691_NODE_4_length_865_cov_5.086721
4691	NODE_3_length_946_cov_3.570208	94.667	75	4	0	537	1	75	946	547	473	2.26e-28	117	75	4691_NODE_3_length_946_cov_3.570208
4724	NODE_2_length_1677_cov_39.765806	98.361	244	4	0	660	1	244	1677	428	671	3.16e-122	429	244	4724_NODE_2_length_1677_cov_39.765806
4724	NODE_2_length_1677_cov_39.765806	97.895	190	4	0	660	471	660	1677	1234	1423	3.29e-92	329	190	4724_NODE_2_length_1677_cov_39.765806
4724	NODE_2_length_1677_cov_39.765806	97.279	147	4	0	660	324	470	1677	938	1084	2.64e-68	250	147	4724_NODE_2_length_1677_cov_39.765806
4724	NODE_2_length_1677_cov_39.765806	97.468	79	2	0	660	245	323	1677	746	824	7.71e-34	135	79	4724_NODE_2_length_1677_cov_39.765806
4724	NODE_1_length_1920_cov_23.595650	96.311	244	9	0	660	1	244	1920	525	768	6.88e-114	401	244	4724_NODE_1_length_1920_cov_23.595650
4724	NODE_1_length_1920_cov_23.595650	95.789	190	8	0	660	471	660	1920	1454	1643	1.54e-85	307	190	4724_NODE_1_length_1920_cov_23.595650
4724	NODE_1_length_1920_cov_23.595650	93.548	155	8	2	660	324	476	1920	1038	1192	3.44e-62	230	155	4724_NODE_1_length_1920_cov_23.595650
4724	NODE_1_length_1920_cov_23.595650	96.203	79	3	0	660	245	323	1920	853	931	3.59e-32	130	79	4724_NODE_1_length_1920_cov_23.595650
4744	NODE_2_length_722_cov_3.848739	95.833	120	5	0	226	1	120	722	595	476	4.11e-52	195	120	4744_NODE_2_length_722_cov_3.848739
4744	NODE_1_length_1263_cov_24.770246	97.368	76	2	0	226	118	193	1263	579	654	1.17e-32	130	76	4744_NODE_1_length_1263_cov_24.770246
4757	NODE_1_length_2367_cov_25.324107	97.714	175	4	0	551	161	335	2367	255	429	5.98e-84	302	175	4757_NODE_1_length_2367_cov_25.324107
4757	NODE_1_length_2367_cov_25.324107	97.321	112	3	0	551	440	551	2367	1752	1863	1.35e-50	191	112	4757_NODE_1_length_2367_cov_25.324107
4757	NODE_1_length_2367_cov_25.324107	98.077	104	2	0	551	336	439	2367	1482	1585	8.12e-48	182	104	4757_NODE_1_length_2367_cov_25.324107
4757	NODE_2_length_951_cov_9.825243	98.75	160	2	0	551	1	160	951	355	514	6.02e-79	285	160	4757_NODE_2_length_951_cov_9.825243
4793	NODE_1_length_2812_cov_26.966108	97.967	541	11	0	1011	183	723	2812	1792	2332	0	939	541	4793_NODE_1_length_2812_cov_26.966108
4793	NODE_1_length_2812_cov_26.966108	99.265	136	1	0	1011	1	136	2812	631	766	5.28e-67	246	136	4793_NODE_1_length_2812_cov_26.966108
4793	NODE_1_length_2812_cov_26.966108	93.443	61	3	1	1011	122	182	2812	1362	1421	9.41e-20	89.8	61	4793_NODE_1_length_2812_cov_26.966108
4793	NODE_1_length_2812_cov_26.966108	100	50	0	0	1011	724	773	2812	2741	2790	7.28e-21	93.5	50	4793_NODE_1_length_2812_cov_26.966108
4793	NODE_2_length_1753_cov_38.200492	95.009	541	27	0	1011	183	723	1753	341	881	0	850	541	4793_NODE_2_length_1753_cov_38.200492
