qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2661_cov_26.510655	100	124	0	0	662	54	177	2661	574	697	3.48e-62	230	124	4471_NODE_1_length_2661_cov_26.510655
4471	NODE_1_length_2661_cov_26.510655	96.364	110	3	1	662	554	662	2661	2140	2249	3.56e-47	180	110	4471_NODE_1_length_2661_cov_26.510655
4471	NODE_1_length_2661_cov_26.510655	99.074	108	1	0	662	269	376	2661	1135	1242	1.27e-51	195	108	4471_NODE_1_length_2661_cov_26.510655
4471	NODE_1_length_2661_cov_26.510655	100	101	0	0	662	457	557	2661	1800	1900	2.12e-49	187	101	4471_NODE_1_length_2661_cov_26.510655
4471	NODE_1_length_2661_cov_26.510655	98.98	98	1	0	662	174	271	2661	941	1038	4.6e-46	176	98	4471_NODE_1_length_2661_cov_26.510655
4471	NODE_1_length_2661_cov_26.510655	96.703	91	3	0	662	369	459	2661	1360	1450	7.75e-39	152	91	4471_NODE_1_length_2661_cov_26.510655
4527	NODE_2_length_1882_cov_57.179487	95.701	535	23	0	861	269	803	1882	1297	763	0	861	535	4527_NODE_2_length_1882_cov_57.179487
4527	NODE_2_length_1882_cov_57.179487	98.333	60	1	0	861	802	861	1882	536	477	8.01e-25	106	60	4527_NODE_2_length_1882_cov_57.179487
4527	NODE_1_length_2509_cov_19.227960	94.579	535	29	0	861	269	803	2509	1021	487	0	828	535	4527_NODE_1_length_2509_cov_19.227960
4527	NODE_1_length_2509_cov_19.227960	94.872	273	14	0	861	1	273	2509	2035	1763	1.51e-121	427	273	4527_NODE_1_length_2509_cov_19.227960
4527	NODE_6_length_869_cov_27.234501	96.169	496	19	0	861	269	764	869	496	1	0	811	496	4527_NODE_6_length_869_cov_27.234501
4527	NODE_4_length_957_cov_35.850602	96.262	428	16	0	861	376	803	957	2	429	0	702	428	4527_NODE_4_length_957_cov_35.850602
4527	NODE_4_length_957_cov_35.850602	98.333	60	1	0	861	802	861	957	607	666	8.01e-25	106	60	4527_NODE_4_length_957_cov_35.850602
4527	NODE_5_length_886_cov_4.552042	97.436	273	7	0	861	1	273	886	448	720	3.19e-133	466	273	4527_NODE_5_length_886_cov_4.552042
4527	NODE_3_length_1190_cov_7.309501	97.436	273	7	0	861	1	273	1190	496	768	3.19e-133	466	273	4527_NODE_3_length_1190_cov_7.309501
4527	NODE_7_length_530_cov_31.506203	95.98	199	8	0	861	270	468	530	1	199	2.03e-90	324	199	4527_NODE_7_length_530_cov_31.506203
4527	NODE_7_length_530_cov_31.506203	94.737	171	9	0	861	460	630	530	360	530	3.47e-73	267	171	4527_NODE_7_length_530_cov_31.506203
4691	NODE_2_length_1042_cov_10.280874	97.59	249	6	0	537	74	322	1042	656	408	9.29e-122	427	249	4691_NODE_2_length_1042_cov_10.280874
4691	NODE_2_length_1042_cov_10.280874	97.674	215	5	0	537	323	537	1042	314	100	1.59e-104	370	215	4691_NODE_2_length_1042_cov_10.280874
4691	NODE_1_length_1240_cov_10.689128	96.8	250	8	0	537	73	322	1240	498	747	5.59e-119	418	250	4691_NODE_1_length_1240_cov_10.689128
4691	NODE_1_length_1240_cov_10.689128	93.519	216	14	0	537	322	537	1240	828	1043	4.51e-90	322	216	4691_NODE_1_length_1240_cov_10.689128
4691	NODE_4_length_604_cov_2.450734	96	75	3	0	537	1	75	604	332	258	4.91e-30	122	75	4691_NODE_4_length_604_cov_2.450734
4691	NODE_3_length_808_cov_3.220264	96	75	3	0	537	1	75	808	496	422	4.91e-30	122	75	4691_NODE_3_length_808_cov_3.220264
4724	NODE_1_length_2024_cov_17.000527	98.77	244	3	0	660	1	244	2024	590	833	6.85e-124	435	244	4724_NODE_1_length_2024_cov_17.000527
4724	NODE_1_length_2024_cov_17.000527	98.421	190	3	0	660	471	660	2024	1512	1701	7.15e-94	335	190	4724_NODE_1_length_2024_cov_17.000527
