qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2900_cov_38.131266	1.05	1.05	4.5	4.5	100	95.5	0
4527	NODE_1_length_2496_cov_40.965386	0.94	1.01	0.6	0.6	93.3	92.7	6.7
4527	NODE_3_length_990_cov_10.499421	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_2_length_1632_cov_78.021262	0.69	1	0.2	0.3	68.9	68.6	31.1
4691	NODE_4_length_633_cov_3.545455	0.14	1	0	0	14	14	86
4691	NODE_3_length_641_cov_4.505837	0.14	1	0	0	14	14	86
4691	NODE_1_length_1140_cov_20.970385	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_2_length_1045_cov_21.740741	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_1_length_1968_cov_29.134166	1	1	0	0	100	100	0
4724	NODE_2_length_1804_cov_33.042338	1	1	0	0	100	100	0
4744	NODE_2_length_661_cov_3.788390	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_1094_cov_29.693899	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_2_length_740_cov_10.675367	0.29	1	0	0	29	29	71
4757	NODE_1_length_1879_cov_33.343037	0.51	1	0	0	50.6	50.6	49.4
4793	NODE_3_length_1101_cov_32.690965	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_4_length_1087_cov_30.694792	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_1_length_1593_cov_71.075034	0.65	1	0	0	64.8	64.8	35.2
4793	NODE_2_length_1258_cov_57.294430	0.59	1.01	0.3	0.5	58.8	58.5	41.2
4796	NODE_1_length_3444_cov_28.504974	1	1.03	3.1	3.2	96.7	93.6	3.3
4796	NODE_2_length_705_cov_8.762976	0.17	1	0	0	16.9	16.9	83.1
4802	NODE_2_length_1995_cov_38.292827	0.68	1.03	1.8	2.7	65.9	64.2	34.1
4802	NODE_1_length_3287_cov_25.743987	0.41	1.01	0.5	1.3	40.6	40.1	59.4
4802	NODE_5_length_680_cov_1.848101	0.09	1	0	0	8.8	8.8	91.2
4802	NODE_3_length_1088_cov_34.062435	0.21	1.02	0.4	1.9	20.4	20	79.6
4802	NODE_4_length_759_cov_7.984177	0.08	1	0	0	7.5	7.5	92.5
4806	NODE_2_length_2049_cov_6.873569	0.96	1.01	1.1	1.1	95.3	94.3	4.7
4806	NODE_1_length_2239_cov_10.122633	0.67	1	0	0	67	67	33
4806	NODE_3_length_1740_cov_7.284563	0.55	1.02	1.1	2	53.9	52.8	46.1
4848	NODE_1_length_2633_cov_16.268156	1	1.01	0.6	0.6	99.2	98.6	0.8
4889	NODE_1_length_1817_cov_19.903550	0.86	1	0	0	85.9	85.9	14.1
4889	NODE_2_length_1785_cov_11.417370	0.49	1	0	0	49	49	51
4890	NODE_1_length_1279_cov_15.569444	0.34	1	0	0	34.1	34.1	65.9
4890	NODE_2_length_1254_cov_16.111801	0.7	1.05	3.3	5	66.6	63.3	33.4
4893	NODE_1_length_2057_cov_18.963731	0.79	1.04	2.9	3.8	76.5	73.6	23.5
4893	NODE_2_length_1898_cov_23.699040	0.84	1.04	3.5	4.3	80.6	77.2	19.4
4932	NODE_1_length_1935_cov_62.766040	0.86	1.01	0.8	0.9	85.1	84.3	14.9
4932	NODE_2_length_817_cov_11.853623	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_1_length_2745_cov_17.612299	0.7	1.01	0.7	1	69.7	69	30.3
4942	NODE_3_length_723_cov_5.139262	0.1	1	0	0	10.3	10.3	89.7
4942	NODE_2_length_1906_cov_19.505340	0.86	1.01	1	1.2	84.7	83.6	15.3
4951	NODE_1_length_1352_cov_22.626939	1	1	0	0	100	100	0
4951	NODE_2_length_1308_cov_17.857748	1.01	1.01	0.5	0.5	100	99.5	0
4954	NODE_1_length_1383_cov_58.113057	0.56	1	0.2	0.4	55.5	55.3	44.5
4954	NODE_2_length_1206_cov_29.088971	0.24	1.02	0.4	1.9	23.7	23.3	76.3
4954	NODE_3_length_842_cov_2.622378	0.09	1	0	0	8.8	8.8	91.2
4989	NODE_2_length_1242_cov_46.454709	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_6_length_1141_cov_15.065089	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_3_length_1226_cov_11.438581	0.94	1	0.3	0.3	94.1	93.8	5.9
4989	NODE_9_length_792_cov_26.954887	0.95	1.01	0.6	0.7	94.7	94.1	5.3
4989	NODE_1_length_1271_cov_20.619755	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_5_length_1157_cov_12.792233	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_4_length_1168_cov_62.628242	0.83	1	0.3	0.4	82.6	82.2	17.4
4989	NODE_7_length_1024_cov_11.616499	0.39	1	0	0	38.6	38.6	61.4
4989	NODE_8_length_949_cov_23.795620	0.39	1	0	0	38.6	38.6	61.4
4992	NODE_1_length_4558_cov_23.163846	0.99	1.01	0.6	0.6	98	97.4	2
4992	NODE_2_length_1779_cov_5.700969	0.1	1	0	0	10.5	10.5	89.5
4992	NODE_3_length_779_cov_7.633436	0.09	1	0	0	9	9	91
