qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.96	1.04	3.8	4.1	92	88.2	8	1
4527	1.95	1.95	93.3	93.3	100	6.7	0	4
4691	2.01	2.01	100	100	100	0	0	4
4724	2.3	2.3	100	100	100	0	0	3
4744	0.87	1.02	1.3	1.6	85.4	84.1	14.6	2
4757	1	1	0	0	100	100	0	3
4793	1.44	2	71.9	99.6	72.2	0.3	27.8	4
4796	1.07	1.21	18.8	21.3	88.1	69.3	11.9	3
4802	1.56	1.77	66.2	74.9	88.4	22.2	11.6	4
4806	0.96	1.18	14.2	17.5	81	66.8	19	3
4848	1.2	1.21	20.6	20.8	99.2	78.6	0.8	2
4889	1.08	1.26	22.4	26	86	63.7	14	2
4890	0.93	1.39	24.3	36.6	66.6	42.3	33.4	2
4893	1.6	1.82	68	77.3	87.9	19.9	12.1	2
4932	1.02	1.02	2	2	100	98	0	2
4942	1.54	1.9	71.4	88	81.2	9.8	18.8	4
4951	1.99	1.99	99.5	99.5	100	0.5	0	2
4954	0.81	1.02	1.6	2.1	79.1	77.5	20.9	2
4989	6.96	7.35	94.7	100	94.7	0	5.3	9
4992	1.32	1.35	33.9	34.6	98	64.1	2	4
