qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.95	1.04	3.3	3.6	92	88.7	8	1
4527	2.76	2.76	100	100	100	0	0	6
4691	2.01	2.01	100	100	100	0	0	4
4724	2.01	2.01	100	100	100	0	0	2
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1	1	0	0	100	100	0	3
4793	1.62	2.07	72.2	92.1	78.4	6.2	21.6	6
4796	1.07	1.21	18.8	21.3	88.1	69.3	11.9	3
4802	1.17	1.33	28.3	32.3	87.6	59.3	12.4	3
4806	1.77	1.77	63	63.1	99.8	36.8	0.2	5
4848	1.45	1.51	49.1	51.3	95.7	46.5	4.3	3
4889	1.09	1.27	22.4	26	86	63.7	14	2
4890	0.91	1.37	24.3	36.6	66.6	42.3	33.4	2
4893	1.48	1.52	47.7	48.8	97.6	49.9	2.4	2
4932	1.02	1.02	2.3	2.3	100	97.7	0	2
4942	1.73	1.78	74	75.9	97.6	23.5	2.4	3
4951	1.82	1.82	82.1	82.1	100	17.9	0	2
4954	0.89	1.01	0.8	0.9	87.9	87.2	12.1	3
4989	23.46	24.69	94.7	99.7	95	0.3	5	33
4992	1.4	1.42	19.9	20.4	98	78	2	5
