qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2523_cov_50.660267	100	124	0	0	662	54	177	2523	433	556	3.31e-62	230	124	4471_NODE_1_length_2523_cov_50.660267
4471	NODE_1_length_2523_cov_50.660267	98.182	110	1	1	662	554	662	2523	1998	2107	1.56e-50	191	110	4471_NODE_1_length_2523_cov_50.660267
4471	NODE_1_length_2523_cov_50.660267	99.074	108	1	0	662	269	376	2523	994	1101	1.21e-51	195	108	4471_NODE_1_length_2523_cov_50.660267
4471	NODE_1_length_2523_cov_50.660267	98.02	101	2	0	662	457	557	2523	1658	1758	4.38e-46	176	101	4471_NODE_1_length_2523_cov_50.660267
4471	NODE_1_length_2523_cov_50.660267	98.98	98	1	0	662	174	271	2523	800	897	4.38e-46	176	98	4471_NODE_1_length_2523_cov_50.660267
4471	NODE_1_length_2523_cov_50.660267	96.703	91	3	0	662	369	459	2523	1218	1308	7.37e-39	152	91	4471_NODE_1_length_2523_cov_50.660267
4527	NODE_1_length_2796_cov_37.973398	96.075	535	21	0	861	269	803	2796	1560	2094	0	872	535	4527_NODE_1_length_2796_cov_37.973398
4527	NODE_1_length_2796_cov_37.973398	97.81	274	6	0	861	1	274	2796	420	693	1.81e-135	473	274	4527_NODE_1_length_2796_cov_37.973398
4527	NODE_1_length_2796_cov_37.973398	100	60	0	0	861	802	861	2796	2321	2380	1.64e-26	111	60	4527_NODE_1_length_2796_cov_37.973398
4527	NODE_3_length_1135_cov_68.146825	94.953	535	27	0	861	269	803	1135	981	447	0	839	535	4527_NODE_3_length_1135_cov_68.146825
4527	NODE_2_length_1201_cov_7.537244	94.139	273	16	0	861	1	273	1201	678	406	3.1e-118	416	273	4527_NODE_2_length_1201_cov_7.537244
4527	NODE_6_length_306_cov_37.346369	96.154	78	3	0	861	726	803	306	1	78	1.63e-31	128	78	4527_NODE_6_length_306_cov_37.346369
4527	NODE_6_length_306_cov_37.346369	100	51	0	0	861	802	852	306	256	306	1.65e-21	95.3	51	4527_NODE_6_length_306_cov_37.346369
4691	NODE_2_length_915_cov_27.522843	97.992	249	5	0	537	74	322	915	632	384	1.9e-123	433	249	4691_NODE_2_length_915_cov_27.522843
4691	NODE_2_length_915_cov_27.522843	97.674	215	5	0	537	323	537	915	288	74	1.51e-104	370	215	4691_NODE_2_length_915_cov_27.522843
4691	NODE_1_length_949_cov_16.476886	96.4	250	9	0	537	73	322	949	687	438	2.48e-117	412	250	4691_NODE_1_length_949_cov_16.476886
4691	NODE_1_length_949_cov_16.476886	93.59	78	5	0	537	322	399	949	78	1	2.17e-28	117	78	4691_NODE_1_length_949_cov_16.476886
4691	NODE_4_length_695_cov_8.137324	96	75	3	0	537	1	75	695	316	390	4.67e-30	122	75	4691_NODE_4_length_695_cov_8.137324
4691	NODE_3_length_801_cov_6.454006	96	75	3	0	537	1	75	801	359	433	4.67e-30	122	75	4691_NODE_3_length_801_cov_6.454006
4724	NODE_1_length_1625_cov_47.315087	97.541	244	6	0	660	1	244	1625	1222	979	6.56e-119	418	244	4724_NODE_1_length_1625_cov_47.315087
4724	NODE_1_length_1625_cov_47.315087	97.368	190	5	0	660	471	660	1625	416	227	1.47e-90	324	190	4724_NODE_1_length_1625_cov_47.315087
4724	NODE_1_length_1625_cov_47.315087	97.959	147	3	0	660	324	470	1625	712	566	5.45e-70	255	147	4724_NODE_1_length_1625_cov_47.315087
4724	NODE_1_length_1625_cov_47.315087	97.468	79	2	0	660	245	323	1625	904	826	7.4e-34	135	79	4724_NODE_1_length_1625_cov_47.315087
4724	NODE_2_length_1603_cov_29.378726	96.721	244	8	0	660	1	244	1603	324	567	1.42e-115	407	244	4724_NODE_2_length_1603_cov_29.378726
4724	NODE_2_length_1603_cov_29.378726	95.263	190	9	0	660	471	660	1603	1254	1443	6.9e-84	302	190	4724_NODE_2_length_1603_cov_29.378726
4724	NODE_2_length_1603_cov_29.378726	92.903	155	9	2	660	324	476	1603	838	992	1.54e-60	224	155	4724_NODE_2_length_1603_cov_29.378726
4724	NODE_2_length_1603_cov_29.378726	96.203	79	3	0	660	245	323	1603	653	731	3.44e-32	130	79	4724_NODE_2_length_1603_cov_29.378726
4744	NODE_2_length_631_cov_4.890873	95.726	117	5	0	226	1	117	631	362	246	1.84e-50	189	117	4744_NODE_2_length_631_cov_4.890873
4744	NODE_1_length_893_cov_52.983029	98.684	76	1	0	226	118	193	893	397	472	2.43e-34	135	76	4744_NODE_1_length_893_cov_52.983029
4757	NODE_2_length_921_cov_22.892947	98.286	175	3	0	551	161	335	921	257	431	1.23e-85	307	175	4757_NODE_2_length_921_cov_22.892947
4757	NODE_3_length_858_cov_12.138167	98.125	160	3	0	551	1	160	858	276	435	2.69e-77	279	160	4757_NODE_3_length_858_cov_12.138167
4757	NODE_1_length_1208_cov_31.881591	97.321	112	3	0	551	440	551	1208	661	772	1.3e-50	191	112	4757_NODE_1_length_1208_cov_31.881591
