qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	1.05	1.05	4.5	4.5	100	95.5	0	1
4527	1.95	1.95	93.3	93.3	100	6.7	0	3
4691	2.01	2.01	100	100	100	0	0	4
4724	2	2	100	100	100	0	0	2
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	0.8	1	0	0	79.7	79.7	20.3	2
4793	1.51	1.96	72.2	94.1	76.8	4.5	23.2	4
4796	1.17	1.21	20	20.7	96.7	76.7	3.3	2
4802	1.46	1.51	40.4	41.8	96.7	56.2	3.3	5
4806	2.18	2.28	95.3	99.6	95.7	0.4	4.3	3
4848	1	1.01	0.6	0.6	99.2	98.6	0.8	1
4889	1.35	1.57	49	57.1	85.9	36.9	14.1	2
4890	1.04	1.38	27	35.7	75.5	48.5	24.5	2
4893	1.63	1.67	59.5	61	97.6	38.1	2.4	2
4932	1.02	1.02	1.6	1.6	100	98.4	0	2
4942	1.66	1.72	68.1	70.6	96.5	28.4	3.5	3
4951	2.01	2.01	100	100	100	0	0	2
4954	0.89	1.01	0.8	0.9	87.9	87.2	12.1	3
4989	7.3	7.71	94.7	100	94.7	0	5.3	9
4992	1.18	1.2	19.8	20.2	98	78.1	2	3
