qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.95	1.04	3.3	3.6	92	88.7	8	1
4527	3.97	3.97	100	100	100	0	0	12
4691	1.99	1.99	98	98	100	2	0	4
4724	2.52	2.52	100	100	100	0	0	3
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1	1	0	0	100	100	0	3
4793	1.39	1.93	66.8	92.5	72.2	5.4	27.8	4
4796	1.07	1.21	18.8	21.3	88.1	69.3	11.9	3
4802	1.42	1.6	52.3	59.2	88.4	36.1	11.6	3
4806	1.57	1.57	56.6	56.7	99.8	43.3	0.2	3
4848	1.79	1.81	78.7	79.4	99.2	20.5	0.8	2
4889	1.09	1.27	22.9	26.6	86	63.1	14	2
4890	0.83	1.42	24.3	41.8	58.3	33.9	41.7	2
4893	1.54	1.72	59.5	66.4	89.6	30.1	10.4	3
4932	1.02	1.02	2.3	2.3	100	97.7	0	2
4942	1.72	1.78	73.5	75.8	97	23.5	3	3
4951	2.67	2.67	93.6	93.6	100	6.4	0	4
4954	0.9	1.02	2	2.2	87.9	85.9	12.1	3
4989	11.79	12.45	94.7	100	94.7	0	5.3	24
4992	1.06	1.08	8	8.2	97.9	89.9	2.1	2
