qseqid,paralogy_index,paralogy_index_ignoreMissing,paralog_percent,paralog_percent_ignoreMissing,full_percent,unique_percent,missing_percent,n_chroms,Sample,orderMean,step.k1.pred,nplr_mod.pred,nplr_mod.pred_resid
4744,0.85,1,0,0,85.4,85.4,14.6,2,Cr205LE_Crataegus-pycnoloba,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,Micr214RU_Micromeles-alnifolia,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,Cr197LE_Crataegus-aronia,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,Pyr227GrAl_Pyrus-regelii,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,Cr186TAD_Crataegus-brachyacantha,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,S232BIN_Sorbus-sambucifolia,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,Mlu225ILL_Malus-ombrophila,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,Pyrn229Dut_Pyracantha-coccinea,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,Mlu238BIN_Malus-toringo,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,S230GrAl_Sorbus-tianschanica,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.34,1,0,0,33.6,33.6,66.4,1,Pru285BGUK_Prunus-tenella,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,Cr184TAD_Crataegus-triflora,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,S217RU_Sorbus-aucuparia,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,Cr183TAD_Crataegus-calpodendron,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,Pour210RU_Pourthiaea-villosa,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,Cr204Bab_Crataegus-dahurica,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,Mlu211GrAl_Malus-sieversii,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,Mlu226BIN_Malus-sylvestris,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,Cr202RU_Crataegus-pinnatifida,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
4744,0.85,1,0,0,85.4,85.4,14.6,2,Cr193GrAl_Crataegus-remotilobata,1,21.1384615384615,0.0352749853564468,-0.0352749853564468
