qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2629_cov_34.381695	0.95	1.04	3.3	3.6	92	88.7	8
4527	NODE_1_length_2970_cov_32.970454	1.01	1.01	0.9	0.9	100	99.1	0
4527	NODE_4_length_1121_cov_12.095573	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_3_length_1343_cov_29.947368	0.62	1	0	0	62.1	62.1	37.9
4527	NODE_2_length_1402_cov_27.821176	0.62	1	0	0	62.1	62.1	37.9
4691	NODE_4_length_865_cov_5.086721	0.14	1	0	0	14	14	86
4691	NODE_3_length_946_cov_3.570208	0.14	1	0	0	14	14	86
4691	NODE_1_length_1406_cov_11.744332	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_2_length_998_cov_20.424799	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_2_length_1677_cov_39.765806	1	1	0	0	100	100	0
4724	NODE_1_length_1920_cov_23.595650	1.01	1.01	0.9	0.9	100	99.1	0
4744	NODE_2_length_722_cov_3.848739	0.53	1	0	0	53.1	53.1	46.9
4744	NODE_1_length_1263_cov_24.770246	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_2_length_951_cov_9.825243	0.29	1	0	0	29	29	71
4757	NODE_1_length_2367_cov_25.324107	0.71	1	0	0	71	71	29
4793	NODE_1_length_2812_cov_26.966108	0.78	1.02	1.5	1.9	76.5	75	23.5
4793	NODE_3_length_1302_cov_26.525106	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_2_length_1753_cov_38.200492	0.79	1.01	0.8	1	78.3	77.5	21.7
4793	NODE_4_length_686_cov_38.257603	0.21	1	0	0	20.8	20.8	79.2
4796	NODE_1_length_3124_cov_19.312646	1.01	1.04	3.9	4	96.7	92.8	3.3
4796	NODE_2_length_872_cov_2.016107	0.14	1	0	0	14.4	14.4	85.6
4802	NODE_1_length_2187_cov_24.390291	0.58	1.01	0.8	1.3	57.7	56.9	42.3
4802	NODE_2_length_2046_cov_10.778530	0.36	1.02	0.6	1.8	34.9	34.3	65.1
4802	NODE_3_length_1414_cov_17.918415	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4802	NODE_4_length_602_cov_9.829474	0.17	1.01	0.1	0.8	17	16.8	83
4806	NODE_1_length_1970_cov_5.874661	0.99	1.01	0.5	0.5	98.9	98.4	1.1
4806	NODE_3_length_877_cov_7.782667	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_2_length_1790_cov_10.094408	0.25	1	0	0	25.1	25.1	74.9
4848	NODE_1_length_2533_cov_13.457606	1	1.01	0.6	0.6	99.2	98.6	0.8
4848	NODE_2_length_1458_cov_21.385424	0.49	1	0	0	48.6	48.6	51.4
4889	NODE_1_length_1624_cov_12.808283	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_1516_cov_8.050396	0.22	1	0	0	22.2	22.2	77.8
4890	NODE_1_length_1512_cov_14.398556	0.72	1.02	1.7	2.5	70.3	68.5	29.7
4890	NODE_2_length_1484_cov_10.752395	0.23	1	0	0	22.6	22.6	77.4
4890	NODE_3_length_850_cov_4.264177	0.22	1	0	0	22.1	22.1	77.9
4893	NODE_3_length_484_cov_1.549020	0.18	1	0	0	17.9	17.9	82.1
4893	NODE_1_length_2019_cov_16.100951	0.83	1.03	2.3	2.8	80.6	78.4	19.4
4893	NODE_2_length_1819_cov_17.949764	0.68	1.02	1.6	2.4	66.5	64.9	33.5
4932	NODE_1_length_1906_cov_35.758853	0.86	1.01	0.5	0.6	85.8	85.3	14.2
4932	NODE_2_length_1042_cov_10.725683	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_1_length_2443_cov_15.129965	0.85	1.01	0.9	1	83.8	82.9	16.2
4942	NODE_3_length_692_cov_4.023009	0.1	1	0	0	10.3	10.3	89.7
4942	NODE_2_length_1935_cov_21.058628	0.76	1.01	0.9	1.2	75.4	74.6	24.6
4951	NODE_1_length_1565_cov_17.788595	1.01	1.01	0.5	0.5	100	99.5	0
4951	NODE_2_length_1192_cov_12.223474	1.01	1.01	0.5	0.5	100	99.5	0
4954	NODE_1_length_1520_cov_31.997128	0.56	1	0.2	0.4	55.5	55.3	44.5
4954	NODE_2_length_1281_cov_18.659445	0.25	1.06	1.3	5.6	23.7	22.4	76.3
4954	NODE_5_length_479_cov_1.775568	0.08	1	0	0	8.3	8.3	91.7
4954	NODE_3_length_715_cov_1.311224	0.09	1	0	0	8.8	8.8	91.2
4989	NODE_9_length_1151_cov_42.602539	0.95	1	0.3	0.3	94.7	94.4	5.3
