qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2701_cov_36.411810	1.04	1.04	4.4	4.4	100	95.6	0
4527	NODE_3_length_1040_cov_9.765608	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_4_length_1001_cov_11.457666	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_1_length_1813_cov_59.555160	0.69	1	0.2	0.3	68.9	68.6	31.1
4527	NODE_2_length_1518_cov_57.666427	0.62	1	0	0	62.1	62.1	37.9
4691	NODE_4_length_684_cov_1.010772	0.14	1	0	0	14	14	86
4691	NODE_3_length_828_cov_4.075606	0.14	1	0	0	14	14	86
4691	NODE_2_length_1085_cov_34.146138	0.87	1	0	0	86.6	86.6	13.4
4691	NODE_1_length_1096_cov_21.857585	0.87	1	0.2	0.2	86.6	86.4	13.4
4724	NODE_3_length_1752_cov_36.899077	1	1	0	0	100	100	0
4724	NODE_2_length_1837_cov_10.436257	1.01	1.01	0.8	0.8	100	99.2	0
4724	NODE_1_length_1838_cov_20.576271	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_4_length_1185_cov_4.890359	0.58	1.02	0.9	1.6	56.7	55.8	43.3
4724	NODE_5_length_704_cov_3.882149	0.12	1	0	0	12	12	88
4744	NODE_2_length_894_cov_2.878748	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_1090_cov_35.150571	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_2_length_942_cov_8.687117	0.29	1	0	0	29	29	71
4757	NODE_3_length_888_cov_18.972405	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1345_cov_23.337438	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_2_length_1184_cov_16.826868	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_3_length_1165_cov_30.736031	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_4_length_1106_cov_27.979571	0.54	1	0	0	53.5	53.5	46.5
4793	NODE_1_length_1505_cov_41.145864	0.59	1.01	0.3	0.5	58.8	58.5	41.2
4796	NODE_1_length_1796_cov_50.321750	0.75	1.02	1.8	2.5	72.8	71	27.2
4796	NODE_2_length_1367_cov_11.501613	0.26	1	0	0	25.6	25.6	74.4
4802	NODE_2_length_2080_cov_49.747056	0.68	1.03	1.8	2.7	65.9	64.2	34.1
4802	NODE_1_length_3572_cov_18.984906	0.64	1.01	0.6	1	63.1	62.5	36.9
4802	NODE_4_length_965_cov_21.943914	0.16	1	0	0	15.9	15.9	84.1
4802	NODE_3_length_1250_cov_28.891362	0.23	1.02	0.4	1.7	22.2	21.8	77.8
4806	NODE_1_length_1907_cov_8.667416	0.87	1.01	0.5	0.6	86	85.5	14
4806	NODE_3_length_788_cov_4.804841	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_2_length_1631_cov_13.617686	0.25	1	0	0	25.1	25.1	74.9
4848	NODE_4_length_634_cov_3.441815	0.45	1	0	0	44.6	44.6	55.4
4848	NODE_6_length_402_cov_1.676364	0.4	1	0	0	40.1	40.1	59.9
4848	NODE_5_length_430_cov_1.693069	0.15	1	0	0	14.8	14.8	85.2
4848	NODE_1_length_2034_cov_24.755637	0.55	1	0	0	55.2	55.2	44.8
4848	NODE_2_length_823_cov_9.981322	0.35	1	0	0	35.3	35.3	64.7
4848	NODE_3_length_693_cov_7.134276	0.48	1	0	0	47.8	47.8	52.2
