qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.96	1.05	4.2	4.6	92	87.8	8	1
4527	2.73	2.73	93.3	93.3	100	6.7	0	6
4691	2.01	2.01	100	100	100	0	0	4
4724	2.39	2.39	99.8	99.8	100	0.2	0	3
4744	0.87	1.02	1.3	1.6	85.4	84.1	14.6	2
4757	1	1	0	0	100	100	0	3
4793	1.61	2.1	71.9	93.7	76.8	4.8	23.2	6
4796	1.18	1.22	20.8	21.6	96.7	75.8	3.3	3
4802	1.56	1.77	66.2	74.9	88.4	22.2	11.6	3
4806	1.57	1.57	56.6	56.7	99.8	43.3	0.2	3
4848	1.72	1.74	72	72.8	98.9	26.9	1.1	2
4889	1.09	1.27	22.4	26	86	63.7	14	2
4890	0.91	1.37	24.3	36.6	66.6	42.3	33.4	2
4893	1.52	1.88	67.5	83.7	80.6	13.1	19.4	2
4932	1.02	1.02	2.3	2.3	100	97.7	0	2
4942	2.17	2.3	72.3	76.6	94.4	22.1	5.6	4
4951	2.82	2.82	100	100	100	0	0	3
4954	0.81	1.02	2	2.5	79.1	77.2	20.9	2
4989	14.73	15.55	94.7	100	94.7	0	5.3	22
4992	1.17	1.2	19.1	19.5	98	78.9	2	3
