qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2701_cov_36.411810	99.225	129	0	1	662	54	182	2701	668	795	9e-63	231	129	4471_NODE_1_length_2701_cov_36.411810
4471	NODE_1_length_2701_cov_36.411810	99.091	110	0	1	662	554	662	2701	2184	2293	3.28e-52	196	110	4471_NODE_1_length_2701_cov_36.411810
4471	NODE_1_length_2701_cov_36.411810	100	108	0	0	662	269	376	2701	1227	1334	2.54e-53	200	108	4471_NODE_1_length_2701_cov_36.411810
4471	NODE_1_length_2701_cov_36.411810	100	101	0	0	662	457	557	2701	1844	1944	1.98e-49	187	101	4471_NODE_1_length_2701_cov_36.411810
4471	NODE_1_length_2701_cov_36.411810	100	98	0	0	662	174	271	2701	1035	1132	9.19e-48	182	98	4471_NODE_1_length_2701_cov_36.411810
4471	NODE_1_length_2701_cov_36.411810	97.802	91	2	0	662	369	459	2701	1451	1541	1.55e-40	158	91	4471_NODE_1_length_2701_cov_36.411810
4471	NODE_1_length_2701_cov_36.411810	100	55	0	0	662	1	55	2701	248	302	7.36e-24	102	55	4471_NODE_1_length_2701_cov_36.411810
4527	NODE_1_length_1813_cov_59.555160	97.383	535	14	0	861	269	803	1813	477	1011	0	911	535	4527_NODE_1_length_1813_cov_59.555160
4527	NODE_1_length_1813_cov_59.555160	98.333	60	1	0	861	802	861	1813	1189	1248	7.45e-25	106	60	4527_NODE_1_length_1813_cov_59.555160
4527	NODE_2_length_1518_cov_57.666427	94.766	535	28	0	861	269	803	1518	1107	573	0	833	535	4527_NODE_2_length_1518_cov_57.666427
4527	NODE_3_length_1040_cov_9.765608	99.634	273	1	0	861	1	273	1040	636	364	2.93e-143	499	273	4527_NODE_3_length_1040_cov_9.765608
4527	NODE_4_length_1001_cov_11.457666	95.238	273	13	0	861	1	273	1001	459	731	3.01e-123	433	273	4527_NODE_4_length_1001_cov_11.457666
4691	NODE_2_length_1085_cov_34.146138	100	250	0	0	537	73	322	1085	720	471	2.37e-132	462	250	4691_NODE_2_length_1085_cov_34.146138
4691	NODE_2_length_1085_cov_34.146138	99.535	215	1	0	537	323	537	1085	371	157	3.15e-111	392	215	4691_NODE_2_length_1085_cov_34.146138
4691	NODE_1_length_1096_cov_21.857585	97.2	250	7	0	537	73	322	1096	366	615	1.12e-120	424	250	4691_NODE_1_length_1096_cov_21.857585
4691	NODE_1_length_1096_cov_21.857585	93.056	216	15	0	537	322	537	1096	695	910	1.95e-88	316	216	4691_NODE_1_length_1096_cov_21.857585
4691	NODE_4_length_684_cov_1.010772	100	75	0	0	537	1	75	684	225	299	4.54e-35	139	75	4691_NODE_4_length_684_cov_1.010772
4691	NODE_3_length_828_cov_4.075606	96	75	3	0	537	1	75	828	447	373	4.57e-30	122	75	4691_NODE_3_length_828_cov_4.075606
4724	NODE_3_length_1752_cov_36.899077	99.59	244	1	0	660	1	244	1752	1381	1138	2.94e-127	446	244	4724_NODE_3_length_1752_cov_36.899077
4724	NODE_3_length_1752_cov_36.899077	99.474	190	1	0	660	471	660	1752	462	273	3.07e-97	346	190	4724_NODE_3_length_1752_cov_36.899077
4724	NODE_3_length_1752_cov_36.899077	99.32	147	1	0	660	324	470	1752	873	727	2.46e-73	267	147	4724_NODE_3_length_1752_cov_36.899077
4724	NODE_3_length_1752_cov_36.899077	100	79	0	0	660	245	323	1752	1063	985	3.34e-37	147	79	4724_NODE_3_length_1752_cov_36.899077
4724	NODE_2_length_1837_cov_10.436257	95.492	244	11	0	660	1	244	1837	1463	1220	1.4e-110	390	244	4724_NODE_2_length_1837_cov_10.436257
4724	NODE_2_length_1837_cov_10.436257	89.894	188	19	0	660	473	660	1837	550	363	4.15e-66	243	188	4724_NODE_2_length_1837_cov_10.436257
4724	NODE_2_length_1837_cov_10.436257	89.744	156	12	4	660	323	476	1837	957	804	3.27e-52	196	156	4724_NODE_2_length_1837_cov_10.436257
4724	NODE_2_length_1837_cov_10.436257	94.937	79	4	0	660	245	323	1837	1140	1062	1.57e-30	124	79	4724_NODE_2_length_1837_cov_10.436257
4724	NODE_1_length_1838_cov_20.576271	95.082	244	12	0	660	1	244	1838	472	715	6.51e-109	385	244	4724_NODE_1_length_1838_cov_20.576271
4724	NODE_1_length_1838_cov_20.576271	95.789	190	8	0	660	471	660	1838	1373	1562	1.45e-85	307	190	4724_NODE_1_length_1838_cov_20.576271
4724	NODE_1_length_1838_cov_20.576271	91.613	155	11	2	660	324	476	1838	997	1151	3.25e-57	213	155	4724_NODE_1_length_1838_cov_20.576271
4724	NODE_1_length_1838_cov_20.576271	94.937	79	4	0	660	245	323	1838	815	893	1.57e-30	124	79	4724_NODE_1_length_1838_cov_20.576271
4724	NODE_4_length_1185_cov_4.890359	89.441	161	13	4	660	319	476	1185	688	529	2.53e-53	200	161	4724_NODE_4_length_1185_cov_4.890359
4724	NODE_4_length_1185_cov_4.890359	91.824	159	13	0	660	471	629	1185	268	110	5.4e-60	222	159	4724_NODE_4_length_1185_cov_4.890359
4724	NODE_4_length_1185_cov_4.890359	96.825	63	2	0	660	182	244	1185	1015	953	5.67e-25	106	63	4724_NODE_4_length_1185_cov_4.890359
4724	NODE_5_length_704_cov_3.882149	94.937	79	4	0	660	245	323	704	312	234	1.57e-30	124	79	4724_NODE_5_length_704_cov_3.882149
4744	NODE_2_length_894_cov_2.878748	100	117	0	0	226	1	117	894	496	380	8.23e-59	217	117	4744_NODE_2_length_894_cov_2.878748
4744	NODE_1_length_1090_cov_35.150571	98.684	76	1	0	226	118	193	1090	595	670	2.37e-34	135	76	4744_NODE_1_length_1090_cov_35.150571
4757	NODE_3_length_888_cov_18.972405	99.429	175	1	0	551	161	335	888	259	433	5.57e-89	318	175	4757_NODE_3_length_888_cov_18.972405
4757	NODE_2_length_942_cov_8.687117	100	160	0	0	551	1	160	942	391	550	2.61e-82	296	160	4757_NODE_2_length_942_cov_8.687117
4757	NODE_1_length_1345_cov_23.337438	99.107	112	1	0	551	440	551	1345	582	471	5.86e-54	202	112	4757_NODE_1_length_1345_cov_23.337438
4757	NODE_1_length_1345_cov_23.337438	100	104	0	0	551	336	439	1345	861	758	3.52e-51	193	104	4757_NODE_1_length_1345_cov_23.337438
4793	NODE_4_length_1106_cov_27.979571	98.891	541	6	0	1011	183	723	1106	210	750	0	966	541	4793_NODE_4_length_1106_cov_27.979571
4793	NODE_1_length_1505_cov_41.145864	95.749	541	23	0	1011	183	723	1505	1029	489	0	872	541	4793_NODE_1_length_1505_cov_41.145864
4793	NODE_1_length_1505_cov_41.145864	98.246	57	0	1	1011	721	776	1505	288	232	1.47e-22	99	57	4793_NODE_1_length_1505_cov_41.145864
4793	NODE_2_length_1184_cov_16.826868	99.265	136	1	0	1011	1	136	1184	597	462	4.96e-67	246	136	4793_NODE_2_length_1184_cov_16.826868
4793	NODE_3_length_1165_cov_30.736031	98.529	136	2	0	1011	1	136	1165	540	405	2.31e-65	241	136	4793_NODE_3_length_1165_cov_30.736031
4796	NODE_1_length_1796_cov_50.321750	99.387	163	1	0	720	312	474	1796	640	478	3.43e-82	296	163	4796_NODE_1_length_1796_cov_50.321750
