qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2465_cov_41.325920	0.95	1.04	3.3	3.6	92	88.7	8
4527	NODE_4_length_857_cov_12.584932	0.32	1	0	0	31.8	31.8	68.2
4527	NODE_3_length_1079_cov_6.025210	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_1_length_1643_cov_40.366095	0.69	1	0.2	0.3	68.9	68.6	31.1
4527	NODE_2_length_1411_cov_36.475857	0.62	1	0	0	62.1	62.1	37.9
4527	NODE_5_length_684_cov_24.075404	0.43	1	0	0	42.6	42.6	57.4
4527	NODE_6_length_653_cov_36.055133	0.39	1.01	0.2	0.6	38.4	38.2	61.6
4691	NODE_3_length_984_cov_5.110852	0.14	1	0	0	14	14	86
4691	NODE_4_length_727_cov_7.513333	0.14	1	0	0	14	14	86
4691	NODE_2_length_1074_cov_14.734952	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_1_length_1219_cov_15.336996	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_2_length_1664_cov_28.612232	1	1	0	0	100	100	0
4724	NODE_1_length_1692_cov_48.943131	1.01	1.01	0.9	0.9	100	99.1	0
4744	NODE_2_length_734_cov_2.848435	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_973_cov_32.528369	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_2_length_936_cov_10.925834	0.29	1	0	0	29	29	71
4757	NODE_3_length_749_cov_29.424437	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1234_cov_29.991870	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_3_length_1123_cov_28.357430	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_4_length_1109_cov_22.088595	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_1_length_1443_cov_48.155775	0.58	1	0	0	58.5	58.5	41.5
4793	NODE_2_length_1438_cov_47.351640	0.59	1.01	0.3	0.5	58.8	58.5	41.2
4793	NODE_6_length_593_cov_21.433476	0.11	1	0	0	11.4	11.4	88.6
4793	NODE_5_length_773_cov_1.111455	0.06	1	0	0	6.2	6.2	93.8
4796	NODE_1_length_1647_cov_30.167105	0.64	1.03	1.8	2.9	62.5	60.7	37.5
4796	NODE_2_length_1631_cov_7.408910	0.26	1	0	0	25.6	25.6	74.4
4796	NODE_3_length_838_cov_2.292546	0.17	1	0	0	16.9	16.9	83.1
4802	NODE_1_length_2192_cov_28.044068	0.58	1.01	0.8	1.3	56.9	56.1	43.1
4802	NODE_2_length_1956_cov_7.832695	0.28	1.01	0.3	0.9	27.6	27.3	72.4
4802	NODE_3_length_1443_cov_16.541793	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4806	NODE_5_length_776_cov_4.010786	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_3_length_916_cov_2.948035	0.68	1.01	0.5	0.8	67.9	67.3	32.1
4806	NODE_1_length_1465_cov_11.187593	0.25	1	0	0	25.1	25.1	74.9
4806	NODE_4_length_783_cov_4.551829	0.14	1	0	0	13.6	13.6	86.4
4806	NODE_2_length_1163_cov_3.181467	0.28	1	0	0	28	28	72
4848	NODE_3_length_456_cov_2.097264	0.26	1	0	0	26.2	26.2	73.8
4848	NODE_1_length_1909_cov_17.028620	0.7	1.01	0.6	0.9	69.2	68.6	30.8
4848	NODE_2_length_1430_cov_24.128166	0.49	1	0	0	48.6	48.6	51.4
4889	NODE_1_length_1622_cov_13.476923	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_1211_cov_9.632841	0.22	1	0	0	22.2	22.2	77.8
4890	NODE_1_length_1163_cov_5.410232	0.31	1.02	0.5	1.7	31	30.4	69
4890	NODE_2_length_1136_cov_19.390486	0.6	1.03	1.7	3	58.3	56.5	41.7
4893	NODE_1_length_2347_cov_17.260360	1.01	1.04	3.6	3.7	97.6	94	2.4
4893	NODE_2_length_1579_cov_8.628099	0.47	1.02	0.8	1.7	46.2	45.4	53.8
4932	NODE_1_length_1741_cov_51.727385	0.87	1.01	0.8	0.9	85.8	85	14.2
4932	NODE_2_length_1004_cov_20.623717	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_1_length_2787_cov_12.393233	0.85	1.01	0.9	1	83.8	82.9	16.2
4942	NODE_3_length_747_cov_5.711290	0.12	1	0	0	11.8	11.8	88.2
4942	NODE_2_length_1810_cov_26.985146	0.77	1.01	0.9	1.1	76	75.1	24
4951	NODE_2_length_1296_cov_14.453379	1.01	1.01	0.5	0.5	100	99.5	0
4951	NODE_1_length_1306_cov_20.906701	0.82	1	0	0	81.6	81.6	18.4
4954	NODE_1_length_1369_cov_28.788245	0.56	1	0.2	0.4	55.5	55.3	44.5
4954	NODE_2_length_1211_cov_25.311808	0.24	1.02	0.4	1.9	23.7	23.3	76.3
4954	NODE_3_length_450_cov_1.182663	0.09	1	0	0	8.8	8.8	91.2
4989	NODE_5_length_1281_cov_29.030329	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_33_length_263_cov_11.183824	0.56	1	0	0	56.4	56.4	43.6
4989	NODE_10_length_1080_cov_30.289612	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_31_length_336_cov_30.488038	0.56	1	0	0	56.4	56.4	43.6
4989	NODE_27_length_419_cov_56.756849	0.91	1	0.3	0.3	90.3	90	9.7
4989	NODE_19_length_819_cov_14.882948	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_17_length_934_cov_16.661710	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_16_length_969_cov_19.469121	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_14_length_983_cov_7.878505	0.56	1	0	0	56.4	56.4	43.6
4989	NODE_2_length_1731_cov_23.141521	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_3_length_1421_cov_16.559505	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_9_length_1129_cov_17.240519	0.95	1	0	0	94.7	94.7	5.3
