qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	1.04	1.04	4.4	4.4	100	95.6	0	1
4527	2.26	2.26	93.3	93.3	100	6.7	0	5
4691	2.23	2.23	100	100	100	0	0	5
4724	2.02	2.02	100	100	100	0	0	3
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1	1	0	0	100	100	0	3
4793	1.56	1.9	72.2	88.2	81.9	9.7	18.1	4
4796	1.01	1.04	3.9	4	96.7	92.8	3.3	2
4802	1.93	1.99	79.7	82.5	96.7	17	3.3	6
4806	1.26	1.26	25	25	100	75	0	2
4848	2	2.01	99.2	100	99.2	0	0.8	2
4889	1.36	1.58	49.9	58	86	36.1	14	2
4890	1.15	1.66	43.5	63	69	25.6	31	3
4893	2.38	2.44	89.6	91.8	97.6	8	2.4	4
4932	1.02	1.02	1.9	1.9	100	98.1	0	2
4942	1.8	1.87	81.2	84.1	96.5	15.3	3.5	3
4951	2.44	2.44	100	100	100	0	0	3
4954	0.9	1.01	0.7	0.7	89	88.4	11	4
4989	7.94	8.38	94.7	100	94.7	0	5.3	10
4992	1.41	1.44	25.5	26.1	98	72.4	2	5
