qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.96	1.05	4.2	4.6	92	87.8	8	1
4527	2.95	2.95	100	100	100	0	0	6
4691	2.01	2.01	100	100	100	0	0	4
4724	2.3	2.3	100	100	100	0	0	3
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1	1	0	0	100	100	0	3
4793	1.44	2	71.9	99.6	72.2	0.3	27.8	4
4796	1.07	1.21	18.8	21.3	88.1	69.3	11.9	3
4802	1.56	1.76	65.9	74.6	88.4	22.4	11.6	4
4806	1.68	1.68	67	67	100	33	0	3
4848	1.99	2.01	98.7	99.5	99.2	0.5	0.8	2
4889	1.09	1.27	22.4	26	86	63.7	14	2
4890	1.17	1.67	24.3	34.7	70.3	45.9	29.7	3
4893	1.49	1.66	47.7	53.2	89.6	42	10.4	4
4932	1.02	1.02	2.3	2.3	100	97.7	0	2
4942	1.56	1.64	59.4	62.6	94.9	35.5	5.1	3
4951	1.99	1.99	99.5	99.5	100	0.5	0	2
4954	0.89	1.02	1.6	1.9	87.5	85.8	12.5	3
4989	8.41	8.88	94.7	100	94.7	0	5.3	10
4992	1.13	1.15	15.1	15.5	98	82.8	2	2
