qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2661_cov_26.510655	0.95	1.04	3.3	3.6	92	88.7	8
4527	NODE_1_length_2509_cov_19.227960	0.94	1.01	0.6	0.6	93.3	92.7	6.7
4527	NODE_5_length_886_cov_4.552042	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_3_length_1190_cov_7.309501	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_2_length_1882_cov_57.179487	0.69	1	0.2	0.3	68.9	68.6	31.1
4527	NODE_6_length_869_cov_27.234501	0.58	1	0	0	57.6	57.6	42.4
4527	NODE_7_length_530_cov_31.506203	0.43	1.02	1	2.5	41.9	40.9	58.1
4527	NODE_4_length_957_cov_35.850602	0.57	1	0.2	0.4	56.4	56.2	43.6
4691	NODE_4_length_604_cov_2.450734	0.14	1	0	0	14	14	86
4691	NODE_3_length_808_cov_3.220264	0.14	1	0	0	14	14	86
4691	NODE_1_length_1240_cov_10.689128	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_2_length_1042_cov_10.280874	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_1_length_2024_cov_17.000527	1	1	0	0	99.8	99.8	0.2
4724	NODE_2_length_1747_cov_18.217284	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_3_length_647_cov_2.032692	0.38	1.02	0.9	2.5	37	36.1	63
4744	NODE_2_length_720_cov_5.667791	0.53	1	0	0	53.1	53.1	46.9
4744	NODE_1_length_1114_cov_22.857143	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_2_length_936_cov_5.505562	0.29	1	0	0	29	29	71
4757	NODE_3_length_808_cov_16.218796	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1247_cov_26.235714	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_4_length_906_cov_17.863928	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_3_length_1153_cov_17.953216	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_1_length_1621_cov_33.375502	0.64	1	0	0	64.4	64.4	35.6
4793	NODE_2_length_1428_cov_22.833974	0.64	1	0.3	0.5	64	63.7	36
4793	NODE_7_length_242_cov_15.052174	0.06	1	0	0	6.1	6.1	93.9
4796	NODE_1_length_3119_cov_19.657420	1.01	1.04	3.9	4	96.7	92.8	3.3
4802	NODE_2_length_2276_cov_21.790135	0.58	1.01	0.8	1.3	57.7	56.9	42.3
4802	NODE_1_length_2877_cov_16.350909	0.57	1.01	0.5	0.9	56.9	56.4	43.1
4802	NODE_3_length_1359_cov_16.387175	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4806	NODE_1_length_1840_cov_4.727963	0.75	1	0	0	74.9	74.9	25.1
4806	NODE_3_length_875_cov_1.685829	0.42	1	0	0	41.8	41.8	58.2
