qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	1.04	1.04	4.4	4.4	100	95.6	0	1
4527	1.95	1.95	93.3	93.3	100	6.7	0	4
4691	2.01	2.01	100	100	100	0	0	4
4724	3.71	3.71	100	100	100	0	0	5
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1	1	0	0	100	100	0	3
4793	1.39	1.93	67	92.7	72.2	5.2	27.8	4
4796	1	1.04	3.9	4	96.3	92.4	3.8	2
4802	1.7	1.76	55.2	57.1	96.7	41.5	3.3	4
4806	1.54	1.78	67	77.9	86	19	14	3
4848	2.38	2.38	99.2	99.2	100	0.8	0	6
4889	1.36	1.58	49.7	57.8	86	36.3	14	2
4890	2.04	2.68	56.9	74.8	76	19.1	24	4
4893	2.2	2.26	72.6	74.4	97.6	25	2.4	3
4932	1.02	1.02	1.6	1.6	100	98.4	0	2
4942	3.2	3.2	100	100	100	0	0	7
4951	1.74	1.74	73.9	73.9	100	26.1	0	2
4954	0.81	1.02	2	2.5	79.1	77.2	20.9	2
4989	5.41	5.72	94.7	100	94.7	0	5.3	6
4992	1.06	1.08	7.8	8	98	90.1	2	2
