qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2523_cov_50.660267	0.95	1.04	3.3	3.6	92	88.7	8
4527	NODE_1_length_2796_cov_37.973398	1.01	1.01	0.9	0.9	100	99.1	0
4527	NODE_2_length_1201_cov_7.537244	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_3_length_1135_cov_68.146825	0.62	1	0	0	62.1	62.1	37.9
4527	NODE_6_length_306_cov_37.346369	0.15	1.02	0.2	1.6	14.8	14.5	85.2
4691	NODE_4_length_695_cov_8.137324	0.14	1	0	0	14	14	86
4691	NODE_3_length_801_cov_6.454006	0.14	1	0	0	14	14	86
4691	NODE_1_length_949_cov_16.476886	0.61	1	0.2	0.3	60.9	60.7	39.1
4691	NODE_2_length_915_cov_27.522843	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_1_length_1625_cov_47.315087	1	1	0	0	100	100	0
4724	NODE_2_length_1603_cov_29.378726	1.01	1.01	0.9	0.9	100	99.1	0
4744	NODE_2_length_631_cov_4.890873	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_893_cov_52.983029	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_3_length_858_cov_12.138167	0.29	1	0	0	29	29	71
4757	NODE_2_length_921_cov_22.892947	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1208_cov_31.881591	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_3_length_945_cov_34.200489	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_4_length_901_cov_27.425065	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_5_length_628_cov_19.055888	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_1_length_1506_cov_55.591733	0.64	1	0.3	0.5	64	63.7	36
4793	NODE_2_length_1343_cov_73.111020	0.54	1	0	0	53.5	53.5	46.5
4796	NODE_1_length_1656_cov_55.534990	0.75	1.02	1.8	2.5	73.2	71.4	26.8
4796	NODE_2_length_1352_cov_11.476735	0.17	1	0	0	16.9	16.9	83.1
4802	NODE_1_length_3709_cov_32.667225	0.89	1.02	1.4	1.6	87.6	86.2	12.4
4802	NODE_3_length_640_cov_5.066277	0.11	1	0	0	10.7	10.7	89.3
4802	NODE_2_length_1396_cov_25.087470	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4806	NODE_3_length_802_cov_5.545185	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_4_length_467_cov_1.511765	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_2_length_1304_cov_5.937978	0.53	1.01	0.5	1	52.8	52.2	47.2
4806	NODE_1_length_1349_cov_14.579378	0.25	1	0	0	25.1	25.1	74.9
4848	NODE_1_length_2412_cov_10.506783	1	1.01	0.6	0.6	99.2	98.6	0.8
4848	NODE_3_length_445_cov_2.528302	0.28	1	0	0	28.2	28.2	71.8
4848	NODE_2_length_1916_cov_24.612633	0.83	1.01	0.6	0.8	82.4	81.8	17.6
4889	NODE_1_length_1681_cov_9.331403	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_1620_cov_10.948426	0.49	1	0	0	49	49	51
4890	NODE_1_length_1297_cov_16.277778	0.31	1.02	0.5	1.7	31	30.4	69
4890	NODE_2_length_1206_cov_17.595922	0.61	1.05	2.8	4.8	58.4	55.7	41.6
4890	NODE_3_length_1134_cov_22.271102	0.17	1	0	0	16.9	16.9	83.1
4893	NODE_1_length_2371_cov_19.446970	0.93	1.04	3.6	4	89.6	86.1	10.4
4893	NODE_2_length_1360_cov_24.589619	0.61	1.03	2	3.3	59.5	57.5	40.5
4932	NODE_1_length_1645_cov_54.014493	0.87	1.01	0.8	0.9	85.8	85	14.2
