qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2769_cov_36.934141	0.95	1.04	3.3	3.6	92	88.7	8
4527	NODE_1_length_2603_cov_30.829564	0.94	1.01	0.6	0.6	93.3	92.7	6.7
4527	NODE_3_length_874_cov_8.907631	0.32	1	0	0	31.8	31.8	68.2
4527	NODE_4_length_847_cov_5.258333	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_2_length_1804_cov_51.212284	0.69	1	0.2	0.3	68.9	68.6	31.1
4691	NODE_3_length_627_cov_3.718000	0.14	1	0	0	14	14	86
4691	NODE_4_length_501_cov_2.267380	0.14	1	0	0	14	14	86
4691	NODE_2_length_1095_cov_13.283058	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_1_length_1120_cov_17.881168	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_2_length_1758_cov_26.812385	1	1	0	0	100	100	0
4724	NODE_1_length_1821_cov_20.747934	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_3_length_1515_cov_28.630403	0.98	1.01	1.1	1.1	97.4	96.4	2.6
4724	NODE_4_length_1405_cov_11.344288	0.35	1	0.2	0.4	35.2	35	64.8
4724	NODE_5_length_833_cov_3.131728	0.29	1	0	0	28.8	28.8	71.2
4744	NODE_2_length_872_cov_6.821477	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_1177_cov_29.731429	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_1_length_1829_cov_18.545828	0.61	1	0	0	60.8	60.8	39.2
4757	NODE_2_length_1264_cov_22.262973	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_4_length_1194_cov_25.186504	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_3_length_1371_cov_25.295820	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_2_length_1445_cov_69.568285	0.59	1	0	0	58.8	58.8	41.2
4793	NODE_1_length_1456_cov_50.218209	0.67	1.01	0.8	1.2	66.5	65.7	33.5
4796	NODE_1_length_3210_cov_27.836199	1.01	1.04	4	4.2	96.7	92.6	3.3
4796	NODE_2_length_1006_cov_5.073948	0.17	1	0	0	16.9	16.9	83.1
4802	NODE_1_length_4058_cov_23.027728	0.89	1.02	1.4	1.6	87.6	86.2	12.4
4802	NODE_2_length_3693_cov_23.957095	0.66	1	0.3	0.4	65.4	65.2	34.6
4802	NODE_3_length_1137_cov_9.218812	0.15	1	0	0	15.4	15.4	84.6
4802	NODE_4_length_1110_cov_13.178026	0.13	1	0	0	13.3	13.3	86.7
