qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	1.05	1.05	4.8	4.8	100	95.2	0	1
4527	2.51	2.51	93.3	93.3	100	6.7	0	4
4691	1.87	1.87	86.6	86.9	99.6	13	0.4	3
4724	4.2	4.2	77.7	77.7	100	22.3	0	10
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1	1	0	0	100	100	0	2
4793	1.45	1.89	67	87.2	76.8	9.8	23.2	4
4796	1.01	1.04	3.9	4	96.7	92.8	3.3	2
4802	2.14	2.21	75.1	77.7	96.7	21.6	3.3	7
4806	1.54	1.78	67	77.9	86	19	14	2
4848	2.09	2.11	98.7	99.4	99.4	0.6	0.6	3
4889	1.36	1.58	49.7	57.8	86	36.3	14	2
4890	1.19	1.26	24.3	25.8	94.3	69.9	5.7	3
4893	2.06	2.11	72.6	74.4	97.6	25	2.4	3
4932	1.02	1.02	1.9	1.9	99.9	98	0.1	2
4942	1.65	1.75	67.9	72	94.4	26.5	5.6	2
4951	2.81	2.81	100	100	100	0	0	3
4954	0.96	1.02	1.5	1.6	94.6	93.1	5.4	4
4989	6.53	6.89	94.7	100	94.7	0	5.3	9
4992	0.98	1.01	0.5	0.5	98	97.4	2	1
