qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2959_cov_33.361582	1.04	1.04	4.4	4.4	100	95.6	0
4527	NODE_1_length_2763_cov_33.039454	1.01	1.01	0.8	0.8	100	99.2	0
4527	NODE_2_length_2301_cov_38.892364	0.94	1.01	0.6	0.6	93.3	92.7	6.7
4691	NODE_4_length_425_cov_1.271812	0.14	1	0	0	14	14	86
4691	NODE_2_length_981_cov_3.394614	0.14	1	0	0	14	14	86
4691	NODE_1_length_1138_cov_20.948566	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_3_length_892_cov_30.930719	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_1_length_1833_cov_30.032825	1	1	0	0	100	100	0
4724	NODE_2_length_1672_cov_14.907443	0.89	1.01	0.9	1	88	87.1	12
4724	NODE_10_length_281_cov_33.961039	0.17	1	0	0	16.5	16.5	83.5
4724	NODE_4_length_857_cov_1.219178	0.52	1.02	0.9	1.8	51.1	50.2	48.9
4724	NODE_3_length_1018_cov_2.748597	0.46	1	0	0	46.2	46.2	53.8
4724	NODE_6_length_543_cov_1.533654	0.29	1	0	0	28.8	28.8	71.2
4724	NODE_9_length_460_cov_1.636637	0.22	1	0	0	22.1	22.1	77.9
4724	NODE_8_length_484_cov_1.507003	0.24	1	0	0	24.1	24.1	75.9
4744	NODE_2_length_765_cov_2.460815	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_1038_cov_29.844127	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_3_length_817_cov_14.081159	0.29	1	0	0	29	29	71
4757	NODE_4_length_568_cov_5.149660	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_2_length_957_cov_12.221687	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1086_cov_31.624609	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_4_length_1203_cov_26.824349	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_3_length_1235_cov_19.383574	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_1_length_1457_cov_40.036090	0.59	1	0	0	59	59	41
4793	NODE_2_length_1242_cov_21.157848	0.59	1.01	0.3	0.5	58.8	58.5	41.2
4796	NODE_1_length_1965_cov_44.418934	0.75	1.02	1.8	2.5	73.2	71.4	26.8
4796	NODE_2_length_1426_cov_10.604311	0.26	1	0	0	25.6	25.6	74.4
4802	NODE_1_length_2157_cov_37.670936	0.67	1.03	1.8	2.7	65.2	63.4	34.8
4802	NODE_2_length_1829_cov_14.246181	0.19	1	0	0	19.3	19.3	80.7
4802	NODE_3_length_1412_cov_25.085603	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4802	NODE_4_length_1008_cov_22.066969	0.22	1.01	0.1	0.6	22.2	22.1	77.8
4806	NODE_1_length_2418_cov_7.411174	0.87	1.01	0.5	0.6	86	85.5	14
4806	NODE_3_length_724_cov_5.386935	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_2_length_1515_cov_10.667867	0.25	1	0	0	25.1	25.1	74.9
4848	NODE_2_length_990_cov_11.917729	0.79	1	0	0	79.2	79.2	20.8
4848	NODE_1_length_2556_cov_15.043228	1	1.01	0.6	0.6	99.2	98.6	0.8
4848	NODE_3_length_412_cov_1.522807	0.29	1	0	0	28.5	28.5	71.5
4889	NODE_1_length_1966_cov_11.595976	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_1594_cov_12.220859	0.49	1	0	0	49	49	51
4890	NODE_1_length_1776_cov_6.345058	0.67	1.05	3.1	4.9	64	60.9	36
4890	NODE_2_length_1150_cov_16.959922	0.7	1.05	3.3	5	66.6	63.3	33.4
4890	NODE_3_length_1055_cov_8.126078	0.23	1	0	0	22.6	22.6	77.4
