qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2887_cov_44.648913	99.194	124	1	0	662	54	177	2887	484	607	1.52e-60	224	124	4471_NODE_1_length_2887_cov_44.648913
4471	NODE_1_length_2887_cov_44.648913	97.273	110	2	1	662	554	662	2887	2048	2157	7.16e-49	185	110	4471_NODE_1_length_2887_cov_44.648913
4471	NODE_1_length_2887_cov_44.648913	100	108	0	0	662	269	376	2887	1040	1147	2.56e-53	200	108	4471_NODE_1_length_2887_cov_44.648913
4471	NODE_1_length_2887_cov_44.648913	100	101	0	0	662	457	557	2887	1708	1808	1.99e-49	187	101	4471_NODE_1_length_2887_cov_44.648913
4471	NODE_1_length_2887_cov_44.648913	98.98	98	1	0	662	174	271	2887	851	948	4.31e-46	176	98	4471_NODE_1_length_2887_cov_44.648913
4471	NODE_1_length_2887_cov_44.648913	96.703	91	3	0	662	369	459	2887	1264	1354	7.26e-39	152	91	4471_NODE_1_length_2887_cov_44.648913
4527	NODE_2_length_2839_cov_43.217920	96.623	533	18	0	861	271	803	2839	1289	757	0	885	533	4527_NODE_2_length_2839_cov_43.217920
4527	NODE_2_length_2839_cov_43.217920	97.802	273	6	0	861	1	273	2839	2419	2147	6.43e-135	472	273	4527_NODE_2_length_2839_cov_43.217920
4527	NODE_2_length_2839_cov_43.217920	98.333	60	1	0	861	802	861	2839	579	520	7.51e-25	106	60	4527_NODE_2_length_2839_cov_43.217920
4527	NODE_1_length_2909_cov_47.201294	95.327	535	25	0	861	269	803	2909	1767	2301	0	850	535	4527_NODE_1_length_2909_cov_47.201294
4527	NODE_1_length_2909_cov_47.201294	94.139	273	16	0	861	1	273	2909	627	899	3.05e-118	416	273	4527_NODE_1_length_2909_cov_47.201294
4527	NODE_3_length_634_cov_39.191321	95.364	151	7	0	861	653	803	634	634	484	1.97e-65	241	151	4527_NODE_3_length_634_cov_39.191321
4527	NODE_3_length_634_cov_39.191321	100	60	0	0	861	802	861	634	257	198	1.61e-26	111	60	4527_NODE_3_length_634_cov_39.191321
4691	NODE_2_length_1184_cov_39.010407	97.189	249	7	0	537	74	322	1184	777	529	4.05e-120	422	249	4691_NODE_2_length_1184_cov_39.010407
4691	NODE_2_length_1184_cov_39.010407	98.14	215	4	0	537	323	537	1184	433	219	3.2e-106	375	215	4691_NODE_2_length_1184_cov_39.010407
4691	NODE_1_length_1278_cov_26.574283	96.4	250	9	0	537	73	322	1278	893	644	2.44e-117	412	250	4691_NODE_1_length_1278_cov_26.574283
4691	NODE_1_length_1278_cov_26.574283	92.593	216	16	0	537	322	537	1278	564	349	9.15e-87	311	216	4691_NODE_1_length_1278_cov_26.574283
4691	NODE_4_length_1045_cov_6.806100	96	75	3	0	537	1	75	1045	569	495	4.6e-30	122	75	4691_NODE_4_length_1045_cov_6.806100
4724	NODE_1_length_2010_cov_24.691981	99.59	244	1	0	660	1	244	2010	527	770	2.97e-127	446	244	4724_NODE_1_length_2010_cov_24.691981
4724	NODE_1_length_2010_cov_24.691981	98.421	190	3	0	660	471	660	2010	1415	1604	6.7e-94	335	190	4724_NODE_1_length_2010_cov_24.691981
4724	NODE_1_length_2010_cov_24.691981	92.258	155	10	2	660	324	476	2010	1036	1190	7.04e-59	219	155	4724_NODE_1_length_2010_cov_24.691981
4724	NODE_2_length_1881_cov_30.675599	95.082	244	12	0	660	1	244	1881	1261	1018	6.56e-109	385	244	4724_NODE_2_length_1881_cov_30.675599
4724	NODE_2_length_1881_cov_30.675599	96.842	190	6	0	660	471	660	1881	330	141	6.75e-89	318	190	4724_NODE_2_length_1881_cov_30.675599
4724	NODE_2_length_1881_cov_30.675599	93.548	155	8	2	660	324	476	1881	746	592	3.25e-62	230	155	4724_NODE_2_length_1881_cov_30.675599
4724	NODE_2_length_1881_cov_30.675599	93.671	79	5	0	660	245	323	1881	932	854	7.35e-29	119	79	4724_NODE_2_length_1881_cov_30.675599
4744	NODE_2_length_839_cov_6.910112	95.833	120	5	0	226	1	120	839	375	256	3.89e-52	195	120	4744_NODE_2_length_839_cov_6.910112
4744	NODE_1_length_1101_cov_30.444559	98.684	76	1	0	226	118	193	1101	641	566	2.39e-34	135	76	4744_NODE_1_length_1101_cov_30.444559
4757	NODE_3_length_909_cov_29.156010	97.714	175	4	0	551	161	335	909	665	491	5.66e-84	302	175	4757_NODE_3_length_909_cov_29.156010
4757	NODE_2_length_940_cov_17.493235	98.125	160	3	0	551	1	160	940	603	444	2.65e-77	279	160	4757_NODE_2_length_940_cov_17.493235
4757	NODE_1_length_1321_cov_28.451424	97.321	112	3	0	551	440	551	1321	527	416	1.28e-50	191	112	4757_NODE_1_length_1321_cov_28.451424
4757	NODE_1_length_1321_cov_28.451424	98.077	104	2	0	551	336	439	1321	787	684	7.69e-48	182	104	4757_NODE_1_length_1321_cov_28.451424
4793	NODE_1_length_1661_cov_88.248370	98.336	541	9	0	1011	183	723	1661	518	1058	0	950	541	4793_NODE_1_length_1661_cov_88.248370
4793	NODE_1_length_1661_cov_88.248370	95.082	61	2	1	1011	122	182	1661	89	148	1.91e-21	95.3	61	4793_NODE_1_length_1661_cov_88.248370
4793	NODE_1_length_1661_cov_88.248370	100	53	0	0	1011	724	776	1661	1516	1568	1.48e-22	99	53	4793_NODE_1_length_1661_cov_88.248370
4793	NODE_2_length_1590_cov_54.639781	95.379	541	25	0	1011	183	723	1590	1128	588	0	861	541	4793_NODE_2_length_1590_cov_54.639781
4793	NODE_2_length_1590_cov_54.639781	98.246	57	0	1	1011	721	776	1590	376	320	1.48e-22	99	57	4793_NODE_2_length_1590_cov_54.639781
4793	NODE_2_length_1590_cov_54.639781	98.113	53	1	0	1011	130	182	1590	1550	1498	6.89e-21	93.5	53	4793_NODE_2_length_1590_cov_54.639781
4793	NODE_4_length_1129_cov_37.598802	98.529	136	2	0	1011	1	136	1129	544	679	2.32e-65	241	136	4793_NODE_4_length_1129_cov_37.598802
4793	NODE_3_length_1228_cov_29.178020	97.794	136	3	0	1011	1	136	1228	581	446	1.08e-63	235	136	4793_NODE_3_length_1228_cov_29.178020
4796	NODE_2_length_1582_cov_61.103093	98.16	163	3	0	720	312	474	1582	881	1043	7.48e-79	285	163	4796_NODE_2_length_1582_cov_61.103093
4796	NODE_2_length_1582_cov_61.103093	100	118	0	0	720	133	250	1582	414	531	7.7e-59	219	118	4796_NODE_2_length_1582_cov_61.103093
4796	NODE_2_length_1582_cov_61.103093	97.391	115	2	1	720	25	138	1582	214	328	1.3e-51	195	115	4796_NODE_2_length_1582_cov_61.103093
4796	NODE_2_length_1582_cov_61.103093	93.59	78	4	1	720	475	551	1582	1430	1507	1.04e-27	115	78	4796_NODE_2_length_1582_cov_61.103093
4796	NODE_2_length_1582_cov_61.103093	97.101	69	1	1	720	249	316	1582	715	783	1.04e-27	115	69	4796_NODE_2_length_1582_cov_61.103093
4796	NODE_1_length_1710_cov_12.910929	98.361	122	2	0	720	599	720	1710	653	532	9.96e-58	215	122	4796_NODE_1_length_1710_cov_12.910929
4796	NODE_1_length_1710_cov_12.910929	98.387	62	1	0	720	537	598	1710	1258	1197	4.83e-26	110	62	4796_NODE_1_length_1710_cov_12.910929
4802	NODE_2_length_2466_cov_35.934587	96.947	131	4	0	784	264	394	2466	1581	1711	2.34e-59	220	131	4802_NODE_2_length_2466_cov_35.934587
4802	NODE_2_length_2466_cov_35.934587	95.146	103	5	0	784	1	103	2466	609	711	3.99e-42	163	103	4802_NODE_2_length_2466_cov_35.934587
4802	NODE_2_length_2466_cov_35.934587	97.619	84	2	0	784	460	543	2466	2007	2090	1.45e-36	145	84	4802_NODE_2_length_2466_cov_35.934587
4802	NODE_2_length_2466_cov_35.934587	97.297	74	2	0	784	101	174	2466	951	1024	5.24e-31	126	74	4802_NODE_2_length_2466_cov_35.934587
4802	NODE_2_length_2466_cov_35.934587	93.939	66	4	0	784	172	237	2466	1107	1172	3.17e-23	100	66	4802_NODE_2_length_2466_cov_35.934587
4802	NODE_3_length_1537_cov_34.691489	97.321	112	3	0	784	673	784	1537	659	548	1.83e-50	191	112	4802_NODE_3_length_1537_cov_34.691489
4802	NODE_3_length_1537_cov_34.691489	97.101	69	2	0	784	543	611	1537	1184	1116	3.15e-28	117	69	4802_NODE_3_length_1537_cov_34.691489
4802	NODE_1_length_3587_cov_33.006936	92.126	127	10	0	784	264	390	3587	1466	1592	3.96e-47	180	127	4802_NODE_1_length_3587_cov_33.006936
4802	NODE_1_length_3587_cov_33.006936	95.536	112	5	0	784	673	784	3587	3084	3195	3.96e-47	180	112	4802_NODE_1_length_3587_cov_33.006936
4802	NODE_1_length_3587_cov_33.006936	92.233	103	8	0	784	1	103	3587	534	636	4.02e-37	147	103	4802_NODE_1_length_3587_cov_33.006936
4802	NODE_1_length_3587_cov_33.006936	96.429	84	3	0	784	460	543	3587	1861	1944	6.73e-35	139	84	4802_NODE_1_length_3587_cov_33.006936
4802	NODE_1_length_3587_cov_33.006936	97.101	69	2	0	784	543	611	3587	2571	2639	3.15e-28	117	69	4802_NODE_1_length_3587_cov_33.006936
4802	NODE_1_length_3587_cov_33.006936	100	65	0	0	784	611	675	3587	2887	2951	2.44e-29	121	65	4802_NODE_1_length_3587_cov_33.006936
4806	NODE_1_length_2684_cov_13.630035	93.991	233	14	0	557	1	233	2684	2385	2153	1.56e-99	353	233	4806_NODE_1_length_2684_cov_13.630035
4806	NODE_1_length_2684_cov_13.630035	97.468	79	2	0	557	401	479	2684	670	592	6.14e-34	135	79	4806_NODE_1_length_2684_cov_13.630035
4806	NODE_1_length_2684_cov_13.630035	95.082	61	3	0	557	339	399	2684	1199	1139	2.9e-22	97.1	61	4806_NODE_1_length_2684_cov_13.630035
4806	NODE_3_length_868_cov_2.708502	97.163	141	4	0	557	1	141	868	413	273	4.55e-65	239	141	4806_NODE_3_length_868_cov_2.708502
4806	NODE_3_length_868_cov_2.708502	98.182	55	1	0	557	179	233	868	269	215	2.9e-22	97.1	55	4806_NODE_3_length_868_cov_2.708502
4806	NODE_2_length_933_cov_10.163772	97.468	79	2	0	557	401	479	933	506	584	6.14e-34	135	79	4806_NODE_2_length_933_cov_10.163772
