qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.95	1.04	3.3	3.6	92	88.7	8	1
4527	1.95	1.95	93.3	93.3	100	6.7	0	3
4691	2.01	2.01	100	100	100	0	0	4
4724	2.01	2.01	100	100	100	0	0	2
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1	1	0	0	100	100	0	2
4793	1.78	2.32	72.2	94.1	76.8	4.5	23.2	4
4796	1.01	1.04	3.9	4	96.7	92.8	3.3	2
4802	1.42	1.62	42.2	48.2	87.6	45.4	12.4	4
4806	1.68	1.68	67	67	100	33	0	3
4848	1.48	1.49	49.1	49.4	99.4	50.2	0.6	2
4889	1.09	1.27	22.4	26	86	63.7	14	2
4890	1.07	1.3	23.5	28.5	82.3	58.8	17.7	3
4893	1.41	1.57	47.7	53.2	89.6	42	10.4	2
4932	1.02	1.02	2	2	100	98	0	2
4942	2.22	2.22	83.8	83.8	100	16.2	0	4
4951	2.01	2.01	100	100	100	0	0	2
4954	0.88	1.01	0.8	0.9	87.5	86.7	12.5	3
4989	15.14	15.99	94.7	100	94.7	0	5.3	18
4992	1.49	1.52	19.2	19.6	98	78.7	2	6
