qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2746_cov_25.973654	100	124	0	0	662	54	177	2746	673	796	2.84e-62	230	124	4471_NODE_1_length_2746_cov_25.973654
4471	NODE_1_length_2746_cov_25.973654	98.182	110	1	1	662	554	662	2746	2239	2348	1.34e-50	191	110	4471_NODE_1_length_2746_cov_25.973654
4471	NODE_1_length_2746_cov_25.973654	100	108	0	0	662	269	376	2746	1232	1339	2.23e-53	200	108	4471_NODE_1_length_2746_cov_25.973654
4471	NODE_1_length_2746_cov_25.973654	100	101	0	0	662	457	557	2746	1899	1999	1.74e-49	187	101	4471_NODE_1_length_2746_cov_25.973654
4471	NODE_1_length_2746_cov_25.973654	98.98	98	1	0	662	174	271	2746	1040	1137	3.76e-46	176	98	4471_NODE_1_length_2746_cov_25.973654
4471	NODE_1_length_2746_cov_25.973654	96.703	91	3	0	662	369	459	2746	1456	1546	6.33e-39	152	91	4471_NODE_1_length_2746_cov_25.973654
4471	NODE_1_length_2746_cov_25.973654	100	55	0	0	662	1	55	2746	256	310	6.47e-24	102	55	4471_NODE_1_length_2746_cov_25.973654
4527	NODE_1_length_1792_cov_51.487087	97.383	535	14	0	861	269	803	1792	429	963	0	911	535	4527_NODE_1_length_1792_cov_51.487087
4527	NODE_1_length_1792_cov_51.487087	100	60	0	0	861	802	861	1792	1141	1200	1.4e-26	111	60	4527_NODE_1_length_1792_cov_51.487087
4527	NODE_2_length_1381_cov_51.992026	95.14	535	26	0	861	269	803	1381	1053	519	0	845	535	4527_NODE_2_length_1381_cov_51.992026
4527	NODE_3_length_1122_cov_9.698492	97.436	273	7	0	861	1	273	1122	445	717	2.6e-133	466	273	4527_NODE_3_length_1122_cov_9.698492
4527	NODE_4_length_1001_cov_7.638444	95.238	273	13	0	861	1	273	1001	441	713	2.64e-123	433	273	4527_NODE_4_length_1001_cov_7.638444
4691	NODE_1_length_1046_cov_21.034820	98.394	249	4	0	537	74	322	1046	781	533	3.5e-125	438	249	4691_NODE_1_length_1046_cov_21.034820
4691	NODE_1_length_1046_cov_21.034820	96.279	215	8	0	537	323	537	1046	432	218	1.3e-99	353	215	4691_NODE_1_length_1046_cov_21.034820
4691	NODE_2_length_996_cov_17.029919	97.59	249	6	0	537	73	321	996	678	430	7.58e-122	427	249	4691_NODE_2_length_996_cov_17.029919
4691	NODE_2_length_996_cov_17.029919	93.519	216	14	0	537	322	537	996	349	134	3.68e-90	322	216	4691_NODE_2_length_996_cov_17.029919
4691	NODE_3_length_888_cov_4.044678	93.333	75	5	0	537	1	75	888	472	398	8.67e-27	111	75	4691_NODE_3_length_888_cov_4.044678
4724	NODE_1_length_1638_cov_19.257445	99.59	244	1	0	660	1	244	1638	326	569	2.59e-127	446	244	4724_NODE_1_length_1638_cov_19.257445
4724	NODE_1_length_1638_cov_19.257445	98.947	190	2	0	660	471	660	1638	1213	1402	1.26e-95	340	190	4724_NODE_1_length_1638_cov_19.257445
4724	NODE_1_length_1638_cov_19.257445	92.258	155	10	2	660	324	476	1638	835	989	6.14e-59	219	155	4724_NODE_1_length_1638_cov_19.257445
4724	NODE_1_length_1638_cov_19.257445	97.468	79	2	0	660	245	323	1638	644	722	6.36e-34	135	79	4724_NODE_1_length_1638_cov_19.257445
4724	NODE_2_length_1269_cov_19.692644	95.492	244	11	0	660	1	244	1269	470	713	1.23e-110	390	244	4724_NODE_2_length_1269_cov_19.692644
4724	NODE_2_length_1269_cov_19.692644	93.548	155	8	2	660	324	476	1269	985	1139	2.84e-62	230	155	4724_NODE_2_length_1269_cov_19.692644
4724	NODE_2_length_1269_cov_19.692644	94.937	79	4	0	660	245	323	1269	800	878	1.38e-30	124	79	4724_NODE_2_length_1269_cov_19.692644
4744	NODE_1_length_925_cov_5.637845	96.581	117	4	0	226	1	117	925	403	519	3.38e-52	195	117	4744_NODE_1_length_925_cov_5.637845
4744	NODE_2_length_922_cov_33.290566	98.684	76	1	0	226	118	193	922	448	523	2.08e-34	135	76	4744_NODE_2_length_922_cov_33.290566
4757	NODE_3_length_759_cov_18.337025	97.714	175	4	0	551	161	335	759	215	389	4.92e-84	302	175	4757_NODE_3_length_759_cov_18.337025
4757	NODE_2_length_892_cov_8.155556	100	160	0	0	551	1	160	892	309	468	2.29e-82	296	160	4757_NODE_2_length_892_cov_8.155556
4757	NODE_1_length_1262_cov_15.695154	96.429	112	4	0	551	440	551	1262	832	943	5.17e-49	185	112	4757_NODE_1_length_1262_cov_15.695154
4757	NODE_1_length_1262_cov_15.695154	98.077	104	2	0	551	336	439	1262	570	673	6.69e-48	182	104	4757_NODE_1_length_1262_cov_15.695154
