qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.95	1.04	3.3	3.6	92	88.7	8	1
4527	2.57	2.57	93.3	93.3	100	6.7	0	4
4691	2.01	2.01	100	100	100	0	0	4
4724	2.01	2.01	100	100	100	0	0	2
4744	0.87	1.02	1.3	1.6	85.4	84.1	14.6	2
4757	1	1	0	0	100	100	0	2
4793	1.91	1.99	72.2	74.9	96.3	24.1	3.7	4
4796	1.15	1.19	18.3	19	96.7	78.3	3.3	2
4802	1.42	1.61	35.7	40.4	88.4	52.7	11.6	4
4806	1.66	1.68	67	67.7	98.9	32	1.1	3
4848	1.48	1.49	49.1	49.4	99.4	50.2	0.6	2
4889	1.09	1.27	22.9	26.6	86	63.1	14	2
4890	1.17	1.66	24.3	34.7	70.3	45.9	29.7	3
4893	1.69	1.73	66.5	68.2	97.6	31.1	2.4	3
4932	1.02	1.02	2	2	100	98	0	2
4942	1.71	1.76	72.5	74.7	97	24.6	3	3
4951	2.01	2.01	100	100	100	0	0	2
4954	0.98	1.02	2.1	2.2	95.8	93.7	4.2	4
4989	13.37	14.12	94.7	100	94.7	0	5.3	15
4992	1.14	1.17	16.3	16.7	98	81.6	2	3
