qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2675_cov_46.172684	1.05	1.05	4.8	4.8	100	95.2	0
4527	NODE_1_length_2164_cov_56.234168	1.01	1.01	0.8	0.8	100	99.2	0
4527	NODE_3_length_939_cov_10.543103	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_2_length_1468_cov_57.120060	0.62	1	0	0	62.1	62.1	37.9
4527	NODE_4_length_602_cov_1.591579	0.56	1	0	0	56.1	56.1	43.9
4691	NODE_3_length_714_cov_3.628620	0.14	1	0	0	13.6	13.6	86.4
4691	NODE_2_length_967_cov_25.279762	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_1_length_1043_cov_25.612445	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_1_length_1820_cov_27.482575	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_2_length_1204_cov_33.763231	0.62	1	0	0	61.8	61.8	38.2
4724	NODE_4_length_817_cov_55.371014	0.49	1	0	0	48.8	48.8	51.2
4724	NODE_6_length_807_cov_42.933824	0.49	1	0	0	48.8	48.8	51.2
4724	NODE_9_length_521_cov_2.104061	0.28	1	0	0	28.5	28.5	71.5
4724	NODE_3_length_992_cov_12.191908	0.25	1	0	0	25.2	25.2	74.8
4724	NODE_5_length_814_cov_9.666667	0.37	1	0	0	36.5	36.5	63.5
4724	NODE_10_length_482_cov_89.470423	0.12	1	0	0	12	12	88
4724	NODE_8_length_584_cov_3.934354	0.29	1	0	0	28.8	28.8	71.2
4724	NODE_7_length_706_cov_11.010363	0.29	1	0	0	28.8	28.8	71.2
4744	NODE_2_length_573_cov_2.872197	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_1125_cov_41.781563	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_1_length_1861_cov_10.782007	0.61	1	0	0	60.8	60.8	39.2
4757	NODE_2_length_1179_cov_34.576996	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_3_length_1124_cov_28.837513	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_4_length_1096_cov_33.337461	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_1_length_1500_cov_62.624181	0.64	1	0.3	0.5	64	63.7	36
4793	NODE_2_length_1395_cov_103.714511	0.54	1	0	0	53.5	53.5	46.5
4796	NODE_1_length_1701_cov_73.335451	0.75	1.02	1.8	2.5	73.2	71.4	26.8
4796	NODE_2_length_1618_cov_12.961771	0.26	1	0	0	25.6	25.6	74.4
4802	NODE_2_length_2063_cov_32.069215	0.68	1.03	1.8	2.7	65.9	64.2	34.1
4802	NODE_8_length_520_cov_36.519084	0.18	1.05	0.9	5.1	17.5	16.6	82.5
4802	NODE_1_length_2146_cov_30.176820	0.35	1	0	0	35.5	35.5	64.5
4802	NODE_6_length_605_cov_47.841004	0.16	1	0	0	16.2	16.2	83.8
4802	NODE_3_length_1477_cov_19.292593	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4802	NODE_4_length_1016_cov_46.281215	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4802	NODE_7_length_544_cov_31.335731	0.13	1	0	0	13.4	13.4	86.6
4806	NODE_2_length_2018_cov_8.015336	0.87	1.01	0.5	0.6	86	85.5	14
4806	NODE_1_length_2523_cov_12.285058	0.67	1	0	0	67	67	33
4848	NODE_3_length_691_cov_1.888298	0.3	1	0	0	29.6	29.6	70.4
4848	NODE_1_length_2504_cov_15.642406	1	1.01	0.6	0.7	98.9	98.2	1.1
4848	NODE_2_length_1824_cov_18.269299	0.8	1.01	0.6	0.8	79.4	78.7	20.6
4889	NODE_1_length_1677_cov_14.052258	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_1557_cov_17.511189	0.49	1	0	0	49	49	51
4890	NODE_1_length_1373_cov_13.532905	0.72	1.02	1.7	2.5	70.3	68.5	29.7
4890	NODE_2_length_1274_cov_13.894507	0.23	1	0	0	22.6	22.6	77.4
4890	NODE_3_length_624_cov_1.152918	0.24	1	0	0	24	24	76
4893	NODE_1_length_2389_cov_25.148983	1.01	1.04	3.6	3.7	97.6	94	2.4
4893	NODE_2_length_1598_cov_26.175391	0.75	1.04	2.7	3.7	72.6	70	27.4
4893	NODE_3_length_479_cov_2.122159	0.3	1.02	0.5	1.8	29.3	28.8	70.7
4932	NODE_1_length_1944_cov_56.596588	0.86	1.01	0.8	0.9	85.3	84.5	14.7
4932	NODE_2_length_819_cov_10.901734	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_2_length_2601_cov_20.635004	0.96	1.02	1.9	2	94.3	92.3	5.7
4942	NODE_1_length_2895_cov_14.798049	0.69	1.01	0.7	1	68.1	67.4	31.9
4951	NODE_2_length_1525_cov_19.645207	1.01	1.01	0.5	0.5	100	99.5	0
4951	NODE_1_length_1661_cov_17.357236	1.01	1.01	0.5	0.5	100	99.5	0
4951	NODE_3_length_995_cov_3.842166	0.8	1	0	0	79.6	79.6	20.4
4954	NODE_1_length_1512_cov_44.964621	0.56	1	0.2	0.4	55.9	55.7	44.1
4954	NODE_2_length_1056_cov_28.302476	0.24	1.02	0.4	1.9	23.7	23.3	76.3
4954	NODE_4_length_624_cov_1.380282	0.08	1	0	0	8.3	8.3	91.7
4954	NODE_5_length_556_cov_2.018648	0.08	1	0	0	7.6	7.6	92.4
4989	NODE_5_length_1169_cov_28.325336	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_3_length_1218_cov_42.294225	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_6_length_734_cov_1.233937	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_2_length_1286_cov_36.767903	0.56	1	0	0	56.4	56.4	43.6
4989	NODE_1_length_1344_cov_39.122432	0.95	1	0	0	94.7	94.7	5.3
4989	NODE_7_length_724_cov_36.750419	0.75	1	0	0	74.8	74.8	25.2
4989	NODE_9_length_438_cov_1.646302	0.65	1	0.3	0.5	64.8	64.5	35.2
4989	NODE_4_length_1209_cov_33.496303	0.39	1	0	0	38.6	38.6	61.4
4989	NODE_8_length_615_cov_42.752049	0.38	1	0	0	38.3	38.3	61.7
4992	NODE_1_length_4377_cov_31.660706	0.98	1.01	0.5	0.5	98	97.4	2
