qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.95	1.04	3.3	3.6	92	88.7	8	1
4527	2.19	2.19	100	100	100	0	0	3
4691	1.87	1.87	86.6	86.6	100	13.4	0	3
4724	1.9	1.9	88	88	100	12	0	2
4744	0.87	1.02	1.3	1.6	85.4	84.1	14.6	2
4757	1	1	0	0	100	100	0	3
4793	1.56	2.03	76.8	100	76.8	0	23.2	4
4796	1.01	1.04	3.9	4	96.7	92.8	3.3	2
4802	1.53	1.73	63.4	71.7	88.4	25	11.6	3
4806	1.16	1.74	49.4	73.7	67	17.6	33	3
4848	2	2.01	99.2	100	99.2	0	0.8	2
4889	1.63	1.89	76.2	88.6	86	9.8	14	2
4890	1.4	1.4	36	36	100	64	0	2
4893	1.75	1.8	72.6	74.4	97.6	25	2.4	2
4932	1.02	1.02	2	2	100	98	0	2
4942	1.52	1.58	53.7	55.6	96.5	42.9	3.5	2
4951	1.99	1.99	99.5	99.5	100	0.5	0	2
4954	0.89	1.02	1.6	1.9	87.5	85.8	12.5	3
4989	5.73	6.05	94.7	100	94.7	0	5.3	7
4992	1.77	1.81	55.8	57	98	42.1	2	4
