qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2670_cov_38.509634	0.95	1.04	3.3	3.6	92	88.7	8
4527	NODE_1_length_2521_cov_31.356725	0.94	1.01	0.6	0.6	93.3	92.7	6.7
4527	NODE_3_length_1019_cov_11.100897	0.32	1	0	0	31.8	31.8	68.2
4527	NODE_2_length_1761_cov_61.498164	0.69	1	0.2	0.3	68.9	68.6	31.1
4691	NODE_4_length_558_cov_4.178654	0.14	1	0	0	14	14	86
4691	NODE_2_length_982_cov_5.231579	0.14	1	0	0	14	14	86
4691	NODE_1_length_994_cov_7.896194	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_3_length_944_cov_20.423501	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_2_length_1626_cov_38.046031	1	1	0	0	100	100	0
4724	NODE_1_length_1991_cov_22.191524	1.01	1.01	0.9	0.9	100	99.1	0
4744	NODE_2_length_834_cov_4.387553	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_1024_cov_38.927536	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_1_length_1826_cov_14.464979	0.61	1	0	0	60.8	60.8	39.2
4757	NODE_2_length_1463_cov_26.395958	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_1_length_2732_cov_35.524760	0.78	1.01	0.9	1.2	76.8	75.9	23.2
4793	NODE_3_length_1210_cov_29.854109	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_2_length_1294_cov_50.613539	0.59	1.01	0.3	0.5	58.8	58.5	41.2
4793	NODE_6_length_439_cov_1.644231	0.28	1	0	0	27.6	27.6	72.4
4796	NODE_1_length_1600_cov_41.659878	0.75	1.02	1.8	2.5	73.2	71.4	26.8
4796	NODE_2_length_1421_cov_7.591963	0.26	1	0	0	25.6	25.6	74.4
4802	NODE_1_length_2537_cov_25.517012	0.58	1.01	0.8	1.3	56.9	56.1	43.1
4802	NODE_2_length_2169_cov_19.500979	0.42	1.02	0.6	1.5	41.5	40.8	58.5
4802	NODE_4_length_478_cov_1.202279	0.11	1	0	0	10.6	10.6	89.4
4802	NODE_3_length_1471_cov_23.845982	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4806	NODE_1_length_2004_cov_5.720831	1.01	1.01	1.1	1.1	100	98.9	0
4806	NODE_3_length_902_cov_5.814194	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_2_length_1588_cov_8.924025	0.25	1	0	0	25.1	25.1	74.9
4848	NODE_1_length_2357_cov_17.731839	1	1.01	0.6	0.6	99.4	98.7	0.6
4848	NODE_2_length_1393_cov_11.201422	0.48	1	0	0	48.5	48.5	51.5
4889	NODE_1_length_1793_cov_11.944778	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_1690_cov_8.855406	0.22	1	0	0	22.2	22.2	77.8
4890	NODE_1_length_1318_cov_14.227540	0.6	1.03	1.9	3.3	58.3	56.3	41.7
4890	NODE_2_length_1127_cov_17.200000	0.23	1	0	0	22.6	22.6	77.4
4890	NODE_3_length_489_cov_1.348066	0.24	1	0	0	24	24	76
4893	NODE_1_length_2458_cov_17.404976	0.93	1.04	3.6	4	89.6	86.1	10.4
4893	NODE_2_length_1749_cov_16.694205	0.47	1.03	1.2	2.6	46.2	45	53.8
4932	NODE_1_length_1868_cov_47.862148	0.86	1.01	0.5	0.6	85.8	85.3	14.2
4932	NODE_2_length_1039_cov_11.640351	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_3_length_1449_cov_18.385779	0.63	1	0	0	63.4	63.4	36.6
4942	NODE_1_length_2775_cov_11.628776	0.84	1.01	0.9	1.1	82.8	81.9	17.2
4942	NODE_4_length_847_cov_4.254167	0.13	1	0	0	12.9	12.9	87.1
4942	NODE_2_length_1696_cov_25.139579	0.62	1.01	0.9	1.4	61.1	60.3	38.9
4951	NODE_1_length_1508_cov_15.093411	1	1	0	0	100	100	0
4951	NODE_2_length_1339_cov_11.588284	1.01	1.01	0.5	0.5	100	99.5	0
4954	NODE_2_length_1283_cov_38.179066	0.56	1	0.2	0.4	55.5	55.3	44.5
4954	NODE_1_length_1397_cov_26.635433	0.24	1.02	0.4	1.9	23.7	23.3	76.3
4954	NODE_4_length_637_cov_1.280392	0.08	1	0	0	8.3	8.3	91.7
4989	NODE_9_length_1191_cov_17.750940	0.95	1	0	0	94.7	94.7	5.3
4989	NODE_6_length_1208_cov_35.928770	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_8_length_1195_cov_41.709738	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_7_length_1197_cov_26.540187	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_11_length_1173_cov_16.363289	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_13_length_1090_cov_16.495327	0.95	1.01	0.6	0.7	94.7	94.1	5.3
4989	NODE_1_length_1389_cov_26.453249	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_12_length_1121_cov_27.672032	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_10_length_1182_cov_12.424645	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_3_length_1327_cov_13.548333	0.94	1	0.3	0.3	94.1	93.8	5.9
4989	NODE_2_length_1345_cov_12.911330	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_4_length_1269_cov_12.282837	0.88	1	0.3	0.4	88.2	87.9	11.8
4989	NODE_17_length_611_cov_1.597107	0.45	1	0	0	44.9	44.9	55.1
4989	NODE_15_length_949_cov_19.600973	0.92	1	0.3	0.3	91.9	91.6	8.1
4989	NODE_14_length_990_cov_13.144844	0.93	1	0.3	0.3	93.1	92.8	6.9
4989	NODE_16_length_846_cov_20.556328	0.37	1	0	0	37.4	37.4	62.6
