qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2769_cov_36.934141	99.194	124	1	0	662	54	177	2769	2176	2053	1.83e-60	224	124	4471_NODE_1_length_2769_cov_36.934141
4471	NODE_1_length_2769_cov_36.934141	98.182	110	1	1	662	554	662	2769	608	499	1.86e-50	191	110	4471_NODE_1_length_2769_cov_36.934141
4471	NODE_1_length_2769_cov_36.934141	99.074	108	1	0	662	269	376	2769	1616	1509	1.44e-51	195	108	4471_NODE_1_length_2769_cov_36.934141
4471	NODE_1_length_2769_cov_36.934141	98.02	101	2	0	662	457	557	2769	949	849	5.2e-46	176	101	4471_NODE_1_length_2769_cov_36.934141
4471	NODE_1_length_2769_cov_36.934141	98.98	98	1	0	662	174	271	2769	1809	1712	5.2e-46	176	98	4471_NODE_1_length_2769_cov_36.934141
4471	NODE_1_length_2769_cov_36.934141	96.703	91	3	0	662	369	459	2769	1392	1302	8.76e-39	152	91	4471_NODE_1_length_2769_cov_36.934141
4527	NODE_2_length_1804_cov_51.212284	95.514	535	24	0	861	269	803	1804	540	1074	0	856	535	4527_NODE_2_length_1804_cov_51.212284
4527	NODE_2_length_1804_cov_51.212284	100	60	0	0	861	802	861	1804	1252	1311	1.95e-26	111	60	4527_NODE_2_length_1804_cov_51.212284
4527	NODE_1_length_2603_cov_30.829564	94.766	535	28	0	861	269	803	2603	1468	2002	0	833	535	4527_NODE_1_length_2603_cov_30.829564
4527	NODE_1_length_2603_cov_30.829564	93.773	273	17	0	861	1	273	2603	339	611	1.71e-116	411	273	4527_NODE_1_length_2603_cov_30.829564
4527	NODE_3_length_874_cov_8.907631	97.81	274	6	0	861	1	274	874	551	278	2.16e-135	473	274	4527_NODE_3_length_874_cov_8.907631
4527	NODE_4_length_847_cov_5.258333	96.703	273	9	0	861	1	273	847	340	612	7.81e-130	455	273	4527_NODE_4_length_847_cov_5.258333
4691	NODE_1_length_1120_cov_17.881168	97.189	249	7	0	537	74	322	1120	769	521	4.88e-120	422	249	4691_NODE_1_length_1120_cov_17.881168
4691	NODE_1_length_1120_cov_17.881168	98.14	215	4	0	537	323	537	1120	425	211	3.85e-106	375	215	4691_NODE_1_length_1120_cov_17.881168
4691	NODE_2_length_1095_cov_13.283058	95.6	250	11	0	537	73	322	1095	758	509	6.35e-114	401	250	4691_NODE_2_length_1095_cov_13.283058
4691	NODE_2_length_1095_cov_13.283058	93.519	216	14	0	537	322	537	1095	428	213	5.09e-90	322	216	4691_NODE_2_length_1095_cov_13.283058
4691	NODE_3_length_627_cov_3.718000	94.667	75	4	0	537	1	75	627	248	322	2.58e-28	117	75	4691_NODE_3_length_627_cov_3.718000
4691	NODE_4_length_501_cov_2.267380	93.333	75	5	0	537	1	75	501	240	314	1.2e-26	111	75	4691_NODE_4_length_501_cov_2.267380
4724	NODE_2_length_1758_cov_26.812385	97.541	244	6	0	660	1	244	1758	1262	1019	7.8e-119	418	244	4724_NODE_2_length_1758_cov_26.812385
4724	NODE_2_length_1758_cov_26.812385	97.895	190	4	0	660	471	660	1758	457	268	3.76e-92	329	190	4724_NODE_2_length_1758_cov_26.812385
4724	NODE_2_length_1758_cov_26.812385	97.959	147	3	0	660	324	470	1758	753	607	6.47e-70	255	147	4724_NODE_2_length_1758_cov_26.812385
4724	NODE_2_length_1758_cov_26.812385	97.468	79	2	0	660	245	323	1758	944	866	8.8e-34	135	79	4724_NODE_2_length_1758_cov_26.812385
4724	NODE_1_length_1821_cov_20.747934	96.721	244	8	0	660	1	244	1821	538	781	1.69e-115	407	244	4724_NODE_1_length_1821_cov_20.747934
4724	NODE_1_length_1821_cov_20.747934	95.263	190	9	0	660	471	660	1821	1470	1659	8.2e-84	302	190	4724_NODE_1_length_1821_cov_20.747934
4724	NODE_1_length_1821_cov_20.747934	94.194	155	7	2	660	324	476	1821	1054	1208	8.43e-64	235	155	4724_NODE_1_length_1821_cov_20.747934
4724	NODE_1_length_1821_cov_20.747934	96.203	79	3	0	660	245	323	1821	869	947	4.09e-32	130	79	4724_NODE_1_length_1821_cov_20.747934
4724	NODE_3_length_1515_cov_28.630403	92.742	248	17	1	660	1	247	1515	416	663	1.72e-100	357	248	4724_NODE_3_length_1515_cov_28.630403
4724	NODE_3_length_1515_cov_28.630403	91.908	173	14	0	660	471	643	1515	1343	1515	5.04e-66	243	173	4724_NODE_3_length_1515_cov_28.630403
4724	NODE_3_length_1515_cov_28.630403	92.903	155	9	2	660	324	476	1515	927	1081	1.83e-60	224	155	4724_NODE_3_length_1515_cov_28.630403
4724	NODE_3_length_1515_cov_28.630403	94.805	77	4	0	660	247	323	1515	746	822	2.46e-29	121	77	4724_NODE_3_length_1515_cov_28.630403
4724	NODE_5_length_833_cov_3.131728	93.158	190	13	0	660	471	660	833	327	516	3.84e-77	279	190	4724_NODE_5_length_833_cov_3.131728
4724	NODE_4_length_1405_cov_11.344288	90.968	155	12	2	660	324	476	1405	353	199	1.84e-55	207	155	4724_NODE_4_length_1405_cov_11.344288
4724	NODE_4_length_1405_cov_11.344288	96.25	80	3	0	660	245	324	1405	541	462	1.14e-32	132	80	4724_NODE_4_length_1405_cov_11.344288
4744	NODE_2_length_872_cov_6.821477	97.436	117	3	0	226	1	117	872	351	467	1.01e-53	200	117	4744_NODE_2_length_872_cov_6.821477
4744	NODE_1_length_1177_cov_29.731429	98.684	76	1	0	226	118	193	1177	593	518	2.88e-34	135	76	4744_NODE_1_length_1177_cov_29.731429
4757	NODE_1_length_1829_cov_18.545828	97.143	175	5	0	551	161	335	1829	615	441	3.17e-82	296	175	4757_NODE_1_length_1829_cov_18.545828
4757	NODE_1_length_1829_cov_18.545828	98.125	160	3	0	551	1	160	1829	1416	1257	3.19e-77	279	160	4757_NODE_1_length_1829_cov_18.545828
4757	NODE_2_length_1264_cov_22.262973	97.321	112	3	0	551	440	551	1264	790	901	1.54e-50	191	112	4757_NODE_2_length_1264_cov_22.262973
4757	NODE_2_length_1264_cov_22.262973	97.115	104	3	0	551	336	439	1264	537	640	4.3e-46	176	104	4757_NODE_2_length_1264_cov_22.262973
4793	NODE_2_length_1445_cov_69.568285	97.967	541	11	0	1011	183	723	1445	299	839	0	939	541	4793_NODE_2_length_1445_cov_69.568285
4793	NODE_2_length_1445_cov_69.568285	100	53	0	0	1011	724	776	1445	1296	1348	1.79e-22	99	53	4793_NODE_2_length_1445_cov_69.568285
4793	NODE_1_length_1456_cov_50.218209	95.009	541	27	0	1011	183	723	1456	1199	659	0	850	541	4793_NODE_1_length_1456_cov_50.218209
4793	NODE_1_length_1456_cov_50.218209	98.795	83	1	0	1011	772	854	1456	83	1	1.75e-37	148	83	4793_NODE_1_length_1456_cov_50.218209
4793	NODE_1_length_1456_cov_50.218209	98.246	57	0	1	1011	721	776	1456	455	399	1.79e-22	99	57	4793_NODE_1_length_1456_cov_50.218209
4793	NODE_4_length_1194_cov_25.186504	99.265	136	1	0	1011	1	136	1194	589	724	6.03e-67	246	136	4793_NODE_4_length_1194_cov_25.186504
4793	NODE_3_length_1371_cov_25.295820	98.529	136	2	0	1011	1	136	1371	691	826	2.8e-65	241	136	4793_NODE_3_length_1371_cov_25.295820
4796	NODE_1_length_3210_cov_27.836199	98.788	165	1	1	720	312	475	3210	878	1042	5.39e-81	292	165	4796_NODE_1_length_3210_cov_27.836199
4796	NODE_1_length_3210_cov_27.836199	98.361	122	2	0	720	599	720	3210	2689	2810	1.2e-57	215	122	4796_NODE_1_length_3210_cov_27.836199
4796	NODE_1_length_3210_cov_27.836199	99.153	118	1	0	720	133	250	3210	406	523	4.32e-57	213	118	4796_NODE_1_length_3210_cov_27.836199
4796	NODE_1_length_3210_cov_27.836199	96.522	115	3	1	720	25	138	3210	225	339	7.28e-50	189	115	4796_NODE_1_length_3210_cov_27.836199
4796	NODE_1_length_3210_cov_27.836199	93.59	78	4	1	720	475	551	3210	1424	1501	1.25e-27	115	78	4796_NODE_1_length_3210_cov_27.836199
4796	NODE_1_length_3210_cov_27.836199	95.652	69	2	1	720	249	316	3210	704	772	5.83e-26	110	69	4796_NODE_1_length_3210_cov_27.836199
4796	NODE_1_length_3210_cov_27.836199	98.387	62	1	0	720	537	598	3210	2083	2144	5.83e-26	110	62	4796_NODE_1_length_3210_cov_27.836199
4796	NODE_2_length_1006_cov_5.073948	94.262	122	6	1	720	599	720	1006	520	640	9.42e-49	185	122	4796_NODE_2_length_1006_cov_5.073948
4802	NODE_1_length_4058_cov_23.027728	96.8	125	4	0	784	270	394	4058	2594	2470	6.1e-56	209	125	4802_NODE_1_length_4058_cov_23.027728
4802	NODE_1_length_4058_cov_23.027728	97.321	112	3	0	784	673	784	4058	834	723	2.21e-50	191	112	4802_NODE_1_length_4058_cov_23.027728
4802	NODE_1_length_4058_cov_23.027728	94.175	103	6	0	784	1	103	4058	3580	3478	2.24e-40	158	103	4802_NODE_1_length_4058_cov_23.027728
4802	NODE_1_length_4058_cov_23.027728	100	84	0	0	784	460	543	4058	2173	2090	8.06e-40	156	84	4802_NODE_1_length_4058_cov_23.027728
4802	NODE_1_length_4058_cov_23.027728	97.297	74	2	0	784	101	174	4058	3230	3157	6.32e-31	126	74	4802_NODE_1_length_4058_cov_23.027728
4802	NODE_1_length_4058_cov_23.027728	97.101	69	2	0	784	543	611	4058	1348	1280	3.8e-28	117	69	4802_NODE_1_length_4058_cov_23.027728
