qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.95	1.04	3.3	3.6	92	88.7	8	1
4527	2.26	2.26	93.3	93.3	100	6.7	0	4
4691	2.01	2.01	100	100	100	0	0	4
4724	3.63	3.63	100	100	100	0	0	5
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1	1	0	0	100	100	0	2
4793	1.53	1.91	72.2	90.3	79.9	7.7	20.1	4
4796	1.18	1.22	21	21.7	96.7	75.7	3.3	2
4802	1.83	2.08	64.7	73.2	88.4	23.7	11.6	4
4806	1.53	1.78	66.4	77.2	86	19.6	14	2
4848	2	2	98.7	98.7	100	1.3	0	2
4889	1.36	1.58	49.7	57.8	86	36.3	14	2
4890	1.47	1.56	50.1	53.2	94.1	44	5.9	3
4893	1.68	2.31	59.5	81.9	72.6	13.1	27.4	4
4932	1.02	1.02	1.7	1.7	100	98.3	0	2
4942	1.81	1.87	81.2	83.7	97	15.9	3	3
4951	2.83	2.83	100	100	100	0	0	3
4954	0.8	1.01	0.8	1	79.1	78.4	20.9	2
4989	12.92	13.64	94.7	100	94.7	0	5.3	17
4992	1.66	1.69	32.3	33	98	65.6	2	7
