qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2851_cov_96.964311	96.748	123	4	0	662	54	176	2851	573	695	3.69e-55	206	123	4471_NODE_1_length_2851_cov_96.964311
4471	NODE_1_length_2851_cov_96.964311	90.909	110	9	1	662	554	662	2851	2232	2341	2.27e-37	147	110	4471_NODE_1_length_2851_cov_96.964311
4471	NODE_1_length_2851_cov_96.964311	93.069	101	7	0	662	457	557	2851	1814	1914	6.31e-38	148	101	4471_NODE_1_length_2851_cov_96.964311
4471	NODE_1_length_2851_cov_96.964311	95.918	98	4	0	662	174	271	2851	943	1040	2.91e-41	159	98	4471_NODE_1_length_2851_cov_96.964311
4527	NODE_1_length_2656_cov_165.646762	92.897	535	38	0	861	269	803	2656	1127	593	0	778	535	4527_NODE_1_length_2656_cov_165.646762
4527	NODE_1_length_2656_cov_165.646762	91.575	273	23	0	861	1	273	2656	2234	1962	9.67e-107	377	273	4527_NODE_1_length_2656_cov_165.646762
4691	NODE_1_length_1430_cov_134.149298	92.369	249	19	0	537	74	322	1430	534	782	2.79e-100	355	249	4691_NODE_1_length_1430_cov_134.149298
4724	NODE_1_length_2022_cov_116.751671	91.803	244	20	0	660	1	244	2022	1531	1288	9.66e-96	340	244	4724_NODE_1_length_2022_cov_116.751671
4724	NODE_1_length_2022_cov_116.751671	87.895	190	23	0	660	471	660	2022	616	427	1.02e-60	224	190	4724_NODE_1_length_2022_cov_116.751671
4724	NODE_1_length_2022_cov_116.751671	92.405	79	6	0	660	245	323	2022	1196	1118	2.29e-27	113	79	4724_NODE_1_length_2022_cov_116.751671
4724	NODE_2_length_1191_cov_32.294434	88.163	245	28	1	660	1	244	1191	470	714	9.87e-81	291	245	4724_NODE_2_length_1191_cov_32.294434
4744	NODE_1_length_2040_cov_41.266429	92.105	76	6	0	226	118	193	2040	614	539	3.49e-26	108	76	4744_NODE_1_length_2040_cov_41.266429
4757	NODE_1_length_2570_cov_63.622543	91.765	170	14	0	551	166	335	2570	545	714	1.08e-64	237	170	4757_NODE_1_length_2570_cov_63.622543
4757	NODE_1_length_2570_cov_63.622543	92.857	112	8	0	551	440	551	2570	1945	2056	1.86e-42	163	112	4757_NODE_1_length_2570_cov_63.622543
4757	NODE_1_length_2570_cov_63.622543	97.115	104	3	0	551	336	439	2570	1712	1815	2.4e-46	176	104	4757_NODE_1_length_2570_cov_63.622543
4793	NODE_1_length_2912_cov_136.995062	88.3	547	57	5	1011	182	723	2912	1118	574	0	649	547	4793_NODE_1_length_2912_cov_136.995062
4793	NODE_1_length_2912_cov_136.995062	92.647	136	10	0	1011	1	136	2912	2330	2195	3.42e-52	196	136	4793_NODE_1_length_2912_cov_136.995062
4793	NODE_2_length_457_cov_1.094737	89.552	201	17	4	1011	776	974	457	13	211	7.19e-69	252	201	4793_NODE_2_length_457_cov_1.094737
4796	NODE_2_length_1754_cov_16.339296	95.495	111	5	0	720	610	720	1754	1212	1322	8.77e-47	178	111	4796_NODE_2_length_1754_cov_16.339296
4796	NODE_2_length_1754_cov_16.339296	95.161	62	3	0	720	537	598	1754	603	664	7.02e-23	99	62	4796_NODE_2_length_1754_cov_16.339296
4796	NODE_1_length_1858_cov_99.145424	90.435	115	10	1	720	25	138	1858	620	734	1.91e-38	150	115	4796_NODE_1_length_1858_cov_99.145424
4802	NODE_1_length_2741_cov_102.526652	95.041	121	6	0	784	270	390	2741	905	1025	1.23e-50	191	121	4802_NODE_1_length_2741_cov_102.526652
4802	NODE_1_length_2741_cov_102.526652	92.793	111	8	0	784	673	783	2741	2388	2498	9.63e-42	161	111	4802_NODE_1_length_2741_cov_102.526652
4802	NODE_1_length_2741_cov_102.526652	94.048	84	5	0	784	460	543	2741	1316	1399	9.77e-32	128	84	4802_NODE_1_length_2741_cov_102.526652
4802	NODE_1_length_2741_cov_102.526652	95.522	67	3	0	784	171	237	2741	424	490	1.27e-25	108	67	4802_NODE_1_length_2741_cov_102.526652
4802	NODE_2_length_1112_cov_26.547826	93.388	121	8	0	784	270	390	1112	653	533	2.66e-47	180	121	4802_NODE_2_length_1112_cov_26.547826
