qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	1.04	1.04	3.6	3.6	100	96.4	0	1
4527	1.95	1.95	93.3	93.3	100	6.7	0	4
4691	1.87	1.87	86.6	86.6	100	13.4	0	3
4724	1.73	1.73	72.1	72.1	100	27.9	0	2
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1	1	0	0	100	100	0	3
4793	1.98	2.02	71.5	73	98	26.5	2	5
4796	1.05	1.19	17.1	19.4	88.1	71	11.9	3
4802	1.61	1.67	62.8	64.9	96.7	33.9	3.3	4
4806	1.54	1.78	67	77.9	86	19	14	2
4848	1	1.01	0.6	0.6	99.4	98.7	0.6	1
4889	1.36	1.58	49.4	57.4	86	36.7	14	2
4890	1.01	1.52	32.7	49.1	66.6	33.9	33.4	2
4893	1.59	1.99	72.6	91	79.8	7.2	20.2	2
4932	1.01	1.01	1.3	1.3	100	98.7	0	2
4942	1.68	1.78	70.9	75.1	94.4	23.5	5.6	2
4951	2.66	2.66	100	100	100	0	0	5
4954	0.81	1.01	0.7	0.8	80.7	80	19.3	3
4989	5.7	6.02	94.7	100	94.7	0	5.3	6
4992	1.12	1.14	13.8	14	98	84.2	2	3
