qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2592_cov_39.343205	0.96	1.05	4.2	4.6	92	87.8	8
4527	NODE_5_length_1099_cov_9.970165	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_6_length_1025_cov_9.086860	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_4_length_1143_cov_10.795276	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_2_length_1662_cov_50.755700	0.69	1	0.2	0.3	68.9	68.6	31.1
4527	NODE_1_length_1686_cov_55.568954	0.69	1	0.2	0.3	68.9	68.6	31.1
4527	NODE_3_length_1473_cov_47.797920	0.62	1	0	0	62.1	62.1	37.9
4691	NODE_4_length_686_cov_7.731664	0.14	1	0	0	14	14	86
4691	NODE_3_length_742_cov_7.546341	0.14	1	0	0	14	14	86
4691	NODE_1_length_1083_cov_21.945607	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_2_length_919_cov_22.164141	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_1_length_1999_cov_29.161859	1	1	0	0	100	100	0
4724	NODE_2_length_1908_cov_22.334643	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_3_length_753_cov_5.936102	0.29	1	0	0	28.8	28.8	71.2
4744	NODE_2_length_465_cov_5.366864	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_1111_cov_36.107724	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_2_length_1015_cov_9.792793	0.29	1	0	0	29	29	71
4757	NODE_3_length_937_cov_25.918519	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1268_cov_25.276074	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_4_length_1014_cov_35.392334	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_3_length_1210_cov_26.649123	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_1_length_1460_cov_73.036759	0.58	1	0	0	58.5	58.5	41.5
4793	NODE_2_length_1373_cov_60.429374	0.59	1.01	0.3	0.5	58.8	58.5	41.2
4796	NODE_1_length_1535_cov_42.186790	0.64	1.03	1.8	2.9	62.5	60.7	37.5
4796	NODE_2_length_1470_cov_9.180938	0.26	1	0	0	25.6	25.6	74.4
4796	NODE_3_length_978_cov_4.226792	0.17	1	0	0	16.9	16.9	83.1
4802	NODE_2_length_2265_cov_33.654350	0.58	1.01	0.8	1.3	57.7	56.9	42.3
4802	NODE_1_length_3245_cov_25.447723	0.52	1	0.3	0.5	51.9	51.7	48.1
4802	NODE_3_length_1582_cov_20.151890	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4802	NODE_4_length_334_cov_39.400966	0.14	1	0	0	14	14	86
4806	NODE_1_length_1905_cov_5.505624	1.01	1.01	1.1	1.1	100	98.9	0
4806	NODE_3_length_869_cov_4.369272	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_2_length_1550_cov_14.560787	0.25	1	0	0	25.1	25.1	74.9
4848	NODE_2_length_2359_cov_16.834229	1	1.01	0.6	0.6	99.2	98.6	0.8
4848	NODE_1_length_2418_cov_12.548232	0.99	1.01	0.6	0.7	98.7	98.1	1.3
4889	NODE_1_length_1636_cov_9.068920	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_1424_cov_10.184271	0.22	1	0	0	22.2	22.2	77.8
4890	NODE_2_length_1270_cov_16.402450	0.72	1.02	1.7	2.5	70.3	68.5	29.7
4890	NODE_3_length_1224_cov_9.371012	0.23	1	0	0	22.6	22.6	77.4
4890	NODE_1_length_1415_cov_10.667702	0.23	1	0	0	22.6	22.6	77.4
4893	NODE_6_length_527_cov_3.542500	0.18	1	0	0	17.9	17.9	82.1
4893	NODE_2_length_1620_cov_24.241795	0.75	1.04	2.7	3.7	72.6	70	27.4
4893	NODE_1_length_1645_cov_20.550066	0.47	1.02	0.8	1.7	46.2	45.4	53.8
4893	NODE_4_length_628_cov_1.510978	0.09	1	0	0	8.6	8.6	91.4
4932	NODE_1_length_1697_cov_52.245860	0.87	1.01	0.8	0.9	85.8	85	14.2
4932	NODE_2_length_947_cov_18.937805	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_1_length_2730_cov_22.039570	0.87	1.01	0.9	1	86.2	85.4	13.8
4942	NODE_3_length_815_cov_2.338663	0.1	1	0	0	10.3	10.3	89.7
4942	NODE_2_length_1741_cov_22.379802	0.59	1.01	0.7	1.2	57.8	57.1	42.2
4951	NODE_2_length_1394_cov_18.670876	1	1	0	0	100	100	0
4951	NODE_1_length_1431_cov_15.707822	0.99	1	0	0	99.5	99.5	0.5
4954	NODE_1_length_1263_cov_35.665493	0.56	1	0.2	0.4	55.5	55.3	44.5
4954	NODE_2_length_1195_cov_29.864232	0.25	1.06	1.3	5.6	23.7	22.4	76.3
4954	NODE_4_length_513_cov_1.282383	0.08	1	0	0	8.3	8.3	91.7
4989	NODE_3_length_1242_cov_45.537220	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_4_length_1224_cov_24.177758	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_9_length_866_cov_41.764547	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_6_length_1208_cov_43.962997	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_2_length_1268_cov_38.460123	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_10_length_858_cov_21.274966	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_5_length_1223_cov_32.697080	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_1_length_1279_cov_60.197049	0.95	1	0.3	0.3	94.4	94.1	5.6
4989	NODE_7_length_998_cov_20.462687	0.6	1.01	0.3	0.5	59.8	59.5	40.2
4989	NODE_8_length_920_cov_32.274905	0.21	1	0	0	20.9	20.9	79.1
4992	NODE_1_length_4542_cov_29.882899	0.98	1.01	0.5	0.5	98	97.4	2
4992	NODE_2_length_1096_cov_4.242518	0.15	1	0	0	14.6	14.6	85.4
