qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2584_cov_35.356203	100	124	0	0	662	54	177	2584	501	624	3.41e-62	230	124	4471_NODE_1_length_2584_cov_35.356203
4471	NODE_1_length_2584_cov_35.356203	97.273	110	2	1	662	554	662	2584	2035	2144	7.49e-49	185	110	4471_NODE_1_length_2584_cov_35.356203
4471	NODE_1_length_2584_cov_35.356203	99.074	108	1	0	662	269	376	2584	1062	1169	1.24e-51	195	108	4471_NODE_1_length_2584_cov_35.356203
4471	NODE_1_length_2584_cov_35.356203	100	101	0	0	662	457	557	2584	1695	1795	2.08e-49	187	101	4471_NODE_1_length_2584_cov_35.356203
4471	NODE_1_length_2584_cov_35.356203	98.98	98	1	0	662	174	271	2584	868	965	4.51e-46	176	98	4471_NODE_1_length_2584_cov_35.356203
4471	NODE_1_length_2584_cov_35.356203	96.703	91	3	0	662	369	459	2584	1286	1376	7.59e-39	152	91	4471_NODE_1_length_2584_cov_35.356203
4527	NODE_1_length_2744_cov_42.185602	95.888	535	22	0	861	269	803	2744	1279	745	0	867	535	4527_NODE_1_length_2744_cov_42.185602
4527	NODE_1_length_2744_cov_42.185602	91.986	287	9	3	861	1	273	2744	2434	2148	1.94e-110	390	287	4527_NODE_1_length_2744_cov_42.185602
4527	NODE_1_length_2744_cov_42.185602	98.333	60	1	0	861	802	861	2744	567	508	7.85e-25	106	60	4527_NODE_1_length_2744_cov_42.185602
4527	NODE_3_length_1212_cov_51.019383	94.766	535	28	0	861	269	803	1212	875	341	0	833	535	4527_NODE_3_length_1212_cov_51.019383
4527	NODE_2_length_1656_cov_34.873338	96.977	430	13	0	861	306	735	1656	1	430	0	723	430	4527_NODE_2_length_1656_cov_34.873338
4527	NODE_2_length_1656_cov_34.873338	95.89	73	3	0	861	731	803	1656	987	1059	1.01e-28	119	73	4527_NODE_2_length_1656_cov_34.873338
4527	NODE_2_length_1656_cov_34.873338	100	60	0	0	861	802	861	1656	1237	1296	1.69e-26	111	60	4527_NODE_2_length_1656_cov_34.873338
4527	NODE_5_length_922_cov_14.736095	94.872	273	6	3	861	1	273	922	318	582	2.47e-119	420	273	4527_NODE_5_length_922_cov_14.736095
4527	NODE_4_length_1040_cov_17.286604	94.139	273	16	0	861	1	273	1040	639	367	3.19e-118	416	273	4527_NODE_4_length_1040_cov_17.286604
4527	NODE_15_length_237_cov_67.637500	96.567	233	8	0	861	571	803	237	237	5	2.5e-109	387	233	4527_NODE_15_length_237_cov_67.637500
4527	NODE_7_length_477_cov_22.162500	95.154	227	11	0	861	47	273	477	477	251	5.46e-101	359	227	4527_NODE_7_length_477_cov_22.162500
4527	NODE_8_length_467_cov_17.253846	98.077	104	2	0	861	269	372	467	104	1	1.27e-47	182	104	4527_NODE_8_length_467_cov_17.253846
4527	NODE_6_length_518_cov_17.598639	95.283	106	5	0	861	269	374	518	413	518	9.87e-44	169	106	4527_NODE_6_length_518_cov_17.598639
4527	NODE_10_length_450_cov_7.552279	93.333	105	7	0	861	302	406	450	450	346	7.68e-40	156	105	4527_NODE_10_length_450_cov_7.552279
4527	NODE_9_length_461_cov_14.294271	95.714	70	3	0	861	269	338	461	392	461	4.69e-27	113	70	4527_NODE_9_length_461_cov_14.294271
4527	NODE_14_length_358_cov_37.451957	98.333	60	1	0	861	802	861	358	130	71	7.85e-25	106	60	4527_NODE_14_length_358_cov_37.451957
4691	NODE_2_length_971_cov_15.828859	97.59	249	6	0	537	74	322	971	320	568	9.11e-122	427	249	4691_NODE_2_length_971_cov_15.828859
4691	NODE_2_length_971_cov_15.828859	97.674	215	5	0	537	323	537	971	662	876	1.56e-104	370	215	4691_NODE_2_length_971_cov_15.828859
4691	NODE_1_length_1096_cov_17.223749	96.8	250	8	0	537	73	322	1096	341	590	5.48e-119	418	250	4691_NODE_1_length_1096_cov_17.223749
4691	NODE_1_length_1096_cov_17.223749	93.056	216	15	0	537	322	537	1096	671	886	2.06e-88	316	216	4691_NODE_1_length_1096_cov_17.223749
4691	NODE_3_length_675_cov_4.580268	96	75	3	0	537	1	75	675	391	317	4.81e-30	122	75	4691_NODE_3_length_675_cov_4.580268
4691	NODE_4_length_477_cov_2.252500	95.312	64	3	0	537	12	75	477	1	64	6.27e-24	102	64	4691_NODE_4_length_477_cov_2.252500
4724	NODE_1_length_1758_cov_30.979774	98.77	244	3	0	660	1	244	1758	442	685	6.71e-124	435	244	4724_NODE_1_length_1758_cov_30.979774
4724	NODE_1_length_1758_cov_30.979774	97.368	190	5	0	660	471	660	1758	1248	1437	1.52e-90	324	190	4724_NODE_1_length_1758_cov_30.979774
