qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2772_cov_22.066541	1.04	1.04	3.6	3.6	100	96.4	0
4471	NODE_3_length_537_cov_10.585366	0.22	1.01	0.3	1.4	22.1	21.8	77.9
4471	NODE_2_length_1378_cov_12.541167	0.79	1.04	3.2	4.2	76.1	73	23.9
4527	NODE_4_length_999_cov_8.466743	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_3_length_1024_cov_11.612040	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_1_length_1682_cov_55.655949	0.69	1	0.2	0.3	68.9	68.6	31.1
4527	NODE_2_length_1301_cov_51.372232	0.62	1	0	0	62.1	62.1	37.9
4527	NODE_5_length_533_cov_12.411330	0.32	1.01	0.2	0.7	31.9	31.7	68.1
4691	NODE_3_length_745_cov_3.344660	0.14	1	0	0	14	14	86
4691	NODE_2_length_1008_cov_16.863791	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_1_length_1042_cov_12.055738	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_2_length_1715_cov_24.857683	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_1_length_1951_cov_19.945175	1	1	0	0	99.8	99.8	0.2
4724	NODE_3_length_981_cov_10.210773	0.49	1	0	0	48.9	48.9	51.1
4724	NODE_4_length_793_cov_2.683183	0.43	1.02	0.9	2.2	42.3	41.4	57.7
4724	NODE_5_length_431_cov_1.250000	0.29	1	0	0	28.8	28.8	71.2
4744	NODE_1_length_958_cov_40.122744	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_4_length_894_cov_10.011734	0.29	1	0	0	29	29	71
4757	NODE_3_length_925_cov_17.837093	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1332_cov_25.953527	0.39	1	0	0	39.2	39.2	60.8
4757	NODE_5_length_877_cov_3.245333	0.17	1	0	0	17.4	17.4	82.6
4793	NODE_3_length_1385_cov_16.692369	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_4_length_1233_cov_24.529837	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_1_length_1631_cov_59.436170	0.59	1	0	0	58.8	58.8	41.2
4793	NODE_2_length_1476_cov_43.751668	0.59	1.01	0.3	0.5	58.8	58.5	41.2
4796	NODE_1_length_1752_cov_30.374769	0.75	1.02	1.8	2.5	73.2	71.4	26.8
4796	NODE_4_length_433_cov_43.392157	0.16	1	0	0	15.8	15.8	84.2
4796	NODE_2_length_1474_cov_9.666667	0.26	1	0	0	25.6	25.6	74.4
4796	NODE_3_length_665_cov_7.814126	0.09	1	0	0	8.6	8.6	91.4
4796	NODE_5_length_421_cov_1.751701	0.15	1	0	0	14.9	14.9	85.1
4802	NODE_1_length_3234_cov_25.356614	0.9	1.02	1.5	1.7	88.6	87.1	11.4
4802	NODE_2_length_2058_cov_13.540135	0.24	1	0	0	23.9	23.9	76.1
4802	NODE_5_length_478_cov_10.752137	0.13	1	0	0	12.9	12.9	87.1
4802	NODE_4_length_581_cov_9.204846	0.13	1	0	0	13.1	13.1	86.9
4802	NODE_7_length_448_cov_12.669782	0.08	1	0	0	8.4	8.4	91.6
4802	NODE_3_length_1089_cov_14.254678	0.23	1.02	0.4	1.7	22.2	21.8	77.8
4802	NODE_6_length_459_cov_5.346386	0.12	1	0	0	12.5	12.5	87.5
4806	NODE_1_length_1737_cov_2.804348	0.87	1.01	0.5	0.6	86	85.5	14
4806	NODE_2_length_1040_cov_2.812705	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_4_length_645_cov_5.953668	0.11	1	0	0	11	11	89
4806	NODE_10_length_255_cov_9.195312	0.11	1	0	0	11	11	89
4806	NODE_7_length_396_cov_4.680297	0.1	1	0	0	9.5	9.5	90.5
4806	NODE_5_length_607_cov_4.347917	0.14	1	0	0	14.2	14.2	85.8
4806	NODE_6_length_509_cov_1.916230	0.14	1	0	0	14.2	14.2	85.8
4848	NODE_2_length_1010_cov_8.189128	0.69	1.01	0.6	0.9	68.6	68	31.4
4848	NODE_1_length_2356_cov_9.224316	1	1.01	0.6	0.6	99.2	98.6	0.8
4848	NODE_3_length_976_cov_11.429918	0.19	1	0	0	19.5	19.5	80.5
4889	NODE_1_length_2057_cov_6.687047	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_1585_cov_9.919067	0.5	1.01	0.4	0.7	49.2	48.8	50.8
4889	NODE_3_length_633_cov_8.561265	0.28	1	0	0	27.5	27.5	72.5
4890	NODE_2_length_1171_cov_6.712644	0.43	1.08	3.1	7.8	40	36.9	60
4890	NODE_3_length_997_cov_7.844828	0.63	1	0	0	62.6	62.6	37.4
4890	NODE_1_length_1177_cov_8.224762	0.6	1.03	1.7	3	58.3	56.5	41.7
4890	NODE_4_length_637_cov_1.507843	0.24	1	0	0	24	24	76
4893	NODE_1_length_2474_cov_14.270984	1.01	1.03	3.3	3.4	97.6	94.3	2.4
4893	NODE_2_length_2089_cov_6.643221	0.69	1.02	1.6	2.4	67.5	65.9	32.5
4932	NODE_1_length_2001_cov_39.210779	0.86	1.01	0.8	0.9	85.4	84.6	14.6
4932	NODE_2_length_1050_cov_7.036836	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_1_length_2594_cov_8.854884	0.82	1.01	0.9	1.1	81.2	80.3	18.8
4942	NODE_3_length_849_cov_2.416898	0.12	1	0	0	11.8	11.8	88.2
4942	NODE_2_length_1800_cov_20.975493	0.86	1.02	1.9	2.3	84.1	82.2	15.9
4942	NODE_4_length_651_cov_10.532443	0.42	1	0.2	0.4	41.5	41.3	58.5
4951	NODE_1_length_1616_cov_12.729349	1	1	0	0	100	100	0
4951	NODE_2_length_1383_cov_16.170382	1	1	0	0	100	100	0
4954	NODE_1_length_1341_cov_38.537068	0.56	1	0.2	0.4	55.5	55.3	44.5
4954	NODE_2_length_1259_cov_33.600707	0.25	1.02	0.4	1.8	24.9	24.5	75.1
4954	NODE_4_length_587_cov_1.404348	0.08	1	0	0	8.3	8.3	91.7
4989	NODE_1_length_1362_cov_31.888259	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_3_length_1129_cov_12.629741	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_8_length_914_cov_10.794155	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_10_length_894_cov_9.187744	0.95	1	0	0	94.7	94.7	5.3
4989	NODE_5_length_1007_cov_5.173864	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_7_length_922_cov_8.130818	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_4_length_1118_cov_19.847629	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_11_length_825_cov_4.902579	0.56	1	0	0	56.4	56.4	43.6
4989	NODE_9_length_904_cov_10.952381	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_6_length_926_cov_14.590738	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_2_length_1224_cov_14.583409	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_15_length_411_cov_2.007042	0.39	1	0	0	38.9	38.9	61.1
4989	NODE_13_length_562_cov_37.724138	0.38	1	0	0	37.7	37.7	62.3
4992	NODE_1_length_4309_cov_20.493305	0.98	1	0.4	0.4	97.9	97.5	2.1
4992	NODE_2_length_1414_cov_9.289044	0.45	1.08	3.2	7.6	41.5	38.3	58.5
4992	NODE_8_length_668_cov_2.715342	0.1	1	0	0	10.4	10.4	89.6
4992	NODE_15_length_393_cov_2.255639	0.1	1	0	0	10.5	10.5	89.5
4992	NODE_14_length_413_cov_1.720280	0.08	1	0	0	7.9	7.9	92.1
4992	NODE_3_length_1257_cov_8.379646	0.17	1	0	0	16.5	16.5	83.5
4992	NODE_9_length_655_cov_3.746212	0.28	1	0	0	28.3	28.3	71.7
4992	NODE_16_length_270_cov_5.482517	0.09	1.01	0.1	0.8	8.7	8.6	91.3
