qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	1.04	1.04	4.4	4.4	100	95.6	0	1
4527	1.95	1.95	93.3	93.3	100	6.7	0	2
4691	2.01	2.01	100	100	100	0	0	4
4724	3.79	3.79	88	88	100	12	0	8
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1.32	1.32	31.8	31.8	100	68.2	0	4
4793	1.45	1.89	67	87.2	76.8	9.8	23.2	4
4796	1.01	1.04	3.9	4	96.7	92.8	3.3	2
4802	1.4	1.46	42.5	44.3	95.9	53.4	4.1	4
4806	1.54	1.78	67	77.9	86	19	14	3
4848	2.08	2.09	79.2	79.9	99.2	20	0.8	3
4889	1.36	1.58	49.4	57.4	86	36.7	14	2
4890	1.6	1.6	32.7	32.8	99.7	67	0.3	3
4893	2.5	2.79	89.6	100	89.6	0	10.4	3
4932	1.02	1.02	1.6	1.6	100	98.4	0	2
4942	2.09	2.09	95.8	95.8	100	4.2	0	4
4951	1.99	1.99	98	98	100	2	0	2
4954	0.89	1.02	1.6	1.9	87.5	85.8	12.5	3
4989	6.36	6.72	94.7	100	94.7	0	5.3	7
4992	1.13	1.15	14.9	15.3	98	83	2	3
