qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2731_cov_49.009985	0.95	1.04	3.3	3.6	92	88.7	8
4527	NODE_1_length_2855_cov_28.597507	1.01	1.01	0.9	0.9	100	99.1	0
4527	NODE_3_length_1081_cov_7.472746	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_2_length_1302_cov_24.302979	0.62	1	0	0	62.1	62.1	37.9
4527	NODE_4_length_881_cov_18.050398	0.4	1.03	1	2.7	39	38	61
4527	NODE_5_length_710_cov_46.650086	0.36	1	0	0	36.2	36.2	63.8
4527	NODE_7_length_645_cov_6.283784	0.07	1	0	0	7	7	93
4691	NODE_4_length_835_cov_5.046610	0.14	1	0	0	14	14	86
4691	NODE_3_length_981_cov_3.720141	0.14	1	0	0	14	14	86
4691	NODE_1_length_1236_cov_10.568981	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_2_length_1014_cov_16.348365	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_2_length_1671_cov_36.648316	1	1	0	0	100	100	0
4724	NODE_1_length_1817_cov_39.301183	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_3_length_1187_cov_8.148113	0.72	1	0	0	72.1	72.1	27.9
4744	NODE_2_length_667_cov_4.516667	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_1151_cov_25.879883	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_3_length_899_cov_7.505181	0.29	1	0	0	29	29	71
4757	NODE_2_length_938_cov_16.589396	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1182_cov_19.957346	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_3_length_1287_cov_33.650000	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_4_length_1080_cov_28.279119	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_1_length_1469_cov_42.384501	0.59	1	0	0	58.8	58.8	41.2
4793	NODE_2_length_1449_cov_54.266263	0.59	1.01	0.3	0.5	58.8	58.5	41.2
4796	NODE_1_length_3267_cov_25.308599	1.01	1.04	3.9	4	96.7	92.8	3.3
4796	NODE_2_length_651_cov_5.322519	0.17	1	0	0	16.9	16.9	83.1
4802	NODE_1_length_2289_cov_28.716004	0.58	1.01	0.8	1.3	56.9	56.1	43.1
4802	NODE_2_length_2285_cov_17.312326	0.42	1.02	0.6	1.5	41.5	40.8	58.5
4802	NODE_3_length_1538_cov_26.189936	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4806	NODE_1_length_1673_cov_4.987063	0.87	1.01	0.5	0.6	86	85.5	14
4806	NODE_3_length_731_cov_2.988411	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_2_length_1609_cov_10.326586	0.25	1	0	0	25.1	25.1	74.9
4848	NODE_1_length_2213_cov_10.370566	0.81	1.01	0.6	0.8	80.4	79.7	19.6
4848	NODE_2_length_2067_cov_14.786598	0.83	1.01	0.6	0.8	82.4	81.8	17.6
4889	NODE_1_length_1909_cov_8.694725	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_1515_cov_7.479107	0.22	1	0	0	22.2	22.2	77.8
