qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2959_cov_33.361582	99.225	129	0	1	662	54	182	2959	2290	2163	9.11e-63	231	129	4471_NODE_1_length_2959_cov_33.361582
4471	NODE_1_length_2959_cov_33.361582	98.182	110	1	1	662	554	662	2959	589	480	1.55e-50	191	110	4471_NODE_1_length_2959_cov_33.361582
4471	NODE_1_length_2959_cov_33.361582	100	108	0	0	662	269	376	2959	1731	1624	2.57e-53	200	108	4471_NODE_1_length_2959_cov_33.361582
4471	NODE_1_length_2959_cov_33.361582	99.01	101	1	0	662	457	557	2959	1114	1014	9.31e-48	182	101	4471_NODE_1_length_2959_cov_33.361582
4471	NODE_1_length_2959_cov_33.361582	100	98	0	0	662	174	271	2959	1923	1826	9.31e-48	182	98	4471_NODE_1_length_2959_cov_33.361582
4471	NODE_1_length_2959_cov_33.361582	96.703	91	3	0	662	369	459	2959	1507	1417	7.3e-39	152	91	4471_NODE_1_length_2959_cov_33.361582
4471	NODE_1_length_2959_cov_33.361582	100	55	0	0	662	1	55	2959	2710	2656	7.45e-24	102	55	4471_NODE_1_length_2959_cov_33.361582
4527	NODE_1_length_2763_cov_33.039454	97.57	535	13	0	861	269	803	2763	1552	2086	0	917	535	4527_NODE_1_length_2763_cov_33.039454
4527	NODE_1_length_2763_cov_33.039454	99.634	273	1	0	861	1	273	2763	411	683	2.96e-143	499	273	4527_NODE_1_length_2763_cov_33.039454
4527	NODE_1_length_2763_cov_33.039454	98.333	60	1	0	861	802	861	2763	2264	2323	7.54e-25	106	60	4527_NODE_1_length_2763_cov_33.039454
4527	NODE_2_length_2301_cov_38.892364	94.953	535	27	0	861	269	803	2301	1052	518	0	839	535	4527_NODE_2_length_2301_cov_38.892364
4527	NODE_2_length_2301_cov_38.892364	95.238	273	13	0	861	1	273	2301	1943	1671	3.05e-123	433	273	4527_NODE_2_length_2301_cov_38.892364
4691	NODE_3_length_892_cov_30.930719	100	249	0	0	537	74	322	892	626	378	8.63e-132	460	249	4691_NODE_3_length_892_cov_30.930719
4691	NODE_3_length_892_cov_30.930719	98.14	215	4	0	537	323	537	892	275	61	3.21e-106	375	215	4691_NODE_3_length_892_cov_30.930719
4691	NODE_1_length_1138_cov_20.948566	96.4	250	9	0	537	73	322	1138	216	465	2.45e-117	412	250	4691_NODE_1_length_1138_cov_20.948566
4691	NODE_1_length_1138_cov_20.948566	93.519	216	14	0	537	322	537	1138	545	760	4.25e-90	322	216	4691_NODE_1_length_1138_cov_20.948566
4691	NODE_4_length_425_cov_1.271812	100	75	0	0	537	1	75	425	195	121	4.59e-35	139	75	4691_NODE_4_length_425_cov_1.271812
4691	NODE_2_length_981_cov_3.394614	96	75	3	0	537	1	75	981	383	457	4.62e-30	122	75	4691_NODE_2_length_981_cov_3.394614
4724	NODE_1_length_1833_cov_30.032825	99.18	244	2	0	660	1	244	1833	1428	1185	1.39e-125	440	244	4724_NODE_1_length_1833_cov_30.032825
4724	NODE_1_length_1833_cov_30.032825	97.895	190	4	0	660	471	660	1833	508	319	3.13e-92	329	190	4724_NODE_1_length_1833_cov_30.032825
4724	NODE_1_length_1833_cov_30.032825	100	147	0	0	660	324	470	1833	919	773	5.35e-75	272	147	4724_NODE_1_length_1833_cov_30.032825
4724	NODE_1_length_1833_cov_30.032825	100	79	0	0	660	245	323	1833	1110	1032	3.38e-37	147	79	4724_NODE_1_length_1833_cov_30.032825
4724	NODE_2_length_1672_cov_14.907443	95.492	244	11	0	660	1	244	1672	1298	1055	1.42e-110	390	244	4724_NODE_2_length_1672_cov_14.907443
4724	NODE_2_length_1672_cov_14.907443	91.053	190	17	0	660	471	660	1672	358	169	1.5e-70	257	190	4724_NODE_2_length_1672_cov_14.907443
4724	NODE_2_length_1672_cov_14.907443	90.968	155	11	3	660	324	476	1672	773	620	5.5e-55	206	155	4724_NODE_2_length_1672_cov_14.907443
4724	NODE_6_length_543_cov_1.533654	93.684	190	12	0	660	471	660	543	216	405	6.87e-79	285	190	4724_NODE_6_length_543_cov_1.533654
4724	NODE_4_length_857_cov_1.219178	93.684	190	12	0	660	471	660	857	355	166	6.87e-79	285	190	4724_NODE_4_length_857_cov_1.219178
4724	NODE_4_length_857_cov_1.219178	86.709	158	16	4	660	324	476	857	775	618	2.01e-44	171	158	4724_NODE_4_length_857_cov_1.219178
4724	NODE_9_length_460_cov_1.636637	95.205	146	7	0	660	471	616	460	248	103	9.08e-63	231	146	4724_NODE_9_length_460_cov_1.636637
4724	NODE_8_length_484_cov_1.507003	92.453	159	12	0	660	471	629	484	260	102	1.17e-61	228	159	4724_NODE_8_length_484_cov_1.507003
4724	NODE_3_length_1018_cov_2.748597	92.453	159	12	0	660	471	629	1018	397	239	1.17e-61	228	159	4724_NODE_3_length_1018_cov_2.748597
4724	NODE_3_length_1018_cov_2.748597	91.781	146	10	2	660	324	469	1018	810	667	7.12e-54	202	146	4724_NODE_3_length_1018_cov_2.748597
4724	NODE_10_length_281_cov_33.961039	95.413	109	5	0	660	1	109	281	173	281	1.55e-45	174	109	4724_NODE_10_length_281_cov_33.961039
4744	NODE_2_length_765_cov_2.460815	100	117	0	0	226	1	117	765	436	320	8.33e-59	217	117	4744_NODE_2_length_765_cov_2.460815
4744	NODE_1_length_1038_cov_29.844127	100	76	0	0	226	118	193	1038	538	463	5.16e-36	141	76	4744_NODE_1_length_1038_cov_29.844127
4757	NODE_4_length_568_cov_5.149660	99.429	175	1	0	551	161	335	568	394	220	5.64e-89	318	175	4757_NODE_4_length_568_cov_5.149660
4757	NODE_2_length_957_cov_12.221687	99.429	175	1	0	551	161	335	957	738	564	5.64e-89	318	175	4757_NODE_2_length_957_cov_12.221687
4757	NODE_3_length_817_cov_14.081159	99.375	160	1	0	551	1	160	817	246	405	1.23e-80	291	160	4757_NODE_3_length_817_cov_14.081159
4757	NODE_1_length_1086_cov_31.624609	96.429	112	4	0	551	440	551	1086	422	311	5.97e-49	185	112	4757_NODE_1_length_1086_cov_31.624609
4757	NODE_1_length_1086_cov_31.624609	100	104	0	0	551	336	439	1086	690	587	3.57e-51	193	104	4757_NODE_1_length_1086_cov_31.624609
4793	NODE_1_length_1457_cov_40.036090	98.336	541	9	0	1011	183	723	1457	995	455	0	950	541	4793_NODE_1_length_1457_cov_40.036090
4793	NODE_1_length_1457_cov_40.036090	94.545	55	2	1	1011	128	182	1457	1418	1365	4.16e-18	84.2	55	4793_NODE_1_length_1457_cov_40.036090
4793	NODE_2_length_1242_cov_21.157848	95.194	541	26	0	1011	183	723	1242	957	417	0	856	541	4793_NODE_2_length_1242_cov_21.157848
4793	NODE_2_length_1242_cov_21.157848	98.246	57	0	1	1011	721	776	1242	209	153	1.49e-22	99	57	4793_NODE_2_length_1242_cov_21.157848
4793	NODE_4_length_1203_cov_26.824349	99.265	136	1	0	1011	1	136	1203	595	730	5.02e-67	246	136	4793_NODE_4_length_1203_cov_26.824349
4793	NODE_3_length_1235_cov_19.383574	98.529	136	2	0	1011	1	136	1235	591	456	2.33e-65	241	136	4793_NODE_3_length_1235_cov_19.383574
4796	NODE_1_length_1965_cov_44.418934	99.387	163	1	0	720	312	474	1965	728	566	3.47e-82	296	163	4796_NODE_1_length_1965_cov_44.418934
4796	NODE_1_length_1965_cov_44.418934	100	118	0	0	720	133	250	1965	1163	1046	7.73e-59	219	118	4796_NODE_1_length_1965_cov_44.418934
4796	NODE_1_length_1965_cov_44.418934	96.522	115	3	1	720	25	138	1965	1363	1249	6.06e-50	189	115	4796_NODE_1_length_1965_cov_44.418934
4796	NODE_1_length_1965_cov_44.418934	94.872	78	3	1	720	475	551	1965	181	104	2.24e-29	121	78	4796_NODE_1_length_1965_cov_44.418934
4796	NODE_1_length_1965_cov_44.418934	98.551	69	0	1	720	249	316	1965	902	834	2.24e-29	121	69	4796_NODE_1_length_1965_cov_44.418934
4796	NODE_2_length_1426_cov_10.604311	100	122	0	0	720	599	720	1426	964	1085	4.62e-61	226	122	4796_NODE_2_length_1426_cov_10.604311
4796	NODE_2_length_1426_cov_10.604311	100	62	0	0	720	537	598	1426	424	485	1.04e-27	115	62	4796_NODE_2_length_1426_cov_10.604311
4802	NODE_1_length_2157_cov_37.670936	99.194	124	1	0	784	270	393	2157	686	563	1.81e-60	224	124	4802_NODE_1_length_2157_cov_37.670936
4802	NODE_1_length_2157_cov_37.670936	98.058	103	2	0	784	1	103	2157	1613	1511	3.98e-47	180	103	4802_NODE_1_length_2157_cov_37.670936
