qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2808_cov_37.938829	1.04	1.04	4.4	4.4	100	95.6	0
4471	NODE_2_length_634_cov_28.331361	0.29	1.04	1.2	4.3	28.1	26.9	71.9
4527	NODE_1_length_2572_cov_21.868303	0.94	1.01	0.6	0.6	93.3	92.7	6.7
4527	NODE_4_length_995_cov_6.217742	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_2_length_1779_cov_38.614407	0.62	1	0	0	62.1	62.1	37.9
4527	NODE_3_length_1416_cov_35.588829	0.69	1	0.2	0.3	68.9	68.6	31.1
4527	NODE_5_length_825_cov_52.749284	0.44	1	0	0	43.7	43.7	56.3
4691	NODE_1_length_2075_cov_17.973306	1.01	1.01	0.6	0.6	100	99.4	0
4691	NODE_3_length_667_cov_2.138889	0.14	1	0	0	14	14	86
4691	NODE_2_length_1002_cov_28.062857	0.87	1	0.2	0.2	86.6	86.4	13.4
4724	NODE_1_length_1764_cov_31.835064	1	1	0	0	100	100	0
4724	NODE_5_length_806_cov_35.296024	0.49	1	0	0	48.9	48.9	51.1
4724	NODE_4_length_1476_cov_19.747961	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_3_length_1666_cov_42.383366	0.72	1	0	0	72.1	72.1	27.9
4724	NODE_6_length_793_cov_14.690691	0.33	1	0	0	32.6	32.6	67.4
4724	NODE_2_length_1690_cov_13.409469	0.72	1	0	0	71.7	71.7	28.3
4724	NODE_7_length_586_cov_3.392157	0.29	1	0	0	28.8	28.8	71.2
4744	NODE_2_length_835_cov_1.812147	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_1176_cov_34.475691	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_1_length_948_cov_12.965895	0.29	1	0	0	29	29	71
4757	NODE_2_length_865_cov_27.195122	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_3_length_620_cov_40.458418	0.19	1	0	0	18.9	18.9	81.1
4757	NODE_4_length_342_cov_34.643923	0.2	1	0	0	20.3	20.3	79.7
4793	NODE_1_length_2695_cov_33.497274	0.78	1.01	0.8	1	76.8	76	23.2
4793	NODE_3_length_1247_cov_31.603571	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_2_length_1410_cov_74.565082	0.54	1	0	0	53.5	53.5	46.5
4796	NODE_1_length_3462_cov_32.067466	1.01	1.04	3.9	4	96.7	92.8	3.3
4796	NODE_2_length_851_cov_9.631215	0.17	1	0	0	16.7	16.7	83.3
4802	NODE_2_length_2057_cov_43.327461	0.68	1.03	1.8	2.7	65.9	64.2	34.1
4802	NODE_1_length_3572_cov_26.331785	0.55	1.01	0.4	0.7	54.6	54.2	45.4
4802	NODE_3_length_1465_cov_26.959641	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4806	NODE_1_length_1906_cov_11.802698	0.87	1.01	0.5	0.6	86	85.5	14
4806	NODE_3_length_790_cov_8.063348	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_2_length_1624_cov_9.532398	0.45	1.01	0.5	1.2	44	43.4	56
4848	NODE_1_length_2694_cov_14.528633	1	1.01	0.6	0.6	99.2	98.6	0.8
4848	NODE_2_length_2370_cov_11.665181	0.7	1.01	0.6	0.9	69.4	68.8	30.6
4889	NODE_1_length_2083_cov_10.355828	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_2000_cov_7.001068	0.49	1	0	0	49	49	51
4890	NODE_4_length_571_cov_3.072072	0.53	1	0	0	52.7	52.7	47.3
4890	NODE_1_length_1564_cov_12.846903	0.82	1.08	5.9	7.8	76	70.1	24
4890	NODE_2_length_1024_cov_14.899666	0.23	1	0	0	22.6	22.6	77.4
4890	NODE_3_length_682_cov_1.441441	0.24	1	0	0	24	24	76
4893	NODE_1_length_2508_cov_18.413692	1.01	1.04	3.7	3.8	97.6	93.9	2.4
4893	NODE_2_length_1790_cov_27.734215	0.75	1.03	2.3	3.1	72.6	70.4	27.4
4932	NODE_1_length_1736_cov_68.513984	0.86	1.01	0.8	0.9	85.1	84.3	14.9
4932	NODE_2_length_900_cov_6.602846	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_2_length_2683_cov_21.706573	0.96	1.02	1.9	2	94.4	92.5	5.6
4942	NODE_1_length_2847_cov_12.183824	0.84	1.01	0.9	1.1	82.8	81.9	17.2
4951	NODE_2_length_1431_cov_27.026074	1	1	0	0	100	100	0
4951	NODE_1_length_1617_cov_16.432215	1.01	1.01	0.5	0.5	100	99.5	0
4951	NODE_3_length_1159_cov_7.721899	0.82	1	0	0	81.6	81.6	18.4
4954	NODE_1_length_1391_cov_53.468354	0.56	1	0.2	0.4	55.5	55.3	44.5
4954	NODE_2_length_1328_cov_31.101582	0.25	1.06	1.3	5.6	23.7	22.4	76.3
4954	NODE_3_length_581_cov_1.856828	0.08	1	0	0	8.3	8.3	91.7
4989	NODE_3_length_1195_cov_36.841760	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_4_length_1181_cov_23.554080	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_6_length_899_cov_15.229275	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_1_length_1480_cov_13.937177	0.93	1	0	0	93.1	93.1	6.9
4989	NODE_2_length_1408_cov_31.905543	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_5_length_1161_cov_16.721470	0.64	1	0.3	0.5	64.2	63.9	35.8
4989	NODE_7_length_687_cov_30.057143	0.39	1	0	0	38.6	38.6	61.4
4992	NODE_1_length_4701_cov_23.704635	0.98	1.01	0.5	0.5	98	97.4	2
4992	NODE_4_length_825_cov_2.756447	0.2	1	0	0	20.1	20.1	79.9
4992	NODE_3_length_925_cov_13.934837	0.09	1	0	0	9.1	9.1	90.9
