qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2746_cov_25.973654	1.04	1.04	3.6	3.6	100	96.4	0
4527	NODE_3_length_1122_cov_9.698492	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_4_length_1001_cov_7.638444	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_1_length_1792_cov_51.487087	0.69	1	0.2	0.3	68.9	68.6	31.1
4527	NODE_2_length_1381_cov_51.992026	0.62	1	0	0	62.1	62.1	37.9
4691	NODE_3_length_888_cov_4.044678	0.14	1	0	0	14	14	86
4691	NODE_2_length_996_cov_17.029919	0.87	1	0	0	86.6	86.6	13.4
4691	NODE_1_length_1046_cov_21.034820	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_1_length_1638_cov_19.257445	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_2_length_1269_cov_19.692644	0.72	1	0	0	72.1	72.1	27.9
4744	NODE_1_length_925_cov_5.637845	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_2_length_922_cov_33.290566	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_2_length_892_cov_8.155556	0.29	1	0	0	29	29	71
4757	NODE_3_length_759_cov_18.337025	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1262_cov_15.695154	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_4_length_1129_cov_14.707585	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_3_length_1240_cov_23.072776	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_2_length_1431_cov_54.987730	0.59	1	0	0	58.7	58.7	41.3
4793	NODE_1_length_1802_cov_32.164776	0.86	1.01	0.6	0.7	85.3	84.7	14.7
4793	NODE_5_length_402_cov_1.414545	0.27	1	0	0	26.8	26.8	73.2
4796	NODE_1_length_1556_cov_41.575927	0.64	1.03	1.8	2.9	62.5	60.7	37.5
4796	NODE_2_length_1448_cov_7.520061	0.26	1	0	0	25.6	25.6	74.4
4796	NODE_3_length_630_cov_6.184891	0.15	1	0	0	15.3	15.3	84.7
4802	NODE_2_length_2202_cov_31.768193	0.68	1.03	1.8	2.7	65.9	64.2	34.1
4802	NODE_1_length_2212_cov_19.100719	0.4	1	0	0	40.1	40.1	59.9
4802	NODE_3_length_1304_cov_18.023789	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4802	NODE_4_length_1207_cov_12.147222	0.22	1.02	0.4	1.8	21.8	21.4	78.2
4806	NODE_2_length_2013_cov_8.086957	0.87	1.01	0.5	0.6	86	85.5	14
4806	NODE_1_length_2550_cov_7.230293	0.67	1	0	0	67	67	33
4848	NODE_1_length_2485_cov_16.395250	1	1.01	0.6	0.6	99.4	98.7	0.6
4889	NODE_2_length_1536_cov_7.640880	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_1_length_1646_cov_10.662278	0.49	1	0	0	49	49	51
4890	NODE_1_length_1357_cov_12.348780	0.7	1.05	3.3	5	66.6	63.3	33.4
4890	NODE_2_length_1062_cov_10.420321	0.31	1.02	0.5	1.7	31	30.4	69
4893	NODE_1_length_1853_cov_21.717265	0.83	1.04	3.6	4.5	79.8	76.2	20.2
4893	NODE_2_length_1787_cov_14.477108	0.75	1.04	2.7	3.7	72.6	70	27.4
4932	NODE_1_length_1902_cov_48.048451	0.86	1.01	0.8	0.9	84.8	84	15.2
4932	NODE_2_length_1268_cov_4.294479	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_1_length_2770_cov_10.332577	0.82	1.01	0.9	1.1	81.2	80.3	18.8
4942	NODE_2_length_1755_cov_17.854423	0.86	1.02	1.9	2.3	84.1	82.2	15.9
4951	NODE_2_length_1339_cov_18.486799	1	1	0	0	100	100	0
4951	NODE_1_length_1526_cov_17.120801	1.01	1.01	0.5	0.5	100	99.5	0
4951	NODE_4_length_382_cov_45.580392	0.14	1	0	0	13.9	13.9	86.1
4951	NODE_3_length_896_cov_7.599480	0.28	1	0	0	27.9	27.9	72.1
4951	NODE_5_length_212_cov_29.082353	0.23	1	0	0	23.2	23.2	76.8
4954	NODE_1_length_1241_cov_38.109515	0.56	1	0.2	0.4	55.9	55.7	44.1
4954	NODE_2_length_1096_cov_18.305470	0.17	1	0	0	16.9	16.9	83.1
4954	NODE_3_length_630_cov_1.234592	0.08	1	0	0	8.3	8.3	91.7
4989	NODE_2_length_1302_cov_34.117447	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_5_length_1091_cov_22.359959	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_6_length_839_cov_36.153090	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_4_length_1099_cov_21.619342	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_3_length_1126_cov_12.869870	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_1_length_1359_cov_16.535714	0.95	1	0.3	0.3	94.7	94.4	5.3
4992	NODE_1_length_4344_cov_19.109557	0.98	1.01	0.5	0.5	98	97.4	2
4992	NODE_3_length_1051_cov_11.487013	0.08	1	0	0	8.5	8.5	91.5
4992	NODE_2_length_1126_cov_2.144144	0.05	1	0	0	4.9	4.9	95.1
