qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2592_cov_39.343205	96.947	131	2	2	662	54	183	2592	2109	1980	7.09e-59	219	131	4471_NODE_1_length_2592_cov_39.343205
4471	NODE_1_length_2592_cov_39.343205	97.273	110	2	1	662	554	662	2592	564	455	7.19e-49	185	110	4471_NODE_1_length_2592_cov_39.343205
4471	NODE_1_length_2592_cov_39.343205	99.074	108	1	0	662	269	376	2592	1548	1441	1.19e-51	195	108	4471_NODE_1_length_2592_cov_39.343205
4471	NODE_1_length_2592_cov_39.343205	100	101	0	0	662	457	557	2592	905	805	2e-49	187	101	4471_NODE_1_length_2592_cov_39.343205
4471	NODE_1_length_2592_cov_39.343205	98.98	98	1	0	662	174	271	2592	1742	1645	4.33e-46	176	98	4471_NODE_1_length_2592_cov_39.343205
4471	NODE_1_length_2592_cov_39.343205	95.604	91	4	0	662	369	459	2592	1324	1234	3.39e-37	147	91	4471_NODE_1_length_2592_cov_39.343205
4527	NODE_2_length_1662_cov_50.755700	96.636	535	18	0	861	269	803	1662	455	989	0	889	535	4527_NODE_2_length_1662_cov_50.755700
4527	NODE_2_length_1662_cov_50.755700	100	60	0	0	861	802	861	1662	1167	1226	1.62e-26	111	60	4527_NODE_2_length_1662_cov_50.755700
4527	NODE_1_length_1686_cov_55.568954	96.262	535	20	0	861	269	803	1686	1214	680	0	878	535	4527_NODE_1_length_1686_cov_55.568954
4527	NODE_1_length_1686_cov_55.568954	98.333	60	1	0	861	802	861	1686	453	394	7.54e-25	106	60	4527_NODE_1_length_1686_cov_55.568954
4527	NODE_3_length_1473_cov_47.797920	94.953	535	27	0	861	269	803	1473	396	930	0	839	535	4527_NODE_3_length_1473_cov_47.797920
4527	NODE_5_length_1099_cov_9.970165	98.168	273	5	0	861	1	273	1099	686	414	1.39e-136	477	273	4527_NODE_5_length_1099_cov_9.970165
4527	NODE_6_length_1025_cov_9.086860	96.703	273	9	0	861	1	273	1025	339	611	6.5e-130	455	273	4527_NODE_6_length_1025_cov_9.086860
4527	NODE_4_length_1143_cov_10.795276	94.872	273	14	0	861	1	273	1143	398	670	1.42e-121	427	273	4527_NODE_4_length_1143_cov_10.795276
4691	NODE_2_length_919_cov_22.164141	97.59	249	6	0	537	74	322	919	664	416	8.74e-122	427	249	4691_NODE_2_length_919_cov_22.164141
