qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2766_cov_40.730580	100	124	0	0	662	54	177	2766	566	689	3.19e-62	230	124	4471_NODE_1_length_2766_cov_40.730580
4471	NODE_1_length_2766_cov_40.730580	98.182	110	1	1	662	554	662	2766	2131	2240	1.5e-50	191	110	4471_NODE_1_length_2766_cov_40.730580
4471	NODE_1_length_2766_cov_40.730580	99.074	108	1	0	662	269	376	2766	1127	1234	1.16e-51	195	108	4471_NODE_1_length_2766_cov_40.730580
4471	NODE_1_length_2766_cov_40.730580	99.01	101	1	0	662	457	557	2766	1791	1891	9.05e-48	182	101	4471_NODE_1_length_2766_cov_40.730580
4471	NODE_1_length_2766_cov_40.730580	98.98	98	1	0	662	174	271	2766	933	1030	4.21e-46	176	98	4471_NODE_1_length_2766_cov_40.730580
4471	NODE_1_length_2766_cov_40.730580	96.703	91	3	0	662	369	459	2766	1351	1441	7.1e-39	152	91	4471_NODE_1_length_2766_cov_40.730580
4527	NODE_1_length_2762_cov_32.892979	95.514	535	24	0	861	269	803	2762	1437	1971	0	856	535	4527_NODE_1_length_2762_cov_32.892979
4527	NODE_1_length_2762_cov_32.892979	98.175	274	5	0	861	1	274	2762	342	615	3.75e-137	479	274	4527_NODE_1_length_2762_cov_32.892979
4527	NODE_1_length_2762_cov_32.892979	100	60	0	0	861	802	861	2762	2199	2258	1.58e-26	111	60	4527_NODE_1_length_2762_cov_32.892979
4527	NODE_3_length_949_cov_26.131387	95.14	535	26	0	861	269	803	949	737	203	0	845	535	4527_NODE_3_length_949_cov_26.131387
4527	NODE_2_length_2586_cov_19.098821	94.953	535	27	0	861	269	803	2586	1058	524	0	839	535	4527_NODE_2_length_2586_cov_19.098821
4527	NODE_2_length_2586_cov_19.098821	93.773	273	17	0	861	1	273	2586	2069	1797	1.39e-116	411	273	4527_NODE_2_length_2586_cov_19.098821
4691	NODE_2_length_969_cov_21.247031	97.992	249	5	0	537	74	322	969	245	493	1.83e-123	433	249	4691_NODE_2_length_969_cov_21.247031
4691	NODE_2_length_969_cov_21.247031	97.674	215	5	0	537	323	537	969	589	803	1.45e-104	370	215	4691_NODE_2_length_969_cov_21.247031
4691	NODE_1_length_1187_cov_10.811321	96.4	250	9	0	537	73	322	1187	695	446	2.38e-117	412	250	4691_NODE_1_length_1187_cov_10.811321
4691	NODE_1_length_1187_cov_10.811321	94.444	90	5	0	537	322	411	1187	90	1	4.46e-35	139	90	4691_NODE_1_length_1187_cov_10.811321
4691	NODE_4_length_622_cov_3.711111	96	75	3	0	537	1	75	622	265	339	4.5e-30	122	75	4691_NODE_4_length_622_cov_3.711111
4691	NODE_3_length_899_cov_5.544041	96	75	3	0	537	1	75	899	563	489	4.5e-30	122	75	4691_NODE_3_length_899_cov_5.544041
4724	NODE_1_length_1871_cov_28.805619	97.541	244	6	0	660	1	244	1871	1321	1078	6.32e-119	418	244	4724_NODE_1_length_1871_cov_28.805619
4724	NODE_1_length_1871_cov_28.805619	97.368	190	5	0	660	471	660	1871	515	326	1.42e-90	324	190	4724_NODE_1_length_1871_cov_28.805619
4724	NODE_1_length_1871_cov_28.805619	97.959	147	3	0	660	324	470	1871	811	665	5.24e-70	255	147	4724_NODE_1_length_1871_cov_28.805619
4724	NODE_1_length_1871_cov_28.805619	97.468	79	2	0	660	245	323	1871	1003	925	7.12e-34	135	79	4724_NODE_1_length_1871_cov_28.805619
4724	NODE_2_length_1854_cov_23.226404	96.721	244	8	0	660	1	244	1854	1260	1017	1.37e-115	407	244	4724_NODE_2_length_1854_cov_23.226404
4724	NODE_2_length_1854_cov_23.226404	95.789	190	8	0	660	471	660	1854	334	145	1.43e-85	307	190	4724_NODE_2_length_1854_cov_23.226404
4724	NODE_2_length_1854_cov_23.226404	92.903	155	9	2	660	324	476	1854	746	592	1.48e-60	224	155	4724_NODE_2_length_1854_cov_23.226404
