qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2625_cov_37.877502	0.96	1.04	3.8	4.1	92	88.2	8
4527	NODE_3_length_1047_cov_11.325000	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_4_length_789_cov_9.851964	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_1_length_1626_cov_54.119413	0.69	1	0.2	0.3	68.9	68.6	31.1
4527	NODE_2_length_1431_cov_40.928681	0.62	1	0	0	62.1	62.1	37.9
4691	NODE_4_length_549_cov_2.431280	0.14	1	0	0	14	14	86
4691	NODE_3_length_765_cov_5.086207	0.14	1	0	0	14	14	86
4691	NODE_1_length_1071_cov_16.960805	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_2_length_939_cov_16.714286	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_1_length_1753_cov_29.586101	1	1	0	0	100	100	0
4724	NODE_2_length_1616_cov_21.388180	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_3_length_606_cov_5.954071	0.29	1	0	0	28.8	28.8	71.2
4744	NODE_2_length_566_cov_2.624146	0.53	1	0	0	53.1	53.1	46.9
4744	NODE_1_length_912_cov_30.434395	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_3_length_772_cov_11.091473	0.29	1	0	0	29	29	71
4757	NODE_2_length_834_cov_23.366337	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1162_cov_32.556522	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_3_length_1133_cov_24.572565	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_4_length_923_cov_26.748744	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_1_length_1489_cov_63.839207	0.58	1	0	0	58.5	58.5	41.5
4793	NODE_2_length_1363_cov_51.735437	0.59	1.01	0.3	0.5	58.8	58.5	41.2
4796	NODE_1_length_1588_cov_33.931554	0.64	1.03	1.8	2.9	62.5	60.7	37.5
4796	NODE_2_length_1259_cov_8.778269	0.26	1	0	0	25.6	25.6	74.4
4796	NODE_3_length_644_cov_3.833656	0.17	1	0	0	16.9	16.9	83.1
4802	NODE_1_length_2242_cov_28.895508	0.58	1.01	0.8	1.3	57.7	56.9	42.3
4802	NODE_2_length_1738_cov_17.670391	0.35	1	0	0	35.1	35.1	64.9
4802	NODE_4_length_1347_cov_24.117213	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4802	NODE_3_length_1525_cov_22.135908	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4806	NODE_3_length_827_cov_4.228571	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_1_length_1476_cov_9.263899	0.25	1	0	0	25.1	25.1	74.9
4806	NODE_2_length_1190_cov_6.456256	0.29	1.02	0.5	1.9	28.2	27.6	71.8
4848	NODE_1_length_2184_cov_15.516772	1	1.01	0.6	0.6	99.2	98.6	0.8
4848	NODE_2_length_847_cov_24.323611	0.2	1	0	0	20	20	80
4889	NODE_1_length_1607_cov_11.822973	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_1413_cov_7.727061	0.22	1	0	0	21.6	21.6	78.4
4890	NODE_1_length_1318_cov_13.277918	0.31	1.02	0.5	1.7	31	30.4	69
4890	NODE_2_length_1164_cov_16.990357	0.61	1.05	2.8	4.8	58.3	55.5	41.7
4893	NODE_1_length_2075_cov_12.071869	0.77	1.03	2	2.6	75.3	73.3	24.7
4893	NODE_2_length_1987_cov_19.032258	0.83	1.03	2.3	2.8	80.6	78.4	19.4
4932	NODE_1_length_1913_cov_29.714446	0.86	1.01	0.5	0.6	85.8	85.3	14.2
4932	NODE_2_length_993_cov_13.378753	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_4_length_611_cov_2.371901	0.1	1	0	0	10.3	10.3	89.7
4942	NODE_3_length_836_cov_3.544429	0.1	1	0	0	10.3	10.3	89.7
4942	NODE_1_length_1909_cov_19.753648	0.72	1.01	0.9	1.2	70.9	70	29.1
4942	NODE_2_length_1736_cov_23.360472	0.62	1.01	0.9	1.4	61.1	60.3	38.9
