qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.95	1.04	3.3	3.6	92	88.7	8	1
4527	3.2	3.2	100	100	100	0	0	5
4691	2.01	2.01	100	100	100	0	0	4
4724	2.53	2.53	100	100	100	0	0	3
4744	0.87	1.02	1.3	1.6	85.4	84.1	14.6	2
4757	1	1	0	0	100	100	0	2
4793	1.51	1.97	71.5	93.2	76.8	5.2	23.2	4
4796	1.18	1.22	20.8	21.6	96.7	75.8	3.3	4
4802	1.34	1.51	44.5	50.4	88.4	43.9	11.6	3
4806	1.57	1.57	56.6	56.7	99.8	43.3	0.2	2
4848	1.2	1.21	20.6	20.7	99.4	78.7	0.6	2
4889	1.09	1.27	22.4	26	86	63.7	14	2
4890	1.18	1.68	24.3	34.7	70.3	45.9	29.7	3
4893	1.62	2.01	59.5	73.8	80.6	21.1	19.4	3
4932	1.02	1.02	2.3	2.3	100	97.7	0	2
4942	1.58	1.63	59.4	61.2	97	37.6	3	3
4951	2.01	2.01	100	100	100	0	0	2
4954	0.89	1.02	2	2.3	87.5	85.5	12.5	3
4989	14.51	15.33	94.7	100	94.7	0	5.3	21
4992	1.49	1.52	24.8	25.3	98	73.1	2	5
