qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2910_cov_34.245059	98.387	124	2	0	662	54	177	2910	643	766	8.14e-59	219	124	4471_NODE_1_length_2910_cov_34.245059
4471	NODE_1_length_2910_cov_34.245059	97.273	110	2	1	662	554	662	2910	2208	2317	8.26e-49	185	110	4471_NODE_1_length_2910_cov_34.245059
4471	NODE_1_length_2910_cov_34.245059	99.074	108	1	0	662	269	376	2910	1204	1311	1.37e-51	195	108	4471_NODE_1_length_2910_cov_34.245059
4471	NODE_1_length_2910_cov_34.245059	99.01	101	1	0	662	457	557	2910	1868	1968	1.07e-47	182	101	4471_NODE_1_length_2910_cov_34.245059
4471	NODE_1_length_2910_cov_34.245059	98.98	98	1	0	662	174	271	2910	1010	1107	4.97e-46	176	98	4471_NODE_1_length_2910_cov_34.245059
4471	NODE_1_length_2910_cov_34.245059	96.703	91	3	0	662	369	459	2910	1428	1518	8.37e-39	152	91	4471_NODE_1_length_2910_cov_34.245059
4527	NODE_1_length_2972_cov_31.503691	96.262	535	20	0	861	269	803	2972	1341	807	0	878	535	4527_NODE_1_length_2972_cov_31.503691
4527	NODE_1_length_2972_cov_31.503691	96.337	273	10	0	861	1	273	2972	2492	2220	3.47e-128	449	273	4527_NODE_1_length_2972_cov_31.503691
4527	NODE_1_length_2972_cov_31.503691	100	60	0	0	861	802	861	2972	629	570	1.86e-26	111	60	4527_NODE_1_length_2972_cov_31.503691
4527	NODE_2_length_2466_cov_24.007696	94.766	535	28	0	861	269	803	2466	1399	1933	0	833	535	4527_NODE_2_length_2466_cov_24.007696
4527	NODE_2_length_2466_cov_24.007696	94.872	273	14	0	861	1	273	2466	389	661	1.63e-121	427	273	4527_NODE_2_length_2466_cov_24.007696
4527	NODE_6_length_508_cov_1.309711	94.894	470	21	1	861	334	803	508	1	467	0	732	470	4527_NODE_6_length_508_cov_1.309711
4527	NODE_3_length_1189_cov_54.321092	96.028	428	17	0	861	376	803	1189	2	429	0	697	428	4527_NODE_3_length_1189_cov_54.321092
4527	NODE_3_length_1189_cov_54.321092	96.667	60	2	0	861	802	861	1189	656	715	4.03e-23	100	60	4527_NODE_3_length_1189_cov_54.321092
4527	NODE_4_length_601_cov_31.179325	95.833	120	5	0	861	269	388	601	482	601	1.8e-51	195	120	4527_NODE_4_length_601_cov_31.179325
4691	NODE_1_length_1263_cov_9.908451	97.992	249	5	0	537	74	322	1263	890	642	2.15e-123	433	249	4691_NODE_1_length_1263_cov_9.908451
4691	NODE_1_length_1263_cov_9.908451	97.674	215	5	0	537	323	537	1263	548	334	1.71e-104	370	215	4691_NODE_1_length_1263_cov_9.908451
4691	NODE_2_length_1222_cov_10.057534	96.4	250	9	0	537	73	322	1222	744	495	2.8e-117	412	250	4691_NODE_2_length_1222_cov_10.057534
4691	NODE_2_length_1222_cov_10.057534	93.519	216	14	0	537	322	537	1222	414	199	4.86e-90	322	216	4691_NODE_2_length_1222_cov_10.057534
4691	NODE_4_length_523_cov_4.275253	96	75	3	0	537	1	75	523	223	297	5.29e-30	122	75	4691_NODE_4_length_523_cov_4.275253
4691	NODE_3_length_962_cov_5.063473	96	75	3	0	537	1	75	962	430	504	5.29e-30	122	75	4691_NODE_3_length_962_cov_5.063473
4724	NODE_2_length_1644_cov_29.892551	98.361	244	4	0	660	1	244	1644	1285	1042	3.44e-122	429	244	4724_NODE_2_length_1644_cov_29.892551
4724	NODE_2_length_1644_cov_29.892551	97.368	190	5	0	660	471	660	1644	363	174	1.67e-90	324	190	4724_NODE_2_length_1644_cov_29.892551
4724	NODE_2_length_1644_cov_29.892551	99.32	147	1	0	660	324	470	1644	776	630	2.86e-73	267	147	4724_NODE_2_length_1644_cov_29.892551
4724	NODE_2_length_1644_cov_29.892551	98.734	79	1	0	660	245	323	1644	967	889	1.81e-35	141	79	4724_NODE_2_length_1644_cov_29.892551
4724	NODE_1_length_1783_cov_26.239734	96.721	244	8	0	660	1	244	1783	438	681	1.61e-115	407	244	4724_NODE_1_length_1783_cov_26.239734
4724	NODE_1_length_1783_cov_26.239734	94.737	190	10	0	660	471	660	1783	1364	1553	3.64e-82	296	190	4724_NODE_1_length_1783_cov_26.239734
4724	NODE_1_length_1783_cov_26.239734	94.194	155	7	2	660	324	476	1783	952	1106	8.06e-64	235	155	4724_NODE_1_length_1783_cov_26.239734
4724	NODE_1_length_1783_cov_26.239734	96.203	79	3	0	660	245	323	1783	766	844	3.91e-32	130	79	4724_NODE_1_length_1783_cov_26.239734
4724	NODE_3_length_929_cov_4.011222	95.263	190	9	0	660	471	660	929	484	295	7.83e-84	302	190	4724_NODE_3_length_929_cov_4.011222
4724	NODE_3_length_929_cov_4.011222	91.613	155	11	2	660	324	476	929	900	746	3.78e-57	213	155	4724_NODE_3_length_929_cov_4.011222
4744	NODE_2_length_667_cov_3.138889	95	120	6	0	226	1	120	667	378	259	2.08e-50	189	120	4744_NODE_2_length_667_cov_3.138889
4744	NODE_1_length_1248_cov_24.501338	98.684	76	1	0	226	118	193	1248	842	767	2.75e-34	135	76	4744_NODE_1_length_1248_cov_24.501338
4757	NODE_1_length_1744_cov_14.904762	98.286	175	3	0	551	161	335	1744	1205	1379	1.4e-85	307	175	4757_NODE_1_length_1744_cov_14.904762
4757	NODE_1_length_1744_cov_14.904762	98.125	160	3	0	551	1	160	1744	380	539	3.05e-77	279	160	4757_NODE_1_length_1744_cov_14.904762
4757	NODE_2_length_1290_cov_24.049871	95.536	112	5	0	551	440	551	1290	825	936	3.18e-47	180	112	4757_NODE_2_length_1290_cov_24.049871
4757	NODE_2_length_1290_cov_24.049871	98.077	104	2	0	551	336	439	1290	556	659	8.84e-48	182	104	4757_NODE_2_length_1290_cov_24.049871
4793	NODE_2_length_1491_cov_52.813783	97.641	551	12	1	1011	173	723	1491	462	1011	0	944	551	4793_NODE_2_length_1491_cov_52.813783
4793	NODE_2_length_1491_cov_52.813783	100	52	0	0	1011	130	181	1491	49	100	6.14e-22	97.1	52	4793_NODE_2_length_1491_cov_52.813783
4793	NODE_1_length_1538_cov_28.416726	95.194	541	26	0	1011	183	723	1538	1051	511	0	856	541	4793_NODE_1_length_1538_cov_28.416726
4793	NODE_1_length_1538_cov_28.416726	96.491	57	1	1	1011	721	776	1538	305	249	7.94e-21	93.5	57	4793_NODE_1_length_1538_cov_28.416726
