qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2984_cov_36.250613	1.04	1.04	4.4	4.4	100	95.6	0
4527	NODE_4_length_938_cov_5.762022	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_5_length_821_cov_4.779539	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_3_length_1226_cov_4.802548	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_1_length_1533_cov_51.152916	0.69	1	0.2	0.3	68.9	68.6	31.1
4527	NODE_2_length_1492_cov_41.410989	0.62	1	0	0	62.1	62.1	37.9
4691	NODE_4_length_879_cov_2.668883	0.14	1	0	0	14	14	86
4691	NODE_3_length_982_cov_2.752047	0.14	1	0	0	14	14	86
4691	NODE_2_length_1088_cov_17.222685	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_1_length_1155_cov_19.145914	0.86	1	0	0	86.4	86.4	13.6
4691	NODE_5_length_622_cov_10.127273	0.22	1	0	0	22	22	78
4724	NODE_2_length_1171_cov_32.886015	0.72	1	0	0	72.1	72.1	27.9
4724	NODE_1_length_2171_cov_25.596380	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_3_length_634_cov_1.984221	0.29	1	0	0	28.8	28.8	71.2
4744	NODE_2_length_884_cov_3.725231	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_1249_cov_28.500891	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_3_length_910_cov_9.731801	0.29	1	0	0	29	29	71
4757	NODE_2_length_1153_cov_19.390838	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1329_cov_33.894343	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_3_length_1120_cov_17.162135	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_4_length_1059_cov_28.064378	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_1_length_1682_cov_47.288103	0.7	1.01	0.8	1.1	69.1	68.3	30.9
4793	NODE_2_length_1474_cov_57.407572	0.59	1	0	0	58.8	58.8	41.2
4796	NODE_1_length_2421_cov_35.393200	0.84	1.05	3.9	4.9	79.7	75.8	20.3
4796	NODE_2_length_944_cov_3.148103	0.17	1	0	0	16.9	16.9	83.1
4802	NODE_1_length_2339_cov_30.336799	0.68	1.03	1.8	2.7	65.9	64.2	34.1
4802	NODE_2_length_2278_cov_21.886564	0.49	1	0	0	48.6	48.6	51.4
4802	NODE_3_length_1426_cov_16.329484	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4802	NODE_4_length_1210_cov_16.578024	0.24	1.02	0.5	2.2	23.2	22.7	76.8
4802	NODE_10_length_283_cov_35.410256	0.14	1	0	0	14.3	14.3	85.7
4802	NODE_6_length_747_cov_2.587097	0.07	1	0	0	7.1	7.1	92.9
4806	NODE_1_length_2098_cov_6.123795	1.01	1.01	1.1	1.1	99.8	98.7	0.2
4806	NODE_2_length_1667_cov_11.699351	0.25	1	0	0	25.1	25.1	74.9
4848	NODE_2_length_2124_cov_16.774662	1	1.01	0.6	0.6	99.2	98.6	0.8
4848	NODE_1_length_2509_cov_17.502939	1	1.01	0.6	0.6	99.2	98.6	0.8
4889	NODE_1_length_1618_cov_8.014755	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_1617_cov_14.662416	0.5	1.01	0.4	0.7	49.2	48.8	50.8
4890	NODE_1_length_1340_cov_10.383347	0.33	1	0	0	33.4	33.4	66.6
4890	NODE_2_length_1208_cov_11.194265	0.61	1.05	2.8	4.8	58.3	55.5	41.7
4890	NODE_4_length_597_cov_10.561702	0.21	1.03	0.5	2.6	20	19.5	80
4893	NODE_3_length_706_cov_1.333333	0.18	1	0	0	17.9	17.9	82.1
4893	NODE_1_length_2587_cov_17.080488	1.01	1.04	3.6	3.7	97.6	94	2.4
4893	NODE_2_length_1548_cov_17.616467	0.75	1.03	2.3	3.1	72.6	70.4	27.4
4893	NODE_4_length_661_cov_20.187266	0.44	1.03	1.2	2.8	42.6	41.4	57.4
4932	NODE_1_length_1819_cov_56.108156	0.86	1.01	0.8	0.9	85.4	84.6	14.6
4932	NODE_2_length_1091_cov_8.302905	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_1_length_2981_cov_16.817449	0.97	1.02	1.9	2	94.9	93	5.1
4942	NODE_3_length_694_cov_1.687831	0.12	1	0	0	11.8	11.8	88.2
4942	NODE_2_length_1990_cov_18.265700	0.72	1.01	0.9	1.2	70.9	70	29.1
4951	NODE_1_length_1630_cov_20.433134	1.01	1.01	0.5	0.5	100	99.5	0
4951	NODE_2_length_1407_cov_16.052344	1.01	1.01	0.5	0.5	100	99.5	0
4951	NODE_4_length_690_cov_10.293073	0.43	1.01	0.5	1.3	42.2	41.6	57.8
4954	NODE_1_length_1457_cov_37.318045	0.56	1	0.2	0.4	55.5	55.3	44.5
4954	NODE_2_length_1370_cov_23.509252	0.17	1	0	0	16.9	16.9	83.1
4954	NODE_3_length_658_cov_3.423729	0.08	1	0	0	8.3	8.3	91.7
4954	NODE_4_length_509_cov_1.691099	0.09	1	0	0	8.7	8.7	91.3
4989	NODE_2_length_1330_cov_30.316708	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_5_length_1081_cov_20.430818	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_7_length_1073_cov_16.816068	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_6_length_1079_cov_14.934874	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_3_length_1286_cov_16.394305	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_1_length_1597_cov_62.048299	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_4_length_1232_cov_18.218100	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_8_length_860_cov_7.897681	0.56	1	0	0	56.4	56.4	43.6
4989	NODE_10_length_559_cov_29.111111	0.39	1	0	0	38.6	38.6	61.4
4989	NODE_9_length_677_cov_13.883636	0.34	1	0	0	34	34	66
4992	NODE_1_length_4541_cov_21.344132	0.98	1.01	0.5	0.5	98	97.4	2
4992	NODE_5_length_764_cov_9.125589	0.19	1	0	0	19	19	81
4992	NODE_2_length_1291_cov_4.011168	0.1	1	0	0	9.8	9.8	90.2
4992	NODE_3_length_1029_cov_6.798226	0.08	1	0	0	8.5	8.5	91.5
4992	NODE_6_length_531_cov_1.245050	0.05	1	0	0	4.9	4.9	95.1
