qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2642_cov_36.792843	0.96	1.05	4.2	4.6	92	87.8	8
4527	NODE_5_length_1007_cov_5.979545	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_3_length_1114_cov_11.339412	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_4_length_1068_cov_6.902232	0.31	1	0	0	31.4	31.4	68.6
4527	NODE_1_length_1791_cov_36.275240	0.69	1	0.2	0.3	68.9	68.6	31.1
4527	NODE_2_length_1523_cov_47.674785	0.62	1	0	0	62.1	62.1	37.9
4527	NODE_6_length_853_cov_32.581267	0.47	1	0	0	47.2	47.2	52.8
4691	NODE_4_length_631_cov_2.593254	0.14	1	0	0	14	14	86
4691	NODE_3_length_875_cov_6.048128	0.14	1	0	0	14	14	86
4691	NODE_1_length_1079_cov_20.700630	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_2_length_1051_cov_14.906926	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_2_length_1819_cov_29.952128	1	1	0	0	99.8	99.8	0.2
4724	NODE_1_length_1933_cov_28.687154	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_3_length_740_cov_2.732463	0.38	1.02	0.9	2.4	37.3	36.4	62.7
4744	NODE_2_length_820_cov_4.053391	0.53	1	0	0	53.1	53.1	46.9
4744	NODE_1_length_1177_cov_30.531429	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_3_length_871_cov_8.346774	0.29	1	0	0	29	29	71
4757	NODE_2_length_887_cov_19.077632	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1413_cov_30.447123	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_3_length_1149_cov_28.887476	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_4_length_1131_cov_28.169323	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_1_length_1524_cov_46.647101	0.64	1	0.3	0.5	64	63.7	36
4793	NODE_2_length_1387_cov_47.157143	0.54	1	0	0	53.5	53.5	46.5
4793	NODE_6_length_558_cov_37.515081	0.11	1	0	0	11.5	11.5	88.5
4793	NODE_7_length_206_cov_1.430380	0.05	1	0	0	4.9	4.9	95.1
4796	NODE_2_length_1529_cov_60.343081	0.75	1.02	1.8	2.5	73.2	71.4	26.8
4796	NODE_1_length_1726_cov_7.580363	0.26	1	0	0	25.6	25.6	74.4
4796	NODE_3_length_780_cov_5.696784	0.17	1	0	0	16.9	16.9	83.1
4802	NODE_2_length_2219_cov_29.992352	0.58	1.01	0.8	1.3	57.7	56.9	42.3
4802	NODE_1_length_3430_cov_25.645171	0.66	1.01	0.6	1	65.8	65.2	34.2
4802	NODE_3_length_1436_cov_23.315508	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4806	NODE_1_length_2135_cov_7.081175	0.9	1.01	0.5	0.6	89.4	88.9	10.6
4806	NODE_3_length_925_cov_5.448622	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_2_length_1479_cov_12.370562	0.25	1	0	0	25.1	25.1	74.9
4848	NODE_1_length_2518_cov_12.025094	0.99	1.01	0.6	0.7	98.7	98.1	1.3
4848	NODE_2_length_1887_cov_18.684659	0.73	1.01	0.6	0.9	72.1	71.5	27.9
