qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2851_cov_96.964311	0.65	1.02	1.1	1.7	64	63	36
4527	NODE_1_length_2656_cov_165.646762	0.94	1.01	0.6	0.6	93.3	92.7	6.7
4691	NODE_1_length_1430_cov_134.149298	0.46	1	0	0	46.4	46.4	53.6
4724	NODE_1_length_2022_cov_116.751671	0.78	1	0	0	77.7	77.7	22.3
4724	NODE_2_length_1191_cov_32.294434	0.37	1	0	0	37	37	63
4744	NODE_1_length_2040_cov_41.266429	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_1_length_2570_cov_63.622543	0.7	1	0	0	70.1	70.1	29.9
4793	NODE_1_length_2912_cov_136.995062	0.67	1	0	0	67.1	67.1	32.9
4793	NODE_2_length_457_cov_1.094737	0.2	1	0	0	19.7	19.7	80.3
4796	NODE_1_length_1858_cov_99.145424	0.16	1	0	0	15.8	15.8	84.2
4796	NODE_2_length_1754_cov_16.339296	0.24	1	0	0	24	24	76
4802	NODE_1_length_2741_cov_102.526652	0.49	1	0	0	48.9	48.9	51.1
4802	NODE_2_length_1112_cov_26.547826	0.15	1	0	0	15.4	15.4	84.6
4806	NODE_1_length_2268_cov_42.741670	0.31	1.04	1.3	4.2	30	28.7	70
4806	NODE_2_length_2209_cov_24.521576	0.11	1	0	0	11.1	11.1	88.9
4848	NODE_1_length_2923_cov_32.840478	0.8	1.01	0.8	1	79.2	78.4	20.8
4889	NODE_1_length_1438_cov_28.700955	0.22	1	0	0	21.6	21.6	78.4
4890	NODE_1_length_1530_cov_32.858913	0.39	1	0.2	0.5	38.6	38.4	61.4
4893	NODE_1_length_3065_cov_57.143240	0.65	1.01	0.7	1	64	63.3	36
4932	NODE_1_length_2208_cov_240.354294	0.66	1	0.3	0.5	66.1	65.8	33.9
4942	NODE_1_length_3159_cov_46.019143	0.49	1.01	0.7	1.4	48.1	47.4	51.9
4951	NODE_4_length_512_cov_150.977011	0.18	1	0	0	18.2	18.2	81.8
4951	NODE_2_length_629_cov_131.034420	0.24	1	0	0	24.3	24.3	75.7
4951	NODE_1_length_867_cov_189.692405	0.72	1	0	0	71.7	71.7	28.3
4951	NODE_3_length_603_cov_48.311787	0.22	1	0	0	22.4	22.4	77.6
4954	NODE_1_length_1553_cov_142.088076	0.56	1	0.2	0.4	55.9	55.7	44.1
4954	NODE_2_length_1484_cov_55.846482	0.17	1	0	0	16.9	16.9	83.1
4989	NODE_1_length_1595_cov_78.788538	0.95	1	0.3	0.3	94.7	94.4	5.3
4992	NODE_1_length_4014_cov_129.761748	0.77	1	0.1	0.2	77.2	77.1	22.8
