qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.95	1.04	3.3	3.6	92	88.7	8	1
4527	3.84	3.84	100	100	100	0	0	7
4691	2.01	2.01	100	100	100	0	0	4
4724	2.39	2.39	99.8	99.8	100	0.2	0	3
4744	0.87	1.02	1.3	1.6	85.4	84.1	14.6	2
4757	1	1	0	0	100	100	0	3
4793	1.62	2.11	76.4	99.5	76.8	0.4	23.2	5
4796	1.01	1.04	3.9	4	96.7	92.8	3.3	1
4802	1.47	1.67	57.7	65.2	88.4	30.7	11.6	3
4806	1.42	1.65	56	65.3	85.8	29.8	14.2	3
4848	2.01	2.03	82.3	83	99.2	16.9	0.8	3
4889	1.09	1.27	22.9	26.6	86	63.1	14	2
4890	0.95	1.35	24.3	34.7	70.3	45.9	29.7	2
4893	2.09	2.14	59.5	61	97.6	38.1	2.4	3
4932	1.02	1.02	2.3	2.3	100	97.7	0	2
4942	1.82	1.92	72.5	76.3	94.9	22.5	5.1	4
4951	2.54	2.54	81	81	100	19	0	3
4954	0.81	1.02	1.6	2.1	79.1	77.5	20.9	2
4989	7.1	7.49	94.7	100	94.7	0	5.3	9
4992	1.14	1.16	8	8.1	98	90	2	3
