qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2787_cov_41.473684	100	124	0	0	662	54	177	2787	1994	1871	3.12e-62	230	124	4471_NODE_1_length_2787_cov_41.473684
4471	NODE_1_length_2787_cov_41.473684	98.182	110	1	1	662	554	662	2787	430	321	1.47e-50	191	110	4471_NODE_1_length_2787_cov_41.473684
4471	NODE_1_length_2787_cov_41.473684	100	108	0	0	662	269	376	2787	1435	1328	2.44e-53	200	108	4471_NODE_1_length_2787_cov_41.473684
4471	NODE_1_length_2787_cov_41.473684	100	101	0	0	662	457	557	2787	770	670	1.9e-49	187	101	4471_NODE_1_length_2787_cov_41.473684
4471	NODE_1_length_2787_cov_41.473684	98.98	98	1	0	662	174	271	2787	1627	1530	4.12e-46	176	98	4471_NODE_1_length_2787_cov_41.473684
4471	NODE_1_length_2787_cov_41.473684	96.703	91	3	0	662	369	459	2787	1211	1121	6.94e-39	152	91	4471_NODE_1_length_2787_cov_41.473684
4471	NODE_1_length_2787_cov_41.473684	100	55	0	0	662	1	55	2787	2413	2359	7.09e-24	102	55	4471_NODE_1_length_2787_cov_41.473684
4527	NODE_1_length_1734_cov_69.751711	97.944	535	11	0	861	269	803	1734	1312	778	0	928	535	4527_NODE_1_length_1734_cov_69.751711
4527	NODE_1_length_1734_cov_69.751711	100	60	0	0	861	802	861	1734	601	542	1.54e-26	111	60	4527_NODE_1_length_1734_cov_69.751711
4527	NODE_2_length_1288_cov_69.422050	95.327	535	25	0	861	269	803	1288	988	454	0	850	535	4527_NODE_2_length_1288_cov_69.422050
4527	NODE_3_length_1067_cov_16.462766	97.802	273	6	0	861	1	273	1067	451	723	6.14e-135	472	273	4527_NODE_3_length_1067_cov_16.462766
4527	NODE_4_length_1014_cov_8.091319	95.238	273	13	0	861	1	273	1014	333	605	2.9e-123	433	273	4527_NODE_4_length_1014_cov_8.091319
4691	NODE_2_length_1023_cov_30.330357	98.394	249	4	0	537	74	322	1023	757	509	3.84e-125	438	249	4691_NODE_2_length_1023_cov_30.330357
4691	NODE_2_length_1023_cov_30.330357	96.279	215	8	0	537	323	537	1023	408	194	1.43e-99	353	215	4691_NODE_2_length_1023_cov_30.330357
4691	NODE_1_length_1154_cov_31.087634	97.2	250	7	0	537	73	322	1154	266	515	1.08e-120	424	250	4691_NODE_1_length_1154_cov_31.087634
4691	NODE_1_length_1154_cov_31.087634	93.981	216	13	0	537	322	537	1154	595	810	8.68e-92	327	216	4691_NODE_1_length_1154_cov_31.087634
4691	NODE_3_length_507_cov_2.034211	93.333	75	5	0	537	1	75	507	138	212	9.52e-27	111	75	4691_NODE_3_length_507_cov_2.034211
4724	NODE_1_length_1820_cov_28.020673	99.59	244	1	0	660	1	244	1820	1278	1035	2.83e-127	446	244	4724_NODE_1_length_1820_cov_28.020673
4724	NODE_1_length_1820_cov_28.020673	97.895	190	4	0	660	471	660	1820	385	196	2.98e-92	329	190	4724_NODE_1_length_1820_cov_28.020673
4724	NODE_1_length_1820_cov_28.020673	92.258	155	10	2	660	324	476	1820	750	596	6.72e-59	219	155	4724_NODE_1_length_1820_cov_28.020673
4724	NODE_1_length_1820_cov_28.020673	97.468	79	2	0	660	245	323	1820	960	882	6.97e-34	135	79	4724_NODE_1_length_1820_cov_28.020673
4724	NODE_2_length_1790_cov_35.859290	96.721	244	8	0	660	1	244	1790	1327	1084	1.34e-115	407	244	4724_NODE_2_length_1790_cov_35.859290
4724	NODE_2_length_1790_cov_35.859290	96.316	190	7	0	660	471	660	1790	396	207	3e-87	313	190	4724_NODE_2_length_1790_cov_35.859290
4724	NODE_2_length_1790_cov_35.859290	93.548	155	8	2	660	324	476	1790	812	658	3.11e-62	230	155	4724_NODE_2_length_1790_cov_35.859290
4724	NODE_2_length_1790_cov_35.859290	96.203	79	3	0	660	245	323	1790	997	919	3.24e-32	130	79	4724_NODE_2_length_1790_cov_35.859290
4724	NODE_4_length_582_cov_25.778022	96.045	177	7	0	660	1	177	582	406	582	5.05e-80	289	177	4724_NODE_4_length_582_cov_25.778022
4724	NODE_8_length_189_cov_56.661290	97.638	127	3	0	660	115	241	189	1	127	6.72e-59	219	127	4724_NODE_8_length_189_cov_56.661290
4724	NODE_3_length_725_cov_3.672241	95.918	98	4	0	660	471	568	725	469	372	4.13e-41	159	98	4724_NODE_3_length_725_cov_3.672241
4724	NODE_5_length_308_cov_16.635359	96.203	79	3	0	660	245	323	308	153	75	3.24e-32	130	79	4724_NODE_5_length_308_cov_16.635359
4724	NODE_5_length_308_cov_16.635359	97.059	68	2	0	660	177	244	308	308	241	9.08e-28	115	68	4724_NODE_5_length_308_cov_16.635359
4724	NODE_6_length_270_cov_26.517483	97.143	70	2	0	660	254	323	270	144	75	7.02e-29	119	70	4724_NODE_6_length_270_cov_26.517483
4724	NODE_6_length_270_cov_26.517483	97.059	68	2	0	660	177	244	270	270	203	9.08e-28	115	68	4724_NODE_6_length_270_cov_26.517483
4724	NODE_7_length_218_cov_37.868132	96.226	53	2	0	660	271	323	218	218	166	1.98e-19	87.9	53	4724_NODE_7_length_218_cov_37.868132
4744	NODE_2_length_613_cov_3.043210	96.581	117	4	0	226	1	117	613	164	280	3.71e-52	195	117	4744_NODE_2_length_613_cov_3.043210
4744	NODE_1_length_987_cov_32.347674	98.684	76	1	0	226	118	193	987	580	505	2.28e-34	135	76	4744_NODE_1_length_987_cov_32.347674
4757	NODE_2_length_833_cov_21.229462	97.714	175	4	0	551	161	335	833	228	402	5.4e-84	302	175	4757_NODE_2_length_833_cov_21.229462
4757	NODE_3_length_720_cov_10.760540	100	160	0	0	551	1	160	720	321	480	2.51e-82	296	160	4757_NODE_3_length_720_cov_10.760540
4757	NODE_1_length_1277_cov_25.103478	96.429	112	4	0	551	440	551	1277	795	906	5.68e-49	185	112	4757_NODE_1_length_1277_cov_25.103478
4757	NODE_1_length_1277_cov_25.103478	98.077	104	2	0	551	336	439	1277	533	636	7.34e-48	182	104	4757_NODE_1_length_1277_cov_25.103478
4793	NODE_2_length_1523_cov_58.116762	97.597	541	13	0	1011	183	723	1523	406	946	0	928	541	4793_NODE_2_length_1523_cov_58.116762
4793	NODE_2_length_1523_cov_58.116762	100	53	0	0	1011	724	776	1523	1430	1482	1.41e-22	99	53	4793_NODE_2_length_1523_cov_58.116762
4793	NODE_1_length_2863_cov_41.464912	95.933	541	22	0	1011	183	723	2863	1693	2233	0	878	541	4793_NODE_1_length_2863_cov_41.464912
4793	NODE_1_length_2863_cov_41.464912	97.059	136	4	0	1011	1	136	2863	594	729	4.8e-62	230	136	4793_NODE_1_length_2863_cov_41.464912
4793	NODE_1_length_2863_cov_41.464912	98.246	57	0	1	1011	721	776	2863	2438	2494	1.41e-22	99	57	4793_NODE_1_length_2863_cov_41.464912
4793	NODE_1_length_2863_cov_41.464912	98.113	53	1	0	1011	130	182	2863	1271	1323	6.58e-21	93.5	53	4793_NODE_1_length_2863_cov_41.464912
4793	NODE_1_length_2863_cov_41.464912	100	52	0	0	1011	774	825	2863	2812	2863	5.08e-22	97.1	52	4793_NODE_1_length_2863_cov_41.464912
4793	NODE_3_length_991_cov_29.781250	98.529	136	2	0	1011	1	136	991	442	577	2.22e-65	241	136	4793_NODE_3_length_991_cov_29.781250
4793	NODE_6_length_442_cov_1.628571	87.179	117	15	0	1011	875	991	442	108	224	3.88e-33	134	117	4793_NODE_6_length_442_cov_1.628571
4793	NODE_4_length_787_cov_5.651515	89.247	93	9	1	1011	900	991	787	402	310	1.4e-27	115	93	4793_NODE_4_length_787_cov_5.651515
4796	NODE_1_length_1464_cov_67.547494	99.387	163	1	0	720	312	474	1464	893	1055	3.3e-82	296	163	4796_NODE_1_length_1464_cov_67.547494
4796	NODE_1_length_1464_cov_67.547494	100	118	0	0	720	133	250	1464	421	538	7.35e-59	219	118	4796_NODE_1_length_1464_cov_67.547494
4796	NODE_1_length_1464_cov_67.547494	96.522	115	3	1	720	25	138	1464	221	335	5.77e-50	189	115	4796_NODE_1_length_1464_cov_67.547494
4796	NODE_1_length_1464_cov_67.547494	98.551	69	0	1	720	249	316	1464	719	787	2.13e-29	121	69	4796_NODE_1_length_1464_cov_67.547494
4796	NODE_2_length_1453_cov_10.470588	99.16	119	1	0	720	602	720	1453	390	272	9.51e-58	215	119	4796_NODE_2_length_1453_cov_10.470588
4796	NODE_2_length_1453_cov_10.470588	100	62	0	0	720	537	598	1453	995	934	9.92e-28	115	62	4796_NODE_2_length_1453_cov_10.470588
4796	NODE_3_length_641_cov_3.634241	87.156	109	7	1	720	617	718	641	256	364	2.76e-28	117	109	4796_NODE_3_length_641_cov_3.634241
4802	NODE_1_length_2307_cov_35.803670	96.85	127	4	0	784	264	390	2307	1635	1761	3.73e-57	213	127	4802_NODE_1_length_2307_cov_35.803670
4802	NODE_1_length_2307_cov_35.803670	97.087	103	3	0	784	1	103	2307	682	784	1.76e-45	174	103	4802_NODE_1_length_2307_cov_35.803670
4802	NODE_1_length_2307_cov_35.803670	97.619	84	2	0	784	460	543	2307	2058	2141	1.38e-36	145	84	4802_NODE_1_length_2307_cov_35.803670
4802	NODE_1_length_2307_cov_35.803670	100	74	0	0	784	101	174	2307	1006	1079	2.31e-34	137	74	4802_NODE_1_length_2307_cov_35.803670
4802	NODE_1_length_2307_cov_35.803670	97.26	73	2	0	784	389	461	2307	1891	1963	1.8e-30	124	73	4802_NODE_1_length_2307_cov_35.803670
4802	NODE_1_length_2307_cov_35.803670	97.143	70	2	0	784	168	237	2307	1157	1226	8.37e-29	119	70	4802_NODE_1_length_2307_cov_35.803670
4802	NODE_3_length_1319_cov_38.828859	98.214	112	2	0	784	673	784	1319	521	410	3.76e-52	196	112	4802_NODE_3_length_1319_cov_38.828859
4802	NODE_3_length_1319_cov_38.828859	98.551	69	1	0	784	543	611	1319	1044	976	6.47e-30	122	69	4802_NODE_3_length_1319_cov_38.828859
4802	NODE_3_length_1319_cov_38.828859	98.462	65	1	0	784	611	675	1319	720	656	1.08e-27	115	65	4802_NODE_3_length_1319_cov_38.828859
4802	NODE_2_length_2090_cov_37.796230	93.548	124	7	1	784	270	393	2090	814	692	2.93e-48	183	124	4802_NODE_2_length_2090_cov_37.796230
4802	NODE_2_length_2090_cov_37.796230	91.262	103	9	0	784	1	103	2090	1749	1647	1.79e-35	141	103	4802_NODE_2_length_2090_cov_37.796230
4802	NODE_2_length_2090_cov_37.796230	97.619	84	2	0	784	460	543	2090	423	340	1.38e-36	145	84	4802_NODE_2_length_2090_cov_37.796230
4802	NODE_2_length_2090_cov_37.796230	94.03	67	4	0	784	171	237	2090	1314	1248	8.43e-24	102	67	4802_NODE_2_length_2090_cov_37.796230
4802	NODE_4_length_1094_cov_32.815926	95.536	112	5	0	784	673	784	1094	578	689	3.79e-47	180	112	4802_NODE_4_length_1094_cov_32.815926
4802	NODE_4_length_1094_cov_32.815926	100	65	0	0	784	611	675	1094	380	444	2.33e-29	121	65	4802_NODE_4_length_1094_cov_32.815926
4806	NODE_1_length_1927_cov_11.284444	99.571	233	1	0	557	1	233	1927	229	461	3.11e-121	425	233	4806_NODE_1_length_1927_cov_11.284444
4806	NODE_1_length_1927_cov_11.284444	99.074	108	1	0	557	234	341	1927	745	852	9.54e-52	195	108	4806_NODE_1_length_1927_cov_11.284444
4806	NODE_1_length_1927_cov_11.284444	98.734	79	1	0	557	401	479	1927	1474	1552	1.26e-35	141	79	4806_NODE_1_length_1927_cov_11.284444
4806	NODE_1_length_1927_cov_11.284444	100	62	0	0	557	339	400	1927	938	999	7.64e-28	115	62	4806_NODE_1_length_1927_cov_11.284444
4806	NODE_3_length_643_cov_8.534884	94.85	233	12	0	557	1	233	643	190	422	6.87e-103	364	233	4806_NODE_3_length_643_cov_8.534884
4806	NODE_2_length_1717_cov_18.432704	97.468	79	2	0	557	401	479	1717	1176	1254	5.86e-34	135	79	4806_NODE_2_length_1717_cov_18.432704
4806	NODE_2_length_1717_cov_18.432704	96.721	61	2	0	557	339	399	1717	647	707	5.95e-24	102	61	4806_NODE_2_length_1717_cov_18.432704
4848	NODE_1_length_2359_cov_43.674283	97.473	277	7	0	621	1	277	2359	335	611	1.22e-135	473	277	4848_NODE_1_length_2359_cov_43.674283
4848	NODE_1_length_2359_cov_43.674283	98.63	219	2	1	621	274	492	2359	887	1104	1.64e-109	387	219	4848_NODE_1_length_2359_cov_43.674283
4848	NODE_1_length_2359_cov_43.674283	97.581	124	3	0	621	497	620	2359	1767	1890	2.95e-57	213	124	4848_NODE_1_length_2359_cov_43.674283
4848	NODE_2_length_709_cov_4.896907	96.954	197	6	0	621	1	197	709	197	1	7.79e-93	331	197	4848_NODE_2_length_709_cov_4.896907
4889	NODE_1_length_1682_cov_10.311897	98.052	154	3	0	559	328	481	1682	1181	1334	5.56e-74	268	154	4889_NODE_1_length_1682_cov_10.311897
4889	NODE_1_length_1682_cov_10.311897	99.329	149	1	0	559	58	206	1682	340	488	1.55e-74	270	149	4889_NODE_1_length_1682_cov_10.311897
4889	NODE_1_length_1682_cov_10.311897	97.521	121	3	0	559	207	327	1682	954	1074	1.23e-55	207	121	4889_NODE_1_length_1682_cov_10.311897
4889	NODE_1_length_1682_cov_10.311897	98.361	61	1	0	559	1	61	1682	194	254	1.28e-25	108	61	4889_NODE_1_length_1682_cov_10.311897
4889	NODE_2_length_1560_cov_14.583391	94.771	153	8	0	559	329	481	1560	1316	1468	4.36e-65	239	153	4889_NODE_2_length_1560_cov_14.583391
4889	NODE_2_length_1560_cov_14.583391	96.694	121	4	0	559	207	327	1560	975	1095	5.72e-54	202	121	4889_NODE_2_length_1560_cov_14.583391
4890	NODE_1_length_1185_cov_23.768431	98.519	135	2	0	575	103	237	1185	1025	891	4.49e-65	239	135	4890_NODE_1_length_1185_cov_23.768431
4890	NODE_1_length_1185_cov_23.768431	98.913	92	0	1	575	233	324	1185	795	705	2.78e-42	163	92	4890_NODE_1_length_1185_cov_23.768431
4890	NODE_1_length_1185_cov_23.768431	100	67	0	0	575	371	437	1185	442	376	1.31e-30	124	67	4890_NODE_1_length_1185_cov_23.768431
4890	NODE_1_length_1185_cov_23.768431	100	51	0	0	575	323	373	1185	598	548	1.03e-21	95.3	51	4890_NODE_1_length_1185_cov_23.768431
4890	NODE_2_length_1170_cov_11.670182	96.923	130	4	0	575	103	232	1170	184	313	5.85e-59	219	130	4890_NODE_2_length_1170_cov_11.670182
4893	NODE_2_length_1591_cov_30.411885	99.225	129	1	0	753	366	494	1591	941	813	2.75e-63	233	129	4893_NODE_2_length_1591_cov_30.411885
4893	NODE_2_length_1591_cov_30.411885	98.291	117	2	0	753	251	367	1591	1153	1037	5.99e-55	206	117	4893_NODE_2_length_1591_cov_30.411885
4893	NODE_2_length_1591_cov_30.411885	97.222	108	3	0	753	147	254	1591	1343	1236	2.81e-48	183	108	4893_NODE_2_length_1591_cov_30.411885
4893	NODE_2_length_1591_cov_30.411885	97.115	104	3	0	753	590	693	1591	169	66	4.7e-46	176	104	4893_NODE_2_length_1591_cov_30.411885
4893	NODE_2_length_1591_cov_30.411885	100	103	0	0	753	492	594	1591	371	269	1.68e-50	191	103	4893_NODE_2_length_1591_cov_30.411885
4893	NODE_1_length_1654_cov_27.839555	96.212	132	5	0	753	363	494	1654	682	813	2.77e-58	217	132	4893_NODE_1_length_1654_cov_27.839555
4893	NODE_1_length_1654_cov_27.839555	94.167	120	7	0	753	248	367	1654	473	592	2.81e-48	183	120	4893_NODE_1_length_1654_cov_27.839555
4893	NODE_1_length_1654_cov_27.839555	96.19	105	4	0	753	147	251	1654	286	390	6.08e-45	172	105	4893_NODE_1_length_1654_cov_27.839555
4893	NODE_1_length_1654_cov_27.839555	98.077	104	2	0	753	590	693	1654	1457	1560	1.01e-47	182	104	4893_NODE_1_length_1654_cov_27.839555
4893	NODE_1_length_1654_cov_27.839555	96.117	103	4	0	753	492	594	1654	1254	1356	7.86e-44	169	103	4893_NODE_1_length_1654_cov_27.839555
4932	NODE_1_length_1902_cov_74.980282	98.364	489	8	0	996	1	489	1902	396	884	0	859	489	4932_NODE_1_length_1902_cov_74.980282
4932	NODE_1_length_1902_cov_74.980282	98.438	192	3	0	996	654	845	1902	1254	1445	7.54e-95	339	192	4932_NODE_1_length_1902_cov_74.980282
4932	NODE_1_length_1902_cov_74.980282	98.837	172	2	0	996	487	658	1902	1000	1171	2.13e-85	307	172	4932_NODE_1_length_1902_cov_74.980282
4932	NODE_2_length_892_cov_10.224837	100	82	0	0	996	915	996	892	450	531	1.05e-38	152	82	4932_NODE_2_length_892_cov_10.224837
4932	NODE_2_length_892_cov_10.224837	100	74	0	0	996	845	918	892	230	303	2.95e-34	137	74	4932_NODE_2_length_892_cov_10.224837
4942	NODE_2_length_2604_cov_20.709326	97.546	163	4	0	574	337	499	2604	1572	1734	2.64e-77	279	163	4942_NODE_2_length_2604_cov_20.709326
4942	NODE_2_length_2604_cov_20.709326	97.436	117	3	0	574	224	340	2604	1316	1432	2.11e-53	200	117	4942_NODE_2_length_2604_cov_20.709326
4942	NODE_2_length_2604_cov_20.709326	95.294	85	4	0	574	89	173	2604	939	1023	6.05e-34	135	85	4942_NODE_2_length_2604_cov_20.709326
4942	NODE_2_length_2604_cov_20.709326	100	76	0	0	574	499	574	2604	2155	2230	1.3e-35	141	76	4942_NODE_2_length_2604_cov_20.709326
4942	NODE_2_length_2604_cov_20.709326	98.305	59	1	0	574	1	59	2604	287	345	1.71e-24	104	59	4942_NODE_2_length_2604_cov_20.709326
4942	NODE_2_length_2604_cov_20.709326	98.214	56	1	0	574	168	223	2604	1156	1211	7.94e-23	99	56	4942_NODE_2_length_2604_cov_20.709326
4942	NODE_1_length_2694_cov_20.253214	94.479	163	9	0	574	337	499	2694	1089	927	5.76e-69	252	163	4942_NODE_1_length_2694_cov_20.253214
4942	NODE_1_length_2694_cov_20.253214	93.162	117	8	0	574	224	340	2694	1342	1226	4.61e-45	172	117	4942_NODE_1_length_2694_cov_20.253214
4942	NODE_1_length_2694_cov_20.253214	96.053	76	3	0	574	499	574	2694	546	471	1.31e-30	124	76	4942_NODE_1_length_2694_cov_20.253214
4942	NODE_1_length_2694_cov_20.253214	92.647	68	5	0	574	1	68	2694	2382	2315	7.94e-23	99	68	4942_NODE_1_length_2694_cov_20.253214
4942	NODE_1_length_2694_cov_20.253214	98.214	56	1	0	574	168	223	2694	1487	1432	7.94e-23	99	56	4942_NODE_1_length_2694_cov_20.253214
4951	NODE_1_length_1680_cov_27.080489	98.658	447	3	1	548	105	548	1680	1027	581	0	789	447	4951_NODE_1_length_1680_cov_27.080489
4951	NODE_1_length_1680_cov_27.080489	99.01	101	1	0	548	1	101	1680	1515	1415	7.3e-48	182	101	4951_NODE_1_length_1680_cov_27.080489
4951	NODE_2_length_1557_cov_23.581818	93.778	450	25	1	548	102	548	1557	905	456	0	673	450	4951_NODE_2_length_1557_cov_23.581818
4951	NODE_2_length_1557_cov_23.581818	98.02	101	2	0	548	1	101	1557	1368	1268	3.4e-46	176	101	4951_NODE_2_length_1557_cov_23.581818
4951	NODE_3_length_1032_cov_12.906077	93.514	185	12	0	548	102	286	1032	650	466	3.26e-76	276	185	4951_NODE_3_length_1032_cov_12.906077
4951	NODE_3_length_1032_cov_12.906077	98.246	57	1	0	548	492	548	1032	459	403	2.1e-23	100	57	4951_NODE_3_length_1032_cov_12.906077
4954	NODE_2_length_1301_cov_60.534923	98.571	420	6	0	911	1	420	1301	840	421	0	743	420	4954_NODE_2_length_1301_cov_60.534923
4954	NODE_2_length_1301_cov_60.534923	98.901	91	1	0	911	419	509	1301	198	108	4.45e-42	163	91	4954_NODE_2_length_1301_cov_60.534923
4954	NODE_1_length_1313_cov_25.832209	100	95	0	0	911	506	600	1313	730	636	5.71e-46	176	95	4954_NODE_1_length_1313_cov_25.832209
4954	NODE_1_length_1313_cov_25.832209	98.485	66	1	0	911	599	664	1313	491	426	3.51e-28	117	66	4954_NODE_1_length_1313_cov_25.832209
4954	NODE_1_length_1313_cov_25.832209	100	59	0	0	911	663	721	1313	345	287	5.87e-26	110	59	4954_NODE_1_length_1313_cov_25.832209
