qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2449_cov_37.752369	1.04	1.04	4.4	4.4	100	95.6	0
4527	NODE_4_length_864_cov_9.928087	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_3_length_911_cov_5.420918	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_6_length_627_cov_6.612000	0.32	1	0	0	31.6	31.6	68.4
4527	NODE_1_length_1673_cov_51.791721	0.69	1	0.2	0.3	68.9	68.6	31.1
4527	NODE_2_length_1327_cov_35.335833	0.62	1	0	0	62.1	62.1	37.9
4691	NODE_3_length_714_cov_1.918228	0.14	1	0	0	14	14	86
4691	NODE_5_length_413_cov_2.223776	0.14	1	0	0	14	14	86
4691	NODE_4_length_552_cov_1.202353	0.14	1	0	0	14	14	86
4691	NODE_2_length_902_cov_15.922581	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_1_length_1055_cov_22.803879	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_2_length_1767_cov_29.754268	1	1	0	0	100	100	0
4724	NODE_1_length_1834_cov_20.296426	1.01	1.01	0.9	0.9	100	99.1	0
4744	NODE_2_length_883_cov_1.890212	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_1135_cov_31.780754	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_2_length_963_cov_8.443780	0.29	1	0	0	29	29	71
4757	NODE_3_length_904_cov_18.208494	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1231_cov_24.466486	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_4_length_1138_cov_26.474777	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_3_length_1261_cov_21.021164	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_1_length_1460_cov_41.567892	0.59	1.01	0.3	0.5	58.8	58.5	41.2
4793	NODE_2_length_1362_cov_38.484211	0.58	1	0	0	58.5	58.5	41.5
4793	NODE_5_length_756_cov_38.403816	0.33	1	0	0	32.7	32.7	67.3
4793	NODE_7_length_237_cov_1.290909	0.05	1	0	0	5.2	5.2	94.8
4796	NODE_1_length_1823_cov_50.242925	0.64	1.03	1.8	2.9	62.5	60.7	37.5
4796	NODE_2_length_1615_cov_9.872984	0.26	1	0	0	25.6	25.6	74.4
4802	NODE_1_length_3788_cov_28.807976	0.89	1.02	1.4	1.6	88	86.6	12
4802	NODE_2_length_2291_cov_27.504621	0.48	1	0	0	48.1	48.1	51.9
4802	NODE_3_length_1180_cov_26.753086	0.32	1.04	1.1	3.7	30.9	29.7	69.1
4806	NODE_1_length_1957_cov_6.340984	0.87	1.01	1.3	1.5	86	84.7	14
4806	NODE_4_length_792_cov_2.321805	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_2_length_1310_cov_5.851226	0.14	1	0	0	14.2	14.2	85.8
4806	NODE_3_length_881_cov_4.590186	0.14	1	0	0	14.2	14.2	85.8
4848	NODE_2_length_2133_cov_15.722832	1	1.01	0.6	0.6	99.2	98.6	0.8
4848	NODE_1_length_2582_cov_12.184929	1	1.01	0.6	0.6	99.2	98.6	0.8
4889	NODE_1_length_2044_cov_12.483046	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_1841_cov_13.803384	0.76	1	0.4	0.5	75.3	75	24.7
4890	NODE_1_length_1314_cov_11.056445	0.6	1.03	1.7	3	58.3	56.5	41.7
4890	NODE_2_length_1173_cov_10.743786	0.23	1	0	0	22.6	22.6	77.4
4890	NODE_5_length_502_cov_1.370667	0.24	1	0	0	24	24	76
4893	NODE_1_length_2735_cov_12.959356	1.01	1.04	3.6	3.7	97.6	94	2.4
4893	NODE_3_length_1205_cov_10.753247	0.6	1.03	1.5	2.5	58.2	56.7	41.8
4893	NODE_2_length_1721_cov_9.356336	0.76	1.03	2	2.7	74.2	72.2	25.8
4932	NODE_1_length_1799_cov_61.379187	0.86	1.01	0.8	0.9	85.4	84.6	14.6
4932	NODE_2_length_1148_cov_9.441724	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_1_length_2838_cov_11.745850	0.84	1.01	0.9	1.1	82.8	81.9	17.2
4942	NODE_3_length_913_cov_5.159033	0.1	1	0	0	10.3	10.3	89.7
