qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2465_cov_41.325920	100	124	0	0	662	54	177	2465	417	540	3.74e-62	230	124	4471_NODE_1_length_2465_cov_41.325920
4471	NODE_1_length_2465_cov_41.325920	96.364	110	3	1	662	554	662	2465	1985	2094	3.82e-47	180	110	4471_NODE_1_length_2465_cov_41.325920
4471	NODE_1_length_2465_cov_41.325920	99.074	108	1	0	662	269	376	2465	978	1085	1.36e-51	195	108	4471_NODE_1_length_2465_cov_41.325920
4471	NODE_1_length_2465_cov_41.325920	99.01	101	1	0	662	457	557	2465	1645	1745	1.06e-47	182	101	4471_NODE_1_length_2465_cov_41.325920
4471	NODE_1_length_2465_cov_41.325920	98.98	98	1	0	662	174	271	2465	784	881	4.94e-46	176	98	4471_NODE_1_length_2465_cov_41.325920
4471	NODE_1_length_2465_cov_41.325920	96.703	91	3	0	662	369	459	2465	1202	1292	8.33e-39	152	91	4471_NODE_1_length_2465_cov_41.325920
4527	NODE_1_length_1643_cov_40.366095	95.888	535	22	0	861	269	803	1643	447	981	0	867	535	4527_NODE_1_length_1643_cov_40.366095
4527	NODE_1_length_1643_cov_40.366095	100	60	0	0	861	802	861	1643	1208	1267	1.85e-26	111	60	4527_NODE_1_length_1643_cov_40.366095
4527	NODE_2_length_1411_cov_36.475857	95.14	535	26	0	861	269	803	1411	1098	564	0	845	535	4527_NODE_2_length_1411_cov_36.475857
4527	NODE_5_length_684_cov_24.075404	94.823	367	19	0	861	269	635	684	367	1	1.96e-165	573	367	4527_NODE_5_length_684_cov_24.075404
4527	NODE_4_length_857_cov_12.584932	97.81	274	6	0	861	1	274	857	290	563	2.05e-135	473	274	4527_NODE_4_length_857_cov_12.584932
4527	NODE_6_length_653_cov_36.055133	95.971	273	11	0	861	531	803	653	653	381	1.61e-126	444	273	4527_NODE_6_length_653_cov_36.055133
4527	NODE_6_length_653_cov_36.055133	100	60	0	0	861	802	861	653	203	144	1.85e-26	111	60	4527_NODE_6_length_653_cov_36.055133
4527	NODE_3_length_1079_cov_6.025210	94.872	273	14	0	861	1	273	1079	609	337	1.62e-121	427	273	4527_NODE_3_length_1079_cov_6.025210
4691	NODE_1_length_1219_cov_15.336996	97.992	249	5	0	537	74	322	1219	546	794	2.15e-123	433	249	4691_NODE_1_length_1219_cov_15.336996
4691	NODE_1_length_1219_cov_15.336996	97.674	215	5	0	537	323	537	1219	890	1104	1.71e-104	370	215	4691_NODE_1_length_1219_cov_15.336996
4691	NODE_2_length_1074_cov_14.734952	96.4	250	9	0	537	73	322	1074	864	615	2.8e-117	412	250	4691_NODE_2_length_1074_cov_14.734952
4691	NODE_2_length_1074_cov_14.734952	93.519	216	14	0	537	322	537	1074	249	34	4.85e-90	322	216	4691_NODE_2_length_1074_cov_14.734952
4691	NODE_3_length_984_cov_5.110852	96	75	3	0	537	1	75	984	491	565	5.28e-30	122	75	4691_NODE_3_length_984_cov_5.110852
4691	NODE_4_length_727_cov_7.513333	94.667	75	4	0	537	1	75	727	291	365	2.46e-28	117	75	4691_NODE_4_length_727_cov_7.513333
4724	NODE_2_length_1664_cov_28.612232	97.951	244	5	0	660	1	244	1664	1197	954	1.59e-120	424	244	4724_NODE_2_length_1664_cov_28.612232
4724	NODE_2_length_1664_cov_28.612232	97.368	190	5	0	660	471	660	1664	405	216	1.66e-90	324	190	4724_NODE_2_length_1664_cov_28.612232
4724	NODE_2_length_1664_cov_28.612232	97.959	147	3	0	660	324	470	1664	687	541	6.15e-70	255	147	4724_NODE_2_length_1664_cov_28.612232
4724	NODE_2_length_1664_cov_28.612232	97.468	79	2	0	660	245	323	1664	879	801	8.36e-34	135	79	4724_NODE_2_length_1664_cov_28.612232
4724	NODE_1_length_1692_cov_48.943131	96.311	244	9	0	660	1	244	1692	433	676	7.47e-114	401	244	4724_NODE_1_length_1692_cov_48.943131
4724	NODE_1_length_1692_cov_48.943131	95.789	190	8	0	660	471	660	1692	1364	1553	1.67e-85	307	190	4724_NODE_1_length_1692_cov_48.943131
4724	NODE_1_length_1692_cov_48.943131	94.194	155	7	2	660	324	476	1692	948	1102	8.02e-64	235	155	4724_NODE_1_length_1692_cov_48.943131
4724	NODE_1_length_1692_cov_48.943131	96.203	79	3	0	660	245	323	1692	762	840	3.89e-32	130	79	4724_NODE_1_length_1692_cov_48.943131
4744	NODE_2_length_734_cov_2.848435	96.581	117	4	0	226	1	117	734	410	526	4.46e-52	195	117	4744_NODE_2_length_734_cov_2.848435
4744	NODE_1_length_973_cov_32.528369	97.368	76	2	0	226	118	193	973	438	513	1.28e-32	130	76	4744_NODE_1_length_973_cov_32.528369
4757	NODE_3_length_749_cov_29.424437	97.714	175	4	0	551	161	335	749	259	433	6.47e-84	302	175	4757_NODE_3_length_749_cov_29.424437
