qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2900_cov_38.131266	97.674	129	2	1	662	54	182	2900	752	879	1.83e-59	220	129	4471_NODE_1_length_2900_cov_38.131266
4471	NODE_1_length_2900_cov_38.131266	98.182	110	1	1	662	554	662	2900	2306	2415	1.44e-50	191	110	4471_NODE_1_length_2900_cov_38.131266
4471	NODE_1_length_2900_cov_38.131266	97.222	108	3	0	662	269	376	2900	1313	1420	2.4e-48	183	108	4471_NODE_1_length_2900_cov_38.131266
4471	NODE_1_length_2900_cov_38.131266	100	101	0	0	662	457	557	2900	1966	2066	1.86e-49	187	101	4471_NODE_1_length_2900_cov_38.131266
4471	NODE_1_length_2900_cov_38.131266	98.98	98	1	0	662	174	271	2900	1119	1216	4.02e-46	176	98	4471_NODE_1_length_2900_cov_38.131266
4471	NODE_1_length_2900_cov_38.131266	95.652	92	4	0	662	368	459	2900	1535	1626	8.76e-38	148	92	4471_NODE_1_length_2900_cov_38.131266
4471	NODE_1_length_2900_cov_38.131266	98.182	55	1	0	662	1	55	2900	333	387	3.22e-22	97.1	55	4471_NODE_1_length_2900_cov_38.131266
4527	NODE_2_length_1632_cov_78.021262	97.383	535	14	0	861	269	803	1632	1217	683	0	911	535	4527_NODE_2_length_1632_cov_78.021262
4527	NODE_2_length_1632_cov_78.021262	98.333	60	1	0	861	802	861	1632	508	449	7e-25	106	60	4527_NODE_2_length_1632_cov_78.021262
4527	NODE_1_length_2496_cov_40.965386	95.514	535	24	0	861	269	803	2496	1079	545	0	856	535	4527_NODE_1_length_2496_cov_40.965386
4527	NODE_1_length_2496_cov_40.965386	94.872	273	14	0	861	1	273	2496	2218	1946	1.32e-121	427	273	4527_NODE_1_length_2496_cov_40.965386
4527	NODE_3_length_990_cov_10.499421	97.07	273	8	0	861	1	273	990	572	300	1.3e-131	460	273	4527_NODE_3_length_990_cov_10.499421
4691	NODE_2_length_1045_cov_21.740741	97.59	249	6	0	537	74	322	1045	724	476	8.12e-122	427	249	4691_NODE_2_length_1045_cov_21.740741
4691	NODE_2_length_1045_cov_21.740741	99.07	215	2	0	537	323	537	1045	380	166	1.38e-109	387	215	4691_NODE_2_length_1045_cov_21.740741
4691	NODE_1_length_1140_cov_20.970385	96.8	250	8	0	537	73	322	1140	299	548	4.89e-119	418	250	4691_NODE_1_length_1140_cov_20.970385
4691	NODE_1_length_1140_cov_20.970385	93.519	216	14	0	537	322	537	1140	628	843	3.94e-90	322	216	4691_NODE_1_length_1140_cov_20.970385
4691	NODE_4_length_633_cov_3.545455	94.667	75	4	0	537	1	75	633	362	288	2e-28	117	75	4691_NODE_4_length_633_cov_3.545455
4691	NODE_3_length_641_cov_4.505837	94.667	75	4	0	537	1	75	641	347	421	2e-28	117	75	4691_NODE_3_length_641_cov_4.505837
4724	NODE_1_length_1968_cov_29.134166	98.77	244	3	0	660	1	244	1968	1463	1220	5.99e-124	435	244	4724_NODE_1_length_1968_cov_29.134166
4724	NODE_1_length_1968_cov_29.134166	97.895	190	4	0	660	471	660	1968	542	353	2.91e-92	329	190	4724_NODE_1_length_1968_cov_29.134166
4724	NODE_1_length_1968_cov_29.134166	99.32	147	1	0	660	324	470	1968	954	808	2.31e-73	267	147	4724_NODE_1_length_1968_cov_29.134166
4724	NODE_1_length_1968_cov_29.134166	100	79	0	0	660	245	323	1968	1145	1067	3.14e-37	147	79	4724_NODE_1_length_1968_cov_29.134166
4724	NODE_2_length_1804_cov_33.042338	94.262	244	14	0	660	1	244	1804	1395	1152	1.32e-105	374	244	4724_NODE_2_length_1804_cov_33.042338
4724	NODE_2_length_1804_cov_33.042338	95.263	190	9	0	660	471	660	1804	483	294	6.34e-84	302	190	4724_NODE_2_length_1804_cov_33.042338
4724	NODE_2_length_1804_cov_33.042338	94.558	147	8	0	660	324	470	1804	878	732	1.09e-61	228	147	4724_NODE_2_length_1804_cov_33.042338
4724	NODE_2_length_1804_cov_33.042338	96.203	79	3	0	660	245	323	1804	1063	985	3.16e-32	130	79	4724_NODE_2_length_1804_cov_33.042338
4744	NODE_2_length_661_cov_3.788390	97.436	117	3	0	226	1	117	661	184	300	7.79e-54	200	117	4744_NODE_2_length_661_cov_3.788390
4744	NODE_1_length_1094_cov_29.693899	98.684	76	1	0	226	118	193	1094	565	490	2.23e-34	135	76	4744_NODE_1_length_1094_cov_29.693899
4757	NODE_1_length_1879_cov_33.343037	97.143	175	5	0	551	161	335	1879	304	478	2.45e-82	296	175	4757_NODE_1_length_1879_cov_33.343037
4757	NODE_1_length_1879_cov_33.343037	100	104	0	0	551	336	439	1879	1148	1251	3.31e-51	193	104	4757_NODE_1_length_1879_cov_33.343037
4757	NODE_2_length_740_cov_10.675367	99.375	160	1	0	551	1	160	740	245	404	1.14e-80	291	160	4757_NODE_2_length_740_cov_10.675367
4793	NODE_1_length_1593_cov_71.075034	97.782	541	12	0	1011	183	723	1593	493	1033	0	933	541	4793_NODE_1_length_1593_cov_71.075034
4793	NODE_1_length_1593_cov_71.075034	95.082	61	2	1	1011	122	182	1593	64	123	1.79e-21	95.3	61	4793_NODE_1_length_1593_cov_71.075034
4793	NODE_1_length_1593_cov_71.075034	100	53	0	0	1011	724	776	1593	1491	1543	1.38e-22	99	53	4793_NODE_1_length_1593_cov_71.075034
