qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2449_cov_37.752369	98.45	129	1	1	662	54	182	2449	1935	1808	4.67e-61	226	129	4471_NODE_1_length_2449_cov_37.752369
4471	NODE_1_length_2449_cov_37.752369	97.273	110	2	1	662	554	662	2449	369	260	7.92e-49	185	110	4471_NODE_1_length_2449_cov_37.752369
4471	NODE_1_length_2449_cov_37.752369	100	108	0	0	662	269	376	2449	1376	1269	2.83e-53	200	108	4471_NODE_1_length_2449_cov_37.752369
4471	NODE_1_length_2449_cov_37.752369	99.01	101	1	0	662	457	557	2449	709	609	1.02e-47	182	101	4471_NODE_1_length_2449_cov_37.752369
4471	NODE_1_length_2449_cov_37.752369	97.959	98	2	0	662	174	271	2449	1568	1471	2.22e-44	171	98	4471_NODE_1_length_2449_cov_37.752369
4471	NODE_1_length_2449_cov_37.752369	94.505	91	5	0	662	369	459	2449	1152	1062	1.74e-35	141	91	4471_NODE_1_length_2449_cov_37.752369
4471	NODE_1_length_2449_cov_37.752369	100	55	0	0	662	1	55	2449	2345	2291	8.21e-24	102	55	4471_NODE_1_length_2449_cov_37.752369
4527	NODE_1_length_1673_cov_51.791721	97.196	535	15	0	861	269	803	1673	382	916	0	905	535	4527_NODE_1_length_1673_cov_51.791721
4527	NODE_1_length_1673_cov_51.791721	98.333	60	1	0	861	802	861	1673	1090	1149	8.31e-25	106	60	4527_NODE_1_length_1673_cov_51.791721
4527	NODE_2_length_1327_cov_35.335833	95.14	535	26	0	861	269	803	1327	314	848	0	845	535	4527_NODE_2_length_1327_cov_35.335833
4527	NODE_4_length_864_cov_9.928087	97.07	273	8	0	861	1	273	864	346	618	1.54e-131	460	273	4527_NODE_4_length_864_cov_9.928087
4527	NODE_6_length_627_cov_6.612000	95.956	272	11	0	861	2	273	627	505	234	5.57e-126	442	272	4527_NODE_6_length_627_cov_6.612000
4527	NODE_3_length_911_cov_5.420918	94.872	273	14	0	861	1	273	911	361	633	1.56e-121	427	273	4527_NODE_3_length_911_cov_5.420918
4691	NODE_1_length_1055_cov_22.803879	98.394	249	4	0	537	74	322	1055	698	450	4.45e-125	438	249	4691_NODE_1_length_1055_cov_22.803879
4691	NODE_1_length_1055_cov_22.803879	99.07	215	2	0	537	323	537	1055	353	139	1.64e-109	387	215	4691_NODE_1_length_1055_cov_22.803879
4691	NODE_2_length_902_cov_15.922581	96.4	250	9	0	537	73	322	902	214	463	2.7e-117	412	250	4691_NODE_2_length_902_cov_15.922581
4691	NODE_2_length_902_cov_15.922581	94.444	216	12	0	537	322	537	902	543	758	2.16e-93	333	216	4691_NODE_2_length_902_cov_15.922581
4691	NODE_3_length_714_cov_1.918228	96	75	3	0	537	1	75	714	311	385	5.09e-30	122	75	4691_NODE_3_length_714_cov_1.918228
4691	NODE_5_length_413_cov_2.223776	94.667	75	4	0	537	1	75	413	366	292	2.37e-28	117	75	4691_NODE_5_length_413_cov_2.223776
4691	NODE_4_length_552_cov_1.202353	93.333	75	5	0	537	1	75	552	190	116	1.1e-26	111	75	4691_NODE_4_length_552_cov_1.202353
4724	NODE_2_length_1767_cov_29.754268	100	244	0	0	660	1	244	1767	414	657	7.05e-129	451	244	4724_NODE_2_length_1767_cov_29.754268
4724	NODE_2_length_1767_cov_29.754268	98.421	190	3	0	660	471	660	1767	1336	1525	7.41e-94	335	190	4724_NODE_2_length_1767_cov_29.754268
4724	NODE_2_length_1767_cov_29.754268	97.959	147	3	0	660	324	470	1767	923	1069	5.93e-70	255	147	4724_NODE_2_length_1767_cov_29.754268
4724	NODE_2_length_1767_cov_29.754268	98.734	79	1	0	660	245	323	1767	732	810	1.73e-35	141	79	4724_NODE_2_length_1767_cov_29.754268
4724	NODE_1_length_1834_cov_20.296426	96.311	244	9	0	660	1	244	1834	1412	1169	7.2e-114	401	244	4724_NODE_1_length_1834_cov_20.296426
4724	NODE_1_length_1834_cov_20.296426	96.316	190	7	0	660	471	660	1834	484	295	3.47e-87	313	190	4724_NODE_1_length_1834_cov_20.296426
4724	NODE_1_length_1834_cov_20.296426	94.194	155	7	2	660	324	476	1834	901	747	7.73e-64	235	155	4724_NODE_1_length_1834_cov_20.296426
4724	NODE_1_length_1834_cov_20.296426	97.468	79	2	0	660	245	323	1834	1084	1006	8.07e-34	135	79	4724_NODE_1_length_1834_cov_20.296426
4744	NODE_2_length_883_cov_1.890212	98.291	117	2	0	226	1	117	883	348	232	1.99e-55	206	117	4744_NODE_2_length_883_cov_1.890212
