qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2984_cov_36.250613	99.225	129	0	1	662	54	182	2984	697	824	9.76e-63	231	129	4471_NODE_1_length_2984_cov_36.250613
4471	NODE_1_length_2984_cov_36.250613	98.182	110	1	1	662	554	662	2984	2262	2371	1.66e-50	191	110	4471_NODE_1_length_2984_cov_36.250613
4471	NODE_1_length_2984_cov_36.250613	100	108	0	0	662	269	376	2984	1257	1364	2.75e-53	200	108	4471_NODE_1_length_2984_cov_36.250613
4471	NODE_1_length_2984_cov_36.250613	100	101	0	0	662	457	557	2984	1922	2022	2.14e-49	187	101	4471_NODE_1_length_2984_cov_36.250613
4471	NODE_1_length_2984_cov_36.250613	98.98	98	1	0	662	174	271	2984	1064	1161	4.64e-46	176	98	4471_NODE_1_length_2984_cov_36.250613
4471	NODE_1_length_2984_cov_36.250613	95.604	91	4	0	662	369	459	2984	1481	1571	3.64e-37	147	91	4471_NODE_1_length_2984_cov_36.250613
4471	NODE_1_length_2984_cov_36.250613	100	55	0	0	662	1	55	2984	278	332	7.98e-24	102	55	4471_NODE_1_length_2984_cov_36.250613
4527	NODE_1_length_1533_cov_51.152916	97.57	535	13	0	861	269	803	1533	1219	685	0	917	535	4527_NODE_1_length_1533_cov_51.152916
4527	NODE_1_length_1533_cov_51.152916	100	60	0	0	861	802	861	1533	508	449	1.74e-26	111	60	4527_NODE_1_length_1533_cov_51.152916
4527	NODE_2_length_1492_cov_41.410989	95.327	535	25	0	861	269	803	1492	1017	483	0	850	535	4527_NODE_2_length_1492_cov_41.410989
4527	NODE_4_length_938_cov_5.762022	97.07	273	8	0	861	1	273	938	541	269	1.5e-131	460	273	4527_NODE_4_length_938_cov_5.762022
4527	NODE_5_length_821_cov_4.779539	96.703	273	9	0	861	1	273	821	460	732	6.96e-130	455	273	4527_NODE_5_length_821_cov_4.779539
4527	NODE_3_length_1226_cov_4.802548	95.604	273	12	0	861	1	273	1226	597	869	7.01e-125	438	273	4527_NODE_3_length_1226_cov_4.802548
4691	NODE_1_length_1155_cov_19.145914	100	249	0	0	537	74	322	1155	293	541	9.24e-132	460	249	4691_NODE_1_length_1155_cov_19.145914
4691	NODE_1_length_1155_cov_19.145914	96.279	215	8	0	537	323	537	1155	643	857	1.61e-99	353	215	4691_NODE_1_length_1155_cov_19.145914
4691	NODE_2_length_1088_cov_17.222685	97.2	250	7	0	537	73	322	1088	733	484	1.21e-120	424	250	4691_NODE_2_length_1088_cov_17.222685
4691	NODE_2_length_1088_cov_17.222685	93.519	216	14	0	537	322	537	1088	404	189	4.55e-90	322	216	4691_NODE_2_length_1088_cov_17.222685
4691	NODE_5_length_622_cov_10.127273	98.305	118	2	0	537	205	322	622	1	118	1.33e-55	207	118	4691_NODE_5_length_622_cov_10.127273
4691	NODE_4_length_879_cov_2.668883	96	75	3	0	537	1	75	879	504	430	4.95e-30	122	75	4691_NODE_4_length_879_cov_2.668883
4691	NODE_3_length_982_cov_2.752047	93.333	75	5	0	537	1	75	982	470	396	1.07e-26	111	75	4691_NODE_3_length_982_cov_2.752047
