qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.95	1.04	3.3	3.6	92	88.7	8	1
4527	2.57	2.57	93.3	93.3	100	6.7	0	3
4691	1.78	1.78	76.5	76.5	100	23.5	0	4
4724	2.01	2.01	100	100	100	0	0	2
4744	0.87	1.02	1.3	1.6	85.4	84.1	14.6	2
4757	1	1	0	0	100	100	0	3
4793	1.5	1.96	71.9	93.7	76.8	4.8	23.2	4
4796	1.18	1.22	20.8	21.6	96.7	75.8	3.3	3
4802	1.32	1.49	42.2	47.8	88.4	46.2	11.6	3
4806	1.54	1.78	67	77.9	86	19	14	3
4848	1.81	1.82	80.8	81.4	99.4	18.5	0.6	3
4889	1.36	1.58	49.7	57.8	86	36.3	14	2
4890	0.94	1.41	25.9	38.9	66.6	40.7	33.4	2
4893	1.36	1.88	59.5	81.9	72.6	13.1	27.4	2
4932	1.02	1.02	2.3	2.3	100	97.7	0	2
4942	1.57	1.63	59.4	61.6	96.5	37.1	3.5	3
4951	2.68	2.68	96.4	96.4	100	3.6	0	3
4954	0.8	1.01	1.1	1.4	79.1	78	20.9	2
4989	10.49	11.08	94.7	100	94.7	0	5.3	13
4992	1.17	1.2	19.1	19.5	98	78.9	2	3
