qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2449_cov_31.153747	0.96	1.04	4.1	4.4	92	87.9	8
4527	NODE_4_length_960_cov_9.243697	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_3_length_1201_cov_12.235568	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_1_length_1524_cov_44.923407	0.69	1	0.2	0.3	68.9	68.6	31.1
4527	NODE_2_length_1474_cov_68.576837	0.62	1	0	0	62.1	62.1	37.9
4691	NODE_3_length_695_cov_2.487676	0.14	1	0	0	14	14	86
4691	NODE_4_length_643_cov_5.501938	0.14	1	0	0	14	14	86
4691	NODE_1_length_1045_cov_45.177560	0.87	1	0	0	86.6	86.6	13.4
4691	NODE_2_length_924_cov_31.628607	0.87	1	0.2	0.2	86.6	86.4	13.4
4724	NODE_1_length_1762_cov_38.390214	1	1	0	0	100	100	0
4724	NODE_4_length_1069_cov_15.297240	0.49	1	0	0	48.9	48.9	51.1
4724	NODE_2_length_1483_cov_15.134956	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_6_length_702_cov_11.354783	0.37	1	0	0	37	37	63
4724	NODE_5_length_1033_cov_13.008830	0.37	1	0	0	37	37	63
4724	NODE_3_length_1290_cov_2.479794	0.58	1.02	0.9	1.6	56.7	55.8	43.3
4724	NODE_9_length_528_cov_1.346633	0.23	1	0	0	23.2	23.2	76.8
4724	NODE_10_length_489_cov_2.831492	0.29	1	0	0	28.8	28.8	71.2
4724	NODE_7_length_648_cov_2.011516	0.29	1	0	0	28.8	28.8	71.2
4724	NODE_8_length_534_cov_1.803440	0.24	1	0	0	24.1	24.1	75.9
4744	NODE_2_length_771_cov_2.045031	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_976_cov_31.879859	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_1_length_1715_cov_9.260705	0.61	1	0	0	60.8	60.8	39.2
4757	NODE_2_length_1215_cov_15.102022	0.39	1	0	0	39.2	39.2	60.8
4757	NODE_3_length_605_cov_6.684100	0.38	1	0	0	38.3	38.3	61.7
4793	NODE_3_length_1030_cov_17.054264	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_5_length_951_cov_19.242718	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_4_length_957_cov_30.608434	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_2_length_1502_cov_32.844364	0.65	1	0	0	64.8	64.8	35.2
4793	NODE_1_length_1553_cov_34.957223	0.64	1	0.3	0.5	64	63.7	36
4793	NODE_6_length_790_cov_31.610860	0.5	1	0	0	50.4	50.4	49.6
4796	NODE_1_length_1931_cov_43.625277	0.75	1.02	1.8	2.5	73.2	71.4	26.8
4796	NODE_2_length_1368_cov_12.546334	0.26	1	0	0	25.6	25.6	74.4
4802	NODE_1_length_2135_cov_41.864044	0.67	1.03	1.8	2.7	65.2	63.4	34.8
4802	NODE_2_length_1943_cov_17.563326	0.32	1	0	0	32.4	32.4	67.6
4802	NODE_3_length_1265_cov_28.079965	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4802	NODE_4_length_1045_cov_18.264706	0.23	1.02	0.4	1.7	22.2	21.8	77.8
4806	NODE_2_length_1841_cov_5.812719	0.84	1	0	0	84.2	84.2	15.8
4806	NODE_1_length_2415_cov_11.943619	0.67	1	0	0	67	67	33
4806	NODE_3_length_643_cov_5.846899	0.14	1	0	0	14.2	14.2	85.8
4848	NODE_1_length_2423_cov_26.181620	1	1.01	0.6	0.6	99.2	98.6	0.8
4889	NODE_1_length_1676_cov_7.218205	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_924_cov_8.501882	0.6	1	0	0	59.9	59.9	40.1
4889	NODE_3_length_876_cov_6.982644	0.31	1	0	0	31.5	31.5	68.5
