qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2449_cov_31.153747	99.225	129	0	1	662	54	182	2449	420	547	8.93e-63	231	129	4471_NODE_1_length_2449_cov_31.153747
4471	NODE_1_length_2449_cov_31.153747	99.091	110	0	1	662	554	662	2449	1936	2045	3.26e-52	196	110	4471_NODE_1_length_2449_cov_31.153747
4471	NODE_1_length_2449_cov_31.153747	100	108	0	0	662	269	376	2449	979	1086	2.52e-53	200	108	4471_NODE_1_length_2449_cov_31.153747
4471	NODE_1_length_2449_cov_31.153747	100	101	0	0	662	457	557	2449	1596	1696	1.96e-49	187	101	4471_NODE_1_length_2449_cov_31.153747
4471	NODE_1_length_2449_cov_31.153747	100	98	0	0	662	174	271	2449	787	884	9.12e-48	182	98	4471_NODE_1_length_2449_cov_31.153747
4471	NODE_1_length_2449_cov_31.153747	96.703	91	3	0	662	369	459	2449	1203	1293	7.15e-39	152	91	4471_NODE_1_length_2449_cov_31.153747
4527	NODE_1_length_1524_cov_44.923407	97.757	535	12	0	861	269	803	1524	1212	678	0	922	535	4527_NODE_1_length_1524_cov_44.923407
4527	NODE_1_length_1524_cov_44.923407	98.333	60	1	0	861	802	861	1524	500	441	7.4e-25	106	60	4527_NODE_1_length_1524_cov_44.923407
4527	NODE_2_length_1474_cov_68.576837	94.579	535	29	0	861	269	803	1474	1053	519	0	828	535	4527_NODE_2_length_1474_cov_68.576837
4527	NODE_4_length_960_cov_9.243697	98.168	273	5	0	861	1	273	960	261	533	1.36e-136	477	273	4527_NODE_4_length_960_cov_9.243697
4527	NODE_3_length_1201_cov_12.235568	95.238	273	13	0	861	1	273	1201	522	794	2.99e-123	433	273	4527_NODE_3_length_1201_cov_12.235568
4691	NODE_1_length_1045_cov_45.177560	100	250	0	0	537	73	322	1045	332	581	2.35e-132	462	250	4691_NODE_1_length_1045_cov_45.177560
4691	NODE_1_length_1045_cov_45.177560	99.535	215	1	0	537	323	537	1045	681	895	3.13e-111	392	215	4691_NODE_1_length_1045_cov_45.177560
4691	NODE_2_length_924_cov_31.628607	97.2	250	7	0	537	73	322	924	259	508	1.11e-120	424	250	4691_NODE_2_length_924_cov_31.628607
4691	NODE_2_length_924_cov_31.628607	93.056	216	15	0	537	322	537	924	588	803	1.94e-88	316	216	4691_NODE_2_length_924_cov_31.628607
4691	NODE_3_length_695_cov_2.487676	100	75	0	0	537	1	75	695	280	354	4.5e-35	139	75	4691_NODE_3_length_695_cov_2.487676
