qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.95	1.04	3.3	3.6	92	88.7	8	1
4527	2.1	2.1	99	99	100	1	0	4
4691	1.75	1.75	74.3	74.3	100	25.7	0	4
4724	2.01	2.01	100	100	100	0	0	2
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1	1	0	0	100	100	0	3
4793	1.58	2.06	67	87.2	76.8	9.8	23.2	5
4796	0.92	1.02	1.8	2	90.1	88.3	9.9	2
4802	1.31	1.5	42.2	48.2	87.6	45.4	12.4	3
4806	1.62	1.71	67	70.8	94.6	27.6	5.4	4
4848	2.11	2.12	99.2	99.8	99.4	0.2	0.6	3
4889	1.36	1.58	49.4	57.4	86	36.7	14	2
4890	1.1	1.64	24.5	36.8	66.6	42.1	33.4	3
4893	1.55	1.73	59.5	66.4	89.6	30.1	10.4	2
4932	1.02	1.02	2.3	2.3	100	97.7	0	2
4942	1.78	2.15	71.4	86.3	82.8	11.3	17.2	5
4951	3.11	3.11	100	100	100	0	0	4
4954	0.89	1.01	1.1	1.3	87.5	86.4	12.5	3
4989	12.67	13.38	94.7	100	94.7	0	5.3	16
4992	1.15	1.18	13.1	13.4	98	84.9	2	4
