qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	1.04	1.04	3.6	3.6	100	96.4	0	1
4527	1.95	1.95	93.3	93.3	100	6.7	0	4
4691	1.87	1.87	86.6	86.6	100	13.4	0	3
4724	3.14	3.14	100	100	100	0	0	8
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1	1	0	0	100	100	0	3
4793	1.76	1.89	81.3	87.3	93.2	11.9	6.8	5
4796	1.04	1.18	16	18.2	87.6	71.7	12.4	3
4802	1.7	1.76	70.8	73.2	96.7	25.9	3.3	4
4806	1.54	1.78	67	77.9	86	19	14	3
4848	1.32	1.33	32.4	32.6	99.2	66.8	0.8	2
4889	1.36	1.58	49.7	57.8	86	36.3	14	2
4890	0.83	1.42	24.3	41.8	58.3	33.9	41.7	2
4893	1.49	2.06	72.6	100	72.6	0	27.4	2
4932	1.01	1.01	1.3	1.3	100	98.7	0	2
4942	1.8	1.87	81.2	84.1	96.5	15.3	3.5	2
4951	2.44	2.44	100	100	100	0	0	3
4954	0.89	1.01	1.1	1.3	87.5	86.4	12.5	3
4989	9.42	9.94	94.7	100	94.7	0	5.3	12
4992	1.42	1.45	24.2	24.7	98	73.8	2	3
