qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2670_cov_38.509634	100	124	0	0	662	54	177	2670	478	601	3.54e-62	230	124	4471_NODE_1_length_2670_cov_38.509634
4471	NODE_1_length_2670_cov_38.509634	97.273	110	2	1	662	554	662	2670	2047	2156	7.77e-49	185	110	4471_NODE_1_length_2670_cov_38.509634
4471	NODE_1_length_2670_cov_38.509634	99.074	108	1	0	662	269	376	2670	1042	1149	1.29e-51	195	108	4471_NODE_1_length_2670_cov_38.509634
4471	NODE_1_length_2670_cov_38.509634	100	101	0	0	662	457	557	2670	1707	1807	2.16e-49	187	101	4471_NODE_1_length_2670_cov_38.509634
4471	NODE_1_length_2670_cov_38.509634	98.98	98	1	0	662	174	271	2670	848	945	4.68e-46	176	98	4471_NODE_1_length_2670_cov_38.509634
4471	NODE_1_length_2670_cov_38.509634	96.703	91	3	0	662	369	459	2670	1266	1356	7.88e-39	152	91	4471_NODE_1_length_2670_cov_38.509634
4527	NODE_2_length_1761_cov_61.498164	95.701	535	23	0	861	269	803	1761	503	1037	0	861	535	4527_NODE_2_length_1761_cov_61.498164
4527	NODE_2_length_1761_cov_61.498164	98.333	60	1	0	861	802	861	1761	1217	1276	8.15e-25	106	60	4527_NODE_2_length_1761_cov_61.498164
4527	NODE_1_length_2521_cov_31.356725	94.953	535	27	0	861	269	803	2521	1425	1959	0	839	535	4527_NODE_1_length_2521_cov_31.356725
4527	NODE_1_length_2521_cov_31.356725	94.505	273	15	0	861	1	273	2521	395	667	7.12e-120	422	273	4527_NODE_1_length_2521_cov_31.356725
4527	NODE_3_length_1019_cov_11.100897	97.81	274	6	0	861	1	274	1019	395	668	1.94e-135	473	274	4527_NODE_3_length_1019_cov_11.100897
4691	NODE_3_length_944_cov_20.423501	97.992	249	5	0	537	74	322	944	283	531	2.03e-123	433	249	4691_NODE_3_length_944_cov_20.423501
4691	NODE_3_length_944_cov_20.423501	97.674	215	5	0	537	323	537	944	627	841	1.62e-104	370	215	4691_NODE_3_length_944_cov_20.423501
4691	NODE_1_length_994_cov_7.896194	96.4	250	9	0	537	73	322	994	685	436	2.65e-117	412	250	4691_NODE_1_length_994_cov_7.896194
